Material dated [undefined],14C age (yr BP) [undefined],error [undefined],Depth (cm) [cm],Sample age (cal yr BP) [cal yr BP],ageup [undefined],agelo [undefined],deptime [undefined],name [undefined],preparedby [undefined],dateprepared [undefined],model [undefined],notes [undefined]
Sapropel,6280,60,276,6469.471,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
Sapropel,8060,70,285,6695.529,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
Sapropel,9220,70,297,6996.941,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
Sapropel,6280,60,306,7223,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,313,7398.824,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,321,7599.765,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,330,7825.824,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,338,8026.765,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,346,8227.706,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,355,8453.765,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,365,8704.941,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
Sapropel,8060,70,374,,,,,,,,,
,,,373,8905.883,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,381,9147.255,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,389,9394.404,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,397,9641.553,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,408,9981.383,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,,,416,10228.53,,,,Calendar Chron,Lewden D.,27/01/2006,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
Sapropel,9220,70,421,,,,,,,,,
,,,426,0,,,,,,,,
,,,435,0,,,,,,,,
,,,459,0,,,,,,,,
,,,464,0,,,,,,,,
Sapropel,7890,70,470,0,,,,,,,,
,,,476,0,,,,,,,,
