,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,306.0,,6280.0,6340.0,6220.0,uncorrected radiocarbon date
,374.0,,8060.0,8130.0,7990.0,uncorrected radiocarbon date
,421.0,,9220.0,9290.0,9150.0,uncorrected radiocarbon date
,422.0,,9880.0,9980.0,9780.0,other
