,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,116.0,,3461.0,3498.0,3432.0,uncorrected radiocarbon date
,225.0,,5542.0,5583.0,5501.0,uncorrected radiocarbon date
,292.0,,7590.0,7650.0,7530.0,uncorrected radiocarbon date
,396.0,,9590.0,9650.0,9530.0,uncorrected radiocarbon date
