labID,"	age","	error","	depth","	cc",delta.R,delta.STD
UTC-4205,3461,37,116,1,-27.5,0
UTC-5166,5542,41,225,1,-27.5,0
UTC-5165,7590,60,292,1,-24.9,0
UTC-4135,9590,60,396,1,-23.8,0
