Depth,cal yr BP,C14 BP,Pollen concentration,Lycopodium spikecounted,Lycopodium spikequantity added,Lycopodium tabletsvolume,Sample quantityvolume,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Arbutus,Artemisia,Asphodelus,Aster-type,Betula,Boraginaceae,Brassicaceae,Callitriche,Calluna,Caltha-type,Campanulaceae,Caryophyllaceae,Castanea,Centaurea cyanus-type,Centaurea nigra-type,Centaurea scabiosa-type,Centaurium pulchellum-type,Cichorioideae,Circaea,Cirsium-type,Cistus-type,Convolvulaceae,Corrigiola litoralis-type,Corylus,Cupressaceae,Cyperaceae,Cystopterisspore,Drosera,Echium vulgare-type,Epilobium,Equisetumspore,Erica arborea-type,Erica australis-type,Erica tetralix-type,Erica umbellata-type,Erica undiff.,Fabaceae,Filipendula,Frangula,Fraxinus excelsior-type,Genista-type,Gentiana pneumonanthe-type,Geranium molle-type,Hedera,Helianthemum-type,Herniaria glabra-type,Humulus-type,Hypecoum,Hypericum perforatum-type,Ilex,Illecebrum verticillatum-type,Juncus,Knautia,Lamiaceae,Liliaceae,Linum,Lonicera periclymenum-type,Lotus-type,Melampyrum-type,Menyanthes,Montia fontana-type,Myosotis arvensis-type,Myriophyllum verticillatum,Olea,Osmundaspore,Pedicularis-type,Persicaria maculosa-type,Phillyrea,Pinus,Pistacia,Plantaginaceae,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media,Poaceae,Poaceae (Cerealia-type),Populus,Potamogeton,Potentilla,Poterium sanguisorba,Quercus ilex-type,Quercus robur-type,Ranunculus-type,Rhinanthus-type,Rosaceae,Rubiaceae,Rumex acetosa-type,Salix,Sambucus,Scabiosa,Scrophulariaceae,Sedum-type,Simethis planifolia,Sparganium,Spergula-type,Stachys-type,Succisa,Teucrium-type,Thesium,Thymelaeaceae,Trollius europaeus-type,Typha (tetrad),Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Urtica-type,Valeriana officinalis-type,Valerianella-type,Viburnum,Viscum,Vitis
1,--/-54/--,--/9/--,598124.5,41,13911,2,0.699999988,,,,1,,,,,14,,1,,71,,,,,,,,,,,,2,,,,,3,,,1,,,88,13,31,,10,,,,,7,,,,,,,,,,,,,,1,,,,,,,,,5,,,,,71,,,,3,1,20,1,,,,,24,36,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,
4,--/-40/--,--/38/--,334393.9375,105,13911,2,0.5,1,,2,,,,,,19,,1,,71,,1,5,,,,,,,,,3,,,,,,,,,,,93,13,30,,6,,,,1,3,,,,2,,,,,,,,,,,,,,,,,,,4,,,,,18,,,,1,,55,48,,,,,15,22,,,,,,3,,,1,,,,,,,,,,,,,,4,,,,,,
6,--/-31/--,--/56/--,260831.25,176,13911,3,0.600000024,1,,1,2,,3,,,23,,2,,53,,,2,,,,,,1,,,4,,,,,5,,,,,,112,29,36,,8,,,,,1,,,,1,,,,1,,,,,,2,,,,,,,,,6,,,,,10,1,1,,,,61,23,,,,,13,24,,,,,1,,,,,,,,,,,,,,,,,3,7,,,,,,
8,--/-21/--,--/75/--,302628.25,163,13911,3,0.5,2,2,1,,,,,,22,,,,55,,,2,,,,,,,,,3,,,,,3,,,,,,94,25,29,1,9,,,,,1,1,,,,,,,,,,,,,2,,,,,,,,,10,,,,,8,,,2,,,50,23,,,3,,10,20,1,,,,,,,,2,1,,,,,,,,,,,2,,10,,,,,,
10,--/-12/--,--/94/--,569746.1875,92,13911,3,0.5,,1,2,,1,,1,,28,,1,,49,,,1,,,,,,1,,,3,,,,,10,,,1,,,81,25,34,3,9,,2,,,,,,,,,,1,,,,,,,2,,,,,,,,,10,,,,1,3,,,,,,116,2,1,,2,,15,23,2,,,,6,,,,1,,,,,,,,,,,,2,,10,,,,,,
12,--/49/--,--/163/--,300145.9375,151,13911,3,0.5,,,1,2,,3,,,21,,1,,25,,1,,,,,,,2,,,3,,1,,,3,,,,,,76,32,23,7,5,,,1,1,3,,,,1,,,,,,,,,,3,,,1,,,,,,9,,,,1,5,,,1,,,109,,,,6,,11,16,1,,,,3,,,,1,,,,,,,,,,,,1,1,5,,,,,,
14,--/194/--,--/307/--,220277.6563,230,13911,3,0.5,,,2,3,,,,1,67,,2,,18,,,,,,,,,4,,,8,,,,,10,,,,,,102,32,18,5,5,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,5,,,,,,,,,,,95,,,,7,1,22,27,,,,,,,,,,,,,,,,,,,,,2,,20,,,,,,
15,--/267/--,--/380/--,434938.875,79,13911,3,0.600000024,1,,1,5,,,,,41,,1,,12,,,,1,,,,1,2,,,2,,,,,2,,,,,,73,19,23,3,6,,,,2,1,,,,5,,,,,,,,,,,,,,,,,,,4,,,,,4,,,,,3,112,2,,,2,1,7,19,,,,,3,1,,,,1,,,,,,,,,,,2,,31,,,,,,
16,--/340/--,--/452/--,392932.25,130,13911,3,0.5,1,,1,2,1,3,,,130,,,,22,,1,,,,,,,16,,,6,,,,,4,,,,,,79,25,32,3,3,,,,1,1,1,,,2,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,63,,,,3,,15,26,1,,,,2,2,,,3,,,,,,,,,,,,,,144,,,,,,
17,--/413/--,--/524/--,493840.5,70,13911,3,0.600000024,1,,4,1,,1,,,125,,,,12,,,,,,,,,,,1,,,,,,8,,,,,,67,20,15,4,4,,,,,1,,,,3,,,,,,,,,1,1,,,,,,,,,2,,,,1,1,,,3,1,1,69,,,,1,,7,24,1,,1,1,,2,,,,,,,,,,,,,,,,1,35,,,,,,
18,--/485/--,--/596/--,480588.4375,95,13911,3,0.5,1,2,2,4,1,1,,,197,,1,,23,,,1,,,,,,3,,,6,,,,,14,,,,,,58,10,9,2,3,,,,2,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,64,,1,,2,1,5,31,,,1,,1,1,,,1,,,,2,,,,,,,,,,4,1,,,,,
19,--/558/--,--/669/--,723939.8125,49,13911,3,0.600000024,,,,,,,,,357,,,,1,,,,,,,,,,,,,,,,,1,,,,,,25,7,1,1,,,1,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,1,2,46,1,,,,,6,20,,,,,,1,,,,,,,,,,,,,,,2,,8,,,,,,
20,--/631/--,--/741/--,809156.5,60,13911,3,0.600000024,2,,,3,,,,,433,,1,,3,,,,,,,,,,,,,,,,,4,,,,,,66,6,6,,4,,,,,,,,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,1,28,1,,,,,10,44,,,,,1,,,,,,,,,,,,,,,,2,,23,,,,,,
21,--/704/--,--/813/--,799412.5625,37,13911,3,0.800000012,3,,,1,,1,,1,331,,,,15,,,,,,,,,,,,,,,,,4,,,,,,53,5,9,1,2,,,,,,,,,4,,,,,1,,,,1,1,,,,,,,,,2,,,,,2,,,1,,,16,,1,,1,,6,19,,,,,1,3,,,1,,,,,,,,,,,,1,,3,,,,,,
22,--/777/--,--/885/--,721577.0625,62,13911,3,0.5,2,,1,1,,1,,,249,,1,,28,,,,,,,,,,,,2,,,,,3,,,,,,36,19,8,2,3,,1,,,,1,,,1,,,,,1,,,,1,1,,,,,1,,,,,,,,,3,,,,,,31,1,,,2,,10,26,,,,,4,2,,,1,,,,,,,,,1,,,,1,9,,,,,,
