"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
536421,Carbon-14,Radiocarbon years BP,150,6,6430,45,45,false,,GrN-18350,bulk,
536419,Carbon-14,Radiocarbon years BP,97.5,5,4295,35,35,false,,GrN-18349,bulk,
536420,Carbon-14,Radiocarbon years BP,52.5,5,2420,35,35,false,,GrN-18348,bulk,
