,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]"
,15.5,5811
,17.5,5908
,24.5,6238
,27.5,6382
,30.5,6521
,36.5,6760
,38.5,6820
,51,7198
,81.5,8104
,85,8213
,97.5,8531
,101,8613
,107.5,8781
,110,8845
,113.5,8941
,114.75,8974
,119,9082
,121.5,9138
,126.5,9237
,130,9294
,135,9363
