Depth,EPDRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Artemisia herba-alba-type,Artemisia vulgaris-type,Asteroideae,Astragalus-type,Betula,Betulaceae,Boraginaceae,Brassica-type,Bupleurum-type,Butomus umbellatus,Calligonum,Calystegia,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cichorioideae,Cistaceae,Cladium mariscus,Clematis-type,Corylus,Cotinus coggygria,Cyperaceae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Euphorbia,Fabaceae,Fagus,Filipendula,Frangula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Hedera,Helianthemum,Helleborus,Hippophaë,Humulus/Cannabis,Hypericum perforatum-type,Isoëtesspore,Juglans,Juniperus,Lemna,Liliaceae,Loranthus,Lotus-type,Lythrum,Malva,Matricaria-type,Melampyrum,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nymphaea,Olea,Onobrychis-type,Onosma-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Paliurus,Pediastrum duplexcolony,Pediastrum undiff.colony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Plumbaginaceae,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Populus,Potamogeton,Potentilla-type,Pseudopediastrum boryanumcolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhinanthus-type,Rosaceae,Rubus fruticosus,Rumex acetosa-type,Rumex hydrolapathum,Sagittaria,Salix,Sambucus,Sanguisorba-type,Scrophularia/Verbascum,Senecio-type,Solanum dulcamara,Sparganium-type,Symphytum-type,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Utricularia,Valeriana,Valerianella,Viburnum-type,Viscum,Vitis,Xanthium
33,--/3/--,577/131/-303,1,,,3,88,1,5,,4,,,,,2,,1,,,,4,,,2,,,,1,1,,1,,,,1808,7,,,,,,,,4,,,,1,7,,,,,,,,2,,1,,,,1,,1,,,,,,1,1,,,6,,,,,,,36,,,2,3,,,1,,107,7,7,,1,,4,,2,,25,,,,3,,,1,1,,,1,,,,,,64,1,,,1,,,,37,,9,,,,,,,1,
40,--/6/--,589/158/-260,,,2,1,54,1,,1,7,,,,,3,,,,,,,,1,,,,,,3,,,,,,246,10,,,,,,,,4,,,,3,3,,,,,,,,,1,,,,,,,2,,,,1,,1,,,1,1,,1,,,,,13,,,,,,,1,,79,5,1,,,,32,32,,,13,,,,,1,,,,,,2,,,,,,9,,,,,,,,8,1,5,,,,,,,1,
50,--/12/--,606/196/-198,1,,,,11,1,2,1,3,,1,,,6,,,,,,1,1,1,1,,,,,,,,,,,140,9,,,,,1,,,2,1,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,31,,,,,,,1,,87,3,3,,,,4,,6,,30,,,,,,,,,,,,1,,,,,6,,,,,,,,8,,8,,,,,,,1,
60,--/21/--,623/234/-136,1,,,4,52,1,2,1,5,,1,,,2,,,,,,,2,,,,,,,,,,3,,,1631,13,,,,,,,2,10,,,1,2,3,,,,,,,,,1,,,,,,,1,1,,,,,,,,,2,1,,,,,,23,,,1,,,,1,,206,3,3,,1,,4,,1,,95,3,,1,,,,,1,,,,,,,,4,60,,1,,,,,,46,2,2,,,,,,,,
70,--/34/--,641/273/-74,3,,1,5,23,3,3,3,4,,,,,48,,,,,,,,,,,,,2,,,,,2,,443,13,,,,,,,1,7,1,,,1,8,,,,,1,,,1,5,,,,,2,1,,,,,,,1,,,,9,,,,,1,,47,,,,,,3,6,,344,15,9,,,,36,,5,,77,,,,3,,,,2,,,,,,,,15,84,1,,1,,2,1,,67,1,14,2,,,,,,2,
80,--/52/--,658/311/-13,1,,,4,53,5,2,1,5,,,,,7,,,,,,,1,,1,,,,,2,,,,,,374,33,,1,,,2,,4,6,,,,3,1,,,,,,1,,1,,3,,,,,,2,,,,,1,,,,,14,,,,,,,38,1,,3,,,,1,,271,6,7,,,,,,1,,73,,6,,19,3,,,5,,,2,,,,,75,42,,,1,,1,,,7,,22,,,,,,,2,
87,--/67/--,670/337/29,2,,,4,23,3,5,2,89,,,,,9,,,,4,,1,3,,1,,,,,1,,,,,,235,44,,,,,,,,7,,,,2,3,,,,,1,,,1,2,,,,,1,,2,,,,,1,,,,,6,,,,,,,40,,,,,,5,1,,223,6,6,,,,4,,3,,85,,,,2,,,,2,,,1,,,,,3,61,,,,,1,,,34,,21,1,1,,,,,1,
103,--/113/--,697/399/125,10,,5,30,4,25,5,,2,,,,,6,,,,,,7,1,,,,,,2,,,1,,,,32,6,,,,,,,,7,,,,1,1,,,,,,,,,8,,,,,1,,1,,,,2,,2,,,,9,,,,,1,2,84,1,,,1,,,1,,376,9,3,,,,21,,,3,114,,,,,,,,8,,,22,,1,,,,25,,,1,,1,1,,7,,29,1,,,,,,,
110,--/139/--,709/425/166,22,1,,264,12,8,4,,17,,1,,,64,,,,,,1,5,1,,,,,,5,,,,6,,76,77,,,,,3,,,16,,,,2,6,,,,,1,1,,,9,,,1,1,,,1,,,,,,,,1,,25,,4,,,1,,265,2,,5,,,2,,,341,9,4,,,,37,11,5,,383,,1,,1,,2,,5,,,375,,2,,,5,29,,,1,,3,2,5,14,3,93,7,,,,,,3,
120,--/181/--,726/464/224,9,,,13,5,,2,,,,,,,7,1,,,,,2,,,,,,,1,2,,,,3,,9,366,,,,,1,,2,2,,,,1,5,,,,,,,,,2,,,,,,,1,,,,,,,,,,6,,,,,,,121,,,,,,,,,245,2,2,,,,362,37,2,,67,,,,1,,,,1,,,11,,,,18,6,17,1,,,,1,,,29,,14,,,,,,,,
