"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
556357,Carbon-14,Radiocarbon years BP,52,0,4699,40,40,false,,,Bulk,
556358,Carbon-14,Radiocarbon years BP,14,0,802,33,33,false,,,Bulk,
556359,Carbon-14,Radiocarbon years BP,34,0,2834,42,42,false,,,Bulk,
