Depth,EPDRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Acer,Aconitum-type,Alisma,Allium,Alnus,Amaranthaceae,Anemone,Apiaceae,Artemisia,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus,Asteroideae,Betula,Boraginaceae,Brassica-type,Brassicaceae,Bupleurum-type,Buxus,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Clematis-type,Convolvulus,Cornus sanguinea,Corylus,Cousinia,Cyperaceae,Dipsacoideae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Fabaceae,Fagopyrum,Fagus,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Geranium,Hedera,Helianthemum,Helleborus,Humulus/Cannabis,Hypericum perforatum-type,Iris,Isoetes spore,Juglans,Juniperus,Knautia,Lamiaceae,Lemna,Liliaceae,Linum,Lomelosia rotata-type,Loranthus,Lotus-type,Lysimachia,Lythrum,Matricaria-type,Matthiola,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Noaea-type,Nymphaea,Olea,Oleaceae,Ophioglossumspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pediastrum duplexcolony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantaginaceae,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Plantago media-type,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pseudopediastrum boryanumcolony,Pteridiumspore,Quercus coccifera-type,Quercus robur-type,Ranunculaceae,Ranunculus repens-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rosaceae,Rumex acetosa-type,Rumex acetosella,Rumex hydrolapathum,Salix,Sambucus nigra-type,Scrophularia/Verbascum,Scrophulariaceae,Solanum dulcamara,Sparganium-type,Stachys-type,Taxus,Teucrium,Thalictrum,Theligonum,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Urtica dioica-type,Valeriana,Valerianella,Verbena,Viburnum-type,Vicia-type,Vitis,Xanthium
170,--/2441/--,3175/3026/2876,1,,,,,17,4,1,1,,2,2,,2,1,1,4,,,1,,,1,4,,2,,,,,4,2,,24,,,,3,,39,,237,,,,1,1,1,,13,,,9,1,,,,,1,,,,3,4,,,,2,,,,1,,1,,,,,8,,2,,,,31,1,,,,1,,35,,1,,2,,,5,144,3,,2,,,14,3,,3,4,,176,1,,,,2,1,4,,,11,,,,,154,,,1,2,,1,,2,2,6,,,3,,,,2,
190,--/2739/--,3520/3382/3248,1,6,,1,,14,1,2,4,,2,3,,3,3,,4,,,5,,,4,1,1,14,,,,,6,,,16,5,,,3,,17,,21,,,,,,11,,9,1,2,5,1,,,,,2,1,,,3,5,,,,5,,,1,2,,1,,,,,,,,,,,21,,,3,1,1,,34,1,,1,,,,2,184,2,,3,,1,8,2,1,3,2,,99,,,,,4,2,3,,,7,,3,,,66,,,,,,2,,,4,2,,,,1,,,2,
210,--/3038/--,3873/3738/3593,2,3,1,,,19,6,,2,,,6,,10,,,,,1,1,,,5,3,,47,,,,,2,,,,3,2,,1,2,33,,37,,,,,,6,,12,,,10,1,,1,1,1,3,3,,,2,5,1,,,1,1,1,,1,,2,3,,,,3,,,,,,24,1,,,,,,36,,2,,4,,,3,198,3,,1,,,17,2,,,2,6,116,,1,,,4,,6,,,9,,12,,1,41,1,,1,4,,7,,,2,2,,,,,,6,5,2
230,--/3338/--,4267/4145/4019,1,1,,1,,16,14,,4,,,,,13,,,,,,1,,,4,8,1,33,,,,,14,9,,20,1,,,4,,67,1,2,,1,,,,30,,21,,,11,4,,,1,,1,34,,,11,13,,,,1,,,,,,2,1,,,,14,1,2,,,,40,1,3,7,4,,,50,,2,,19,,,4,197,18,,,1,,288,,1,48,14,7,222,4,,,,3,10,14,,1,11,,7,,,18,,,2,2,,8,,,3,3,3,,3,,,,3,20
250,--/3639/--,4671/4560/4447,2,,,2,,13,12,,5,,12,,,13,1,,2,,1,,,,6,6,,8,,,,,2,15,,37,1,,,3,,223,,44,,,,2,,1,,27,,,2,1,,2,,,,,,1,7,7,,,,,,,,,,,2,,,,4,,22,5,1,,38,,,,7,,,77,1,2,,3,,,2,152,8,,4,,,,,,3,13,2,357,,1,,,,4,7,,,8,,1,,,54,,,,,,4,2,,,1,,,,,,,1,1
270,--/3941/--,5085/4974/4865,7,,,,,6,1,,3,,4,,,1,2,,2,,,,,,,1,1,2,,,,,1,4,,13,1,,,4,,69,,3,,,,1,,,,19,,1,1,3,,,,,3,,,,4,38,,,,,,,,,,2,1,,,,13,,1,,1,,18,,,55,,1,,86,,,,6,1,,1,113,19,,4,,,60,,1,9,12,4,217,,1,,,1,2,5,,,2,3,,,,29,1,,,,,1,1,,2,2,,,,,,,,
290,--/4244/--,5515/5388/5270,11,,,1,,17,3,,8,,4,6,,11,2,,3,,,1,,,,2,,1,,,,,1,6,,7,,,,5,,47,,1,,,,4,,3,,15,,2,4,11,,,,,1,2,,,2,15,,,14,1,,,,,,,,,,,5,2,1,,10,,47,,,4,1,,,138,1,2,,5,1,2,1,1300,1,,2,,,58,,3,10,6,2,173,,,,,1,,5,,,41,1,7,,,114,,,,,,3,,,8,3,,,,,1,,5,
295,--/4320/--,5623/5492/5368,9,1,,3,,3,56,,3,,,6,,,3,,1,,,,,,8,6,30,,,,,,,5,,3,,,,12,,26,,7,,,,,,,,13,,1,7,6,,,,,3,1,,,,5,,,,1,,,,,,1,,,,,18,,,,2,1,66,,,,2,4,,106,3,,,1,,,,469,1,,1,,,1,6,4,8,4,3,66,,,,,2,,3,,,161,,,,,32,,,,,,5,,,141,3,2,,,,,,,
320,--/4700/--,6175/6009/5852,11,,,,,12,3,,4,,3,,,2,,,1,,,,,,4,26,,,,,,,,1,,13,,,,8,,20,,6,,,,1,,,,18,,5,5,,,,,,,,,,,15,,,,,,,,,,,,,,,11,,52,,,,104,,,1,,1,,136,1,,,,,,,84,,,1,1,,1,1,1,1,4,7,248,1,,,,,,1,,,,,,,,65,,,,1,,2,4,,1,8,,,,,,,2,
330,--/4852/--,6291/6131/5979,25,,,,1,19,3,,,2,,,1,,4,,,1,,,,,1,51,,,,,,,,2,,41,,,,34,,48,,2,,,2,,,,,10,,1,,1,,1,,,,,,,,5,,,,,,,,1,5,,,,,,8,,1,,,,125,,,4,,1,,228,,,1,3,1,,,79,,,,,,3,,2,6,6,,410,2,,,,,2,,3,,2,,,1,,21,,3,,,,,6,1,,10,,,,,,,,
350,--/5157/--,6456/6319/6189,17,1,,,,2,2,,,5,,,,2,,,,1,,,,,,13,,,,,,,,,,130,,,,14,,42,,6,,,2,1,,,,,,,1,,,,,,,,,,,7,,,,,,,,,,,,,,,26,,1,,1,,37,,,1,,,,147,,,,,,,,26,,,,,,2,,1,2,2,,93,,,,,,2,,,,1,,,,,2,,,,,,,10,,,2,,,,,,,,
370,--/5462/--,6625/6507/6393,35,,,,,16,2,,,,2,1,,,,,,,,,,,,30,,,,,,,,,,16,,,,19,,46,,4,,,,1,,,,3,,3,18,3,,1,,,,,,,,7,,,,,,,,,,,2,,,,,,,,,,199,,,5,,2,,263,1,1,,1,,,,69,,,,,,,,1,15,10,,504,,,,,,,1,,,1,,,,,5,,,,,,,8,,,8,,,,,,,4,
390,--/5768/--,6800/6695/6590,13,,,,,11,,,,,1,1,,2,1,,,2,,1,,,,10,,,,,,,,1,,13,,,,7,,116,,,,,,,,,,2,,2,9,1,,,,,,,,,,4,,,,,,,2,,,,,,,,,,1,,,,89,,,,,,,130,2,2,,,,,,25,1,,,,,,,,6,3,1,212,,,,,1,,1,,,1,,,,,2,,,,,,,4,,,5,,,,,,,1,
405,--/5998/--,6937/6836/6736,13,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,,1,,38,,,,3,,21,,,,,2,,,,,2,,2,,,,,,,,,,,,8,,,,,,,,,,1,,,,,1,,,,,,20,,,2,,1,,127,,,,1,,,,33,,,,,,7,,,,,,79,,,,,,,,,,1,,,,,12,,,,,,,1,,,1,,,,,,,,
430,--/6382/--,7172/7070/6970,20,,,,,5,,,1,,1,,,,2,,,,,,,,,11,,,,,,,,,,28,,,1,18,,47,,3,,,,,,,,5,,4,10,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,121,,,,,,,169,,,,1,,,,55,,,1,,,,,,4,1,,166,,,,,,2,2,,,,,,,,33,,,,,,,9,,,8,,,,,,,1,
460,--/6844/--,7512/7408/7278,59,,,,,16,5,,,21,,,,2,5,,,,,,,,,2,,,,,,,,2,,78,,,,61,,6,,2,,,,,,,,1,,11,34,2,,1,1,,,,,,,86,,,,,,,,,,,,,,,1,,,,,,56,,1,,,4,,314,9,2,,2,,,,35,1,,3,,,,,2,6,,,520,1,,,,,3,8,,,7,1,1,,,3,,,,1,,1,16,,,15,,,,,,,6,
480,--/7152/--,8171/8041/7902,27,,,,,2,,,,,,10,,,,,,,,,,,,,,,,,,,,,,14,,,,22,,,,1,,,,,,,,,,9,7,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,10,,,,,,,185,1,,,1,,1,,11,1,,,,,,,1,,,,115,,,,,,,3,,,2,,,,,2,,,,1,,,16,,,10,,,,,,,,
505,--/7538/--,9051/8833/8583,8,,,,,13,,,,17,,,,,7,,,,,,,,,7,,,,,,,,,,15,,,,46,,8,,5,,,10,,,,,,,14,,,,,,,,,,,,46,,,,,,,,,,,,,,,136,,24,,,,6,,,,,,,128,4,,,2,2,,,78,,,,,2,1608,,,26,1,,210,2,,,,,,,,,,,,,,25,,,,,,,11,,,8,1,,,,,,,
530,--/7925/--,9463/9271/9057,2,,,,,10,7,,9,,8,,,,3,,,,,,,,,,1,,,,,,,1,,7,,,,21,,6,,10,,,,,,,,,,2,,2,,3,,,,,,,,8,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,21,25,,,,,1,,61,,,,,,,,42,1,,,253,,,,,,,8,,,,,,,,8,,,,1,,,18,,,8,,,,,,,1,
540,--/8080/--,9614/9430/9235,2,1,,,,3,1,,4,,2,1,,5,3,,,,,,,,,1,1,,,,,,,3,,2,,1,,2,,15,,6,,,,,,4,,,,1,2,3,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,25,23,,,1,,,,67,3,,,,,,1,51,,,,235,,,,,,1,3,,,,,,,,3,,,,,,,11,,,16,,,,,,,1,
560,--/8390/--,9926/9748/9577,1,,,,1,2,3,,,,,2,,1,2,,,,,,,,,,,,,,,1,,,,8,,,,4,,8,,1,,,,,,,,,,3,,4,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,9,5,,,,,,,51,3,,,,,,1,12,,,,122,,,,,,,5,,,,,,,,,,,,1,,,6,,,9,,,,,,,2,
580,--/8701/--,10319/10067/9902,1,1,,,,3,1,,4,,5,,,3,5,,1,,,,,,,,,,,,,,,2,,56,,,,4,,18,,1,,,,,,1,,,,3,2,10,,2,,,,,,,,2,,,,,,,,,,,1,,,,1,,,,,,1,,,,,,,26,4,,,,2,,,99,1,,,,,,,12,,,,239,,1,,,,,13,,1,3,,,,,4,,,,1,,,11,,,9,,,,,,,1,
605,--/9090/--,10817/10465/10290,,1,,,,1,12,,3,7,,,,8,3,,1,2,,,,1,,1,1,,,,,,,2,,20,,,,3,,49,,16,,,9,,,2,,,,1,,11,,1,,,,,,,,7,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,45,,,,,1,,,133,,,,,,,,5,,,1,265,,,,,,5,13,,,2,,,1,,5,,,,4,,11,13,,,11,1,,,,,1,3,12
620,--/9323/--,11069/10697/10486,,,,,,4,5,,1,,1,2,,1,5,,,,,,,,,,,,,,,,,1,,13,,,,2,,45,,3,,,,,,,,,,2,,6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,1,,,79,1,,,,,,,3,,,,152,,,,,,,4,,,2,,,,,5,,,,,,,7,,,7,,,,,,,,
640,--/9635/--,11136/10962/10863,,,,,,1,3,,2,4,4,,,7,,,,,,,,,,,4,,,1,,,7,112,,,,1,,,,13,,400,,,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,24,,,,,,,,26,,,1,,,,,,,,,75,1,,,,3,,,,,,,,,,13,,,,,,,6,,,3,,,,,,,1,
660,--/9947/--,11389/11330/11270,1,,,,,,4,,2,,14,,,6,4,,2,,,,,,,,1,,,,,,,4,,2,,,,,,19,,2,,,,,,,,,,1,,4,,,,,1,,,,,4,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,22,,,,,,,,112,,,2,,,,3,,,,,52,1,,,,,,,,,7,1,2,,,3,,,,,,1,1,,,4,,,,,,,,
680,--/10259/--,12613/12418/12127,1,,,,,,8,,3,9,,,,6,2,,2,,,,,,,,3,,,,,,,183,1,,,,,,,95,1,,,,,,,2,,,,,,10,,,,,,,1,,,,,,,1,,,,,4,9,1,,,,,,,,,,,,,,,,,22,,1,,,,,,50,,,,,,,1,,,,,23,,,,,5,,,,,,,1,,,13,,,,,,,,,2,1,,,,,,,,
700,--/10572/--,13849/13479/12933,,,,,,,28,,1,17,,,,32,,,,,,,,,,,3,,,1,,,3,36,,,,,,,,1,,6,17,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
