Depth,EPDRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Acer,Aconitum-type,Alisma,Allium,Alnus,Amaranthaceae,Anemone,Apiaceae,Artemisia,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus,Asteroideae,Betula,Boraginaceae,Brassica-type,Brassicaceae,Bupleurum-type,Buxus,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Clematis-type,Convolvulus,Cornus sanguinea,Corylus,Cousinia,Cyperaceae,Dipsacoideae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Fabaceae,Fagopyrum,Fagus,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Geranium,Hedera,Helianthemum,Helleborus,Humulus/Cannabis,Hypericum perforatum-type,Iris,Isoetes spore,Juglans,Juniperus,Knautia,Lamiaceae,Lemna,Liliaceae,Linum,Lomelosia rotata-type,Loranthus,Lotus-type,Lysimachia,Lythrum,Matricaria-type,Matthiola,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Noaea-type,Nymphaea,Olea,Oleaceae,Ophioglossumspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pediastrum duplexcolony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantaginaceae,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Plantago media-type,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pseudopediastrum boryanumcolony,Pteridiumspore,Quercus coccifera-type,Quercus robur-type,Ranunculaceae,Ranunculus repens-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rosaceae,Rumex acetosa-type,Rumex acetosella,Rumex hydrolapathum,Salix,Sambucus nigra-type,Scrophularia/Verbascum,Scrophulariaceae,Solanum dulcamara,Sparganium-type,Stachys-type,Taxus,Teucrium,Thalictrum,Theligonum,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Urtica dioica-type,Valeriana,Valerianella,Verbena,Viburnum-type,Vicia-type,Vitis,Xanthium
5,--/63/--,568/85/-388,1,1,,,,,14,,1,,11,1,,,,,4,,,1,,,,,,59,,,,,1,3,,6,,,,3,,129,,35,,,,,,3,,4,,,3,1,,,,,3,,,,3,14,,1,,1,,,,4,1,3,1,,,,,,2,2,,,15,1,,,1,1,,54,,2,,3,,,8,76,3,,5,2,,2,,2,,6,5,55,,1,,,,1,3,,,5,,2,,,25,,,,,,2,,,2,,,,,,,2,1,
20,--/266/--,801/352/-86,2,1,,,,26,14,,2,,17,14,,10,1,1,2,,,1,,,1,2,2,8,,,,,,1,,80,,1,,15,,115,,,,,1,2,,1,,25,,,11,5,,1,1,,7,5,,,8,27,,,1,,,,,1,2,1,2,,,,20,,46,2,,,43,1,,2,,1,,47,3,,2,25,,,7,285,7,,3,,,48,1,2,6,,8,90,,1,1,,,,11,,,8,,1,,1,55,,,,,,1,,,4,,4,,,,,1,5,
30,--/405/--,955/530/114,1,1,,,,6,10,,2,,10,6,,3,2,,2,,,,,1,,,1,8,,,,,,2,,22,1,1,,5,,99,,22,,,,1,,,,4,1,1,9,2,,,,,2,1,,,4,18,,,,,,,,,,2,,,,,3,,18,1,,,22,,,1,,,,52,2,,,15,,,4,158,2,,2,,,44,,1,1,5,3,67,,1,,,,1,,6,,1,,2,,,18,,,,,,,,2,3,,,,,,,,,
50,--/687/--,1265/887/515,2,,,,,13,10,,3,,,,,5,,1,,,,1,2,,,8,,10,,,,,1,5,,258,,,,7,,124,,27,,,,3,,2,,19,,5,,,,,,,3,,,,,36,,,,,,,,,,,,,,,5,,19,,,,21,,,2,,,,63,3,,4,8,,,7,196,7,2,3,,,190,,2,4,,6,96,,,,,,2,,5,,9,,,,,34,,,,,,2,,,3,1,,,,,,1,2,
70,--/974/--,1576/1243/915,1,,,,,4,3,,1,,4,3,,1,,,1,,,,,,,1,,4,,,,,,,,14,,,,1,,32,,,,,,1,,1,,16,,,6,1,,1,,,,1,,,2,7,,,,,,,,,,1,,,,,6,,15,,,,14,,,,,,,22,,,1,3,,,3,80,5,,,,,7,,,2,2,1,49,,1,,,,,2,,,,,1,,,20,,,,,,,,,1,,,,,,,,3,1
80,--/1118/--,1733/1422/1116,1,,,,,11,7,,,,4,9,,1,1,,,,,,1,,,,2,5,,,,,,1,,131,3,,,4,,87,,22,,,,,,2,,4,,,6,1,,,,,6,1,,,4,10,,,,1,,,,,,1,,,1,,3,,7,3,,,18,1,,2,,1,,35,1,,,14,,,5,112,3,,,,,78,,,15,3,1,52,,3,,,,,5,,3,,,,,,27,,,,1,,,,2,4,,2,,,,,,2,
100,--/1409/--,2043/1778/1512,2,,,,,23,12,,1,,2,10,,3,,,1,,1,3,,,,1,1,5,,,1,,,1,,81,1,,,6,,127,,22,,,,,,2,,22,1,,15,1,,,,,4,1,,,10,17,,1,,,,,,1,,1,2,,,,14,,58,1,,,46,,,,,1,,46,4,1,,9,,4,7,202,11,,1,,,60,2,,8,7,5,104,,1,,,,,9,,1,1,,,,,47,,,,,,1,,,3,1,,,,,,,3,
120,--/1702/--,2356/2134/1905,5,,,,,35,15,,1,,6,15,,2,,,2,,,2,,,,4,,9,,,,1,6,7,,137,,,,9,,223,,61,,,,3,,,,28,,,6,2,,,,1,14,,,,9,19,,,,,,,,1,1,1,1,1,,,23,,151,1,,3,66,,1,1,,2,1,100,6,,,13,2,3,12,334,15,,4,,,58,1,1,10,9,,146,,,,,2,1,21,,1,7,,2,,,99,,,,,,3,,1,4,2,,,,1,,,5,2
140,--/1996/--,2678/2491/2299,1,,,,,60,11,,4,,3,5,,3,6,,,,,,,,3,5,4,5,,,,,2,3,,12,3,,,7,,95,,500,,,1,2,,2,,97,,,18,2,,,1,1,5,1,,,12,5,,,,,,,,,1,1,4,,,,44,,41,,,4,63,,,,,2,,50,7,,,9,3,1,11,180,5,,9,,,3,2,1,,15,5,184,,,,1,1,3,12,,,5,4,,,1,155,,,,1,1,,1,,1,5,,1,,,,,4,
160,--/2292/--,3006/2847/2684,2,2,,,,22,6,,1,6,,,,7,,,,,,,,,1,2,,7,1,,,,4,,,36,,,,7,,42,,134,,,3,1,,2,1,8,,1,4,1,,2,,,3,,,,3,1,,,,1,,,,,,1,,,,4,4,,5,,,,27,,4,,,5,,56,,,3,1,1,,3,116,,,2,,2,18,,3,,1,4,140,,,,,,1,,,,4,,,2,,88,,,,2,,1,1,,1,2,,,,,,,4,
