Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Sample quantityvolume,Abies,Acer,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Artemisia,Asphodelus,Betula,Boraginaceae,Brassicaceae,Buxus,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea solstitialis-type,Cichorioideae,Cirsium-type,Cornaceae,Corylus,Cupressaceae-type,Cyperaceae,Ephedra fragilis-type,Ericales,Euphorbiaceae,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Galium-type,Hedera,Helianthemum-type,Ilex,Ostrya-type,Phillyrea,Picea,Pinus,Pistacia,Plantago,Poaceae,Polypodiophyta (monolete)spore,Polypodiophyta (trilete)spore,Potamogeton,Quercus,Ranunculus-type,Rosaceae undiff.,Rumex,Salix,Sambucus,Scrophulariaceae,Solidago-type,Thalictrum,Tilia,Typha angustifolia/Sparganium,Ulmaceae,Unknown/spore,Viscum,Vitis,mimosoid clade
80,--/101540/--,128,30600,1,0.5,33,4,42,3,,1,6,,2,,2,1,7,,,,,,,,3,1,,2,,,34,1,,2,1,,,14,1,,8,,,36,1,1,,186,,,,,,,,,,,13,2,,,
80.2,--/101541/--,216,30600,1,0.5,18,2,44,2,2,2,2,,3,1,,,11,,,,1,,,1,2,2,1,,1,,16,,,1,,,,13,,1,6,,1,35,1,,,171,,,,,1,,,,1,,9,1,,,
80.4,--/101542/--,143,30600,1,0.5,72,2,32,1,,1,5,,5,,3,,11,,,,1,1,,2,1,2,1,1,,,34,,,1,2,,,17,1,,5,,2,32,,3,,287,1,,,1,,,,,6,,11,,,,
80.8,--/101543/--,151,30600,1,0.5,67,5,48,1,,6,6,,5,,,1,10,,,,,,,3,1,1,,1,,,31,,1,,1,,,10,1,,7,,2,33,1,3,,292,1,,,,,,,1,3,,19,,,,
81.3,--/101544/--,180,30600,1,0.5,50,4,66,3,,1,3,,5,,1,,20,,,,,,,1,,1,,1,,,36,,,,,,1,14,,,13,,1,42,2,2,,301,,,1,,1,,1,,4,1,3,,1,1,
81.8,--/101545/--,103,30600,1,0.5,78,8,40,5,,5,14,,1,,,2,27,,,1,,1,1,4,,1,,2,,,62,,3,1,3,,,30,,,12,,,31,1,1,1,420,,,,,1,,,,2,2,31,1,1,,
82.1,--/101546/--,247,30600,1,0.5,39,2,51,4,,8,9,,3,,2,,24,1,,,,1,,1,,,1,1,,,58,,,4,1,,,19,,,7,,1,35,1,2,,295,,,3,,1,,,2,4,,11,,,1,
82.3,--/101550/--,155,30600,1,0.5,30,5,50,3,1,7,3,,2,,2,,22,1,,1,3,1,,3,1,1,,2,,,30,,,1,2,,1,14,,,10,,2,52,,4,,354,,,,1,2,1,2,2,3,,12,,,,
82.5,--/101554/--,364,30600,1,0.5,10,,35,2,,1,6,,6,,,1,20,,,,,,,2,,,,2,,,15,,,1,3,,,18,,,14,,2,31,1,,,293,,,,,,,,,3,2,9,,,2,
82.7,--/101560/--,225,30600,1,0.5,26,4,31,1,2,4,10,,3,1,1,1,8,1,,,1,,,,1,1,,,,,19,,1,1,,,,24,,,4,1,4,35,,2,,256,,,,1,2,,1,,5,2,8,,,,
