,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,2.0,247.8519,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,6.0,313.3333,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,12.0,411.5555,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,24.0,608,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,36.0,804.4445,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,45.5,959.963,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,55.0,1072.899,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,64.0,1124.42,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,73.5,1178.804,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,83.0,1233.188,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,90.0,1273.261,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,101.5,1339.094,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,110.5,1390.616,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,120.0,1445,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,132.5,1500.818,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,143.0,1547.704,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,153.5,1594.591,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,164.0,1641.478,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,175.0,1690.598,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,185.0,1735.252,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,196.0,1784.371,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,206.5,1828.952,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,217.0,1872.379,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,228.0,1917.875,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,241.0,1971.643,Calendar Chron,Lewden D.,2006-02-14,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
