,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,170.0,5186.85,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,180.0,5329.15,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,190.0,5471.45,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,195.0,5542.6,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,200.0,5613.75,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,205.0,5684.9,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,210.0,5756.05,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,215.0,5827.2,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,220.0,5898.35,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,225.0,5969.5,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,230.0,6040.65,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,235.0,6111.8,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,240.0,6182.95,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,244.0,6239.87,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,245.0,6254.1,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,258.0,6439.09,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,261.0,6481.78,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,270.0,6609.85,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,275.0,6681,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,285.0,6765.5,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,290.0,6807.75,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,300.0,6892.25,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,305.0,6934.5,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,310.0,6976.75,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,312.0,6993.65,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,315.0,7019,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,320.0,7081.6,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,322.0,7106.64,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,325.0,7144.2,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,327.0,7169.24,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,330.0,7206.8,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,335.0,7269.4,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,338.0,7306.96,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,340.0,7332,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,345.0,7394.6,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,350.0,7457.2,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,353.0,7494.76,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,355.0,7519.8,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,360.0,7582.4,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,380.0,7832.8,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,383.0,7870.36,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,386.0,7907.92,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,390.0,7958,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,395.0,8020.6,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,398.0,8058.16,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,402.0,8108.24,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,427.0,8546.84,Calendar Chron,Lézine A.M.,2005-10-25,linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
