,"Method [undefined]","Depth (cm) [undefined]","thickness [undefined]","materialdated [undefined]","14C age (yr BP) [undefined]","error [undefined]","labnumber [undefined]","deltac13 [undefined]","notes [undefined]"
,14C,175.0,10.0,Algal sapropel,4590.0,140.0,A-2820,,age retenu pour l'age modele APD
,14C,175.0,10.0,Algal sapropel,4920.0,200.0,SMU-1232,,
,14C,275.0,10.0,,5880.0,80.0,SMU-1223,,age retenu pour l'age modele APD
,14C,315.0,10.0,Algal sapropel,6100.0,80.0,SMU-1231,,age retenu pour l'age modele APD
,14C,335.0,10.0,,6700.0,130.0,AA-1020,,
,14C,350.0,10.0,,6490.0,220.0,AA-1018,,
,14C,350.0,10.0,,6770.0,130.0,AA-1019,,
,14C,370.0,10.0,,6180.0,110.0,AA-1017,,
,14C,370.0,10.0,,6220.0,150.0,AA-1016,,
,14C,415.0,10.0,,7450.0,90.0,AA-1015,,age retenu pour l'age modele APD
,14C,460.0,10.0,Algal sapropel,7790.0,280.0,SMU-1230,,
,14C,460.0,10.0,Charcoal,8490.0,170.0,AA-253,,
,14C,490.0,10.0,Charcoal,8720.0,170.0,A-2951,,
,14C,490.0,10.0,Charcoal,8900.0,120.0,A-2826,,age retenu pour l'age modele APD
