,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,175.0,10.0,4590.0,4730.0,4450.0,uncorrected radiocarbon date
,275.0,10.0,5880.0,5960.0,5800.0,uncorrected radiocarbon date
,315.0,10.0,6100.0,6180.0,5920.0,uncorrected radiocarbon date
,415.0,10.0,7450.0,7540.0,7360.0,uncorrected radiocarbon date
,490.0,10.0,8900.0,9020.0,8780.0,uncorrected radiocarbon date
