Depth,Calendar years AD/BC,Abies alba,Acer,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteraceae undiff.,Brassicaceae,Carpinus betulus,Caryophyllaceae,Castanea sativa,Cedrus,Cichorioideae,Citrus,Corylus,Cupressaceae,Ericaceae,Fabaceae,Fagus sylvatica,Fraxinus excelsior-type,Fraxinus ornus-type,Galium,Hedera,Indeterminable/spore,Juglans,Myrtaceae,Olea,Ostrya-type,Phillyrea,Pinus,Pistacia-type,Plantago lanceolata,Plantago undiff.,Poaceae,Poaceae (Cerealia-type),Polygonum,Polypodiophyta (trilete)spore,Polypodiophyta undiff. (monoleteVACR,Primula,Quercus (deciduous),Quercus ilex-type,Ranunculaceae,Rhamnus-type,Rosaceae,Rumex,Salix,Salvia,Sanguisorba,Scrophulariaceae,Tilia,Trifolium,Ulmus,Urtica,Vitis vinifera
1,--/2017/--,40,1,21,4,4,2,3,2,,2,2,1,7,,3,2,2,,94,,2,1,,19,1,,22,7,10,10,3,,1,19,,1,2,,,27,17,,1,1,5,,,1,4,,,1,3,
3,--/2008/--,60.5,,14,3,,7,14,1,,4,7,,10,,,2,7,,77,1,4,,,4,,,21,3,8,20,,2,1,23,2,,7,1,,33,17,2,1,,,,,,2,,,,2,1
7.5,--/1996/--,85,,11,4,2,6,33,,1,12,2,,11,,,1,3,1,75,,1,2,,13,,3,11,2,9,5,1,,2,18,2,,4,8,1,26,12,7,1,1,4,,,,2,,,1,1,
10.5,--/1986/--,84.5,1,14,5,2,3,14,1,,7,2,,18,,1,,2,1,86,1,1,,,13,,,10,2,7,5,2,1,,17,,,5,1,1,21,17,,,1,,,,,1,,,1,1,1
13.5,--/1977/--,64,,5,5,2,6,9,1,,4,1,,10,,,1,3,,86,,,,,13,,1,20,3,3,5,,2,1,7,2,,6,4,3,50,13,1,1,2,1,,,,3,,,,1,
22.5,--/1941/--,89,,33,2,4,,17,,4,4,15,,15,1,,7,1,,149,,5,,,45,,,17,9,,16,,1,2,35,6,,5,,1,54,4,24,,5,1,1,1,,,,,2,1,
37.5,--/1837/--,35.5,4,1,,1,,,1,,2,,,,,,4,,,56,,1,,,25,,,,1,,4,,,,2,1,,2,6,2,18,1,6,2,,,,,,,,2,2,,
52.5,--/1736/--,78,,6,,2,,,,,1,1,,,3,5,3,,,58,,,,3,11,,,2,1,,1,,,,2,3,,1,48,,13,3,1,2,2,,2,,,,,,,1,
67.5,--/1654/--,89,2,8,2,1,,1,,16,,1,,,,,1,1,,167,,4,,23,15,,,3,17,,11,,4,,7,3,,1,48,,49,5,7,1,2,4,1,1,,,,1,2,,
81.7,--/1575/--,116.5,1,6,,,,1,,2,,1,,,,,3,,,70,,4,,,7,,,,5,,2,,2,,1,2,,4,58,,13,,7,,,,,1,,,,1,,,
95.2,--/1505/--,137,6,4,1,,,1,,7,1,1,,2,,4,2,,,136,,2,,,19,,,,5,,7,,2,,4,1,,5,26,,45,5,5,,,1,,,,,,,1,1,
109,--/1430/--,122.5,,4,1,,,,,4,2,,,1,,2,2,,,46,,4,,,16,1,,1,10,,4,,,,5,2,,3,29,,41,6,2,,,,,,,,,,3,,
122.3,--/1360/--,99.5,6,5,,,,,2,3,,,,,,,,2,,62,,3,,,20,,,,4,,7,,1,,5,3,,1,16,,19,2,4,,1,,,,,,,,,,
135.8,--/1305/--,102,17,7,2,,,,,,,1,,,,,4,1,,17,,4,,,31,,,,4,,10,,1,,5,4,,2,3,,42,1,17,1,2,,,,,,,,2,,
149.3,--/1248/--,143.5,16,4,1,,,,,,2,1,,,,,3,1,,9,,7,,,28,,,,6,,8,,,,4,5,,,20,,45,5,8,,1,,,,,,1,,1,1,
162.8,--/1190/--,125,12,7,,,1,,,2,4,1,,,,,,,,8,,,,,16,,,,1,,13,,,,4,1,,5,23,,23,,3,,,,,,,,,,1,,
169.6,--/1165/--,104,6,4,2,1,,,,3,3,1,,3,,,5,,,4,,4,,,14,,,,2,,8,,,,2,3,,4,30,,41,,4,,1,,,,,,,,,,
181.8,--/1110/--,100.5,8,3,1,,,,,,,,,2,,,7,,,6,,,,,16,,,,,,14,,,,4,1,,5,12,,23,,5,,,,,,,,,,,1,
195.3,--/1055/--,60.5,21,16,,,,,,,2,,,,,1,1,,,7,,1,,,38,,,,2,,18,,,,9,2,,14,17,,8,,2,,1,,,,,,,1,,,
208.8,--/1005/--,4.5,2,7,5,,,1,,,,,,6,,,2,,,,,,,,14,,,,,,3,,,,9,3,,10,71,,,,1,,,,,,,,,,,,
229.1,--/935/--,3,,2,28,,,2,,1,,,,5,,,4,,,1,,,,,18,,,,,,2,,,,15,2,,4,49,,,,,,,,,,,,,,,1,
240,--/903/--,4,3,2,6,,,1,,,1,,,5,,,,,,2,,,,,14,,,,,,2,,,,9,,,5,55,,,,,,1,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,
