lab number,Depth,14c,error
KI-1562.011,"125,0",8600,145
KI-1562.021,"225,5",12180,280
KI-1562.031,"332,2",13330,490
KI-1562.051,"429,2",16270,255
KI-1562.061,"505,8",19590,880
