Depth,C14 BP,Cal yrs BP,Sample quantity volume,Spike quantity added,Spike counted,Spike concentration,concentration,Acacia,Amaranthaceae,Apiosordaria,Artemisia,Asteroideae,Brassicaceae,Cichorioideae,Commiphora,Cyperaceae,Fabaceae,Glomus (spore),Huperzia (spore),Indeterminable (spore),Indeterminable (unknown) (spore),Linum usitatissimum,Monactinus simplex filament/cell,Poaceae,Poaceae (Cerealia),Polygonum aviculare,Prunella,Pseudopediastrum boryanum filament,Quercus,Riccia (spore),Rumex,Selaginella,Tilletia (spore),Turbellaria,Typha/Sparganium,Unknown (type 119
812.5,2615.1,2685.3,2,2,1132,9666,3458,,115,,4,56,,6,,15,13,5,,45,9,2,17,75,3,,,11,9,2,5,5,,3,4,
920,3145.6,3302.6,2,2,1197,9666,3012,1,51,,,80,,11,,45,3,,,8,3,2,6,71,7,,,3,30,19,,5,,26,,1
1030,3688.5,3934.2,2,2,674,9666,5793,1,98,,,69,,,,38,2,,,81,1,,12,79,13,,,1,,,,,,9,,2
1085,3960,4250,2,2,361,9666,11326,1,39,,,157,2,3,,2,,,,125,2,,1,74,9,,1,,,,3,,,4,,
1155,4305.5,4651.9,2,2,269,9666,15487,,42,5,,84,,,1,30,7,,1,102,8,1,8,112,10,1,,9,,,,,4,5,,
