Depth,Lycopodium spike spore,C14 BP,Cal BP,Abies,Algae? (type 128A,Algae? (type 128B,Amaranthaceae,Amaranthaceae (broken),Amaranthaceae (crumpled),Amaranthaceae (degraded),Anthemis-type,Apiaceae,Artemisia,Aster-type,Asteraceae undiff.,Asteraceae undiff. (crumpled),Botryococcus spore,Brassicaceae,Butomus,Carduus-type,Caryophyllaceae,Cedrus,Cedrus (broken),Cedrus (degraded),Centaurea cyanus-type,Centaurea solstitialis-type,Centaurea undiff.,Ceratophyllum,Cichorieae,Coelastrum palynomorph,Convolvulaceae,Corylus-type,Cyperaceae,Cyperaceae (broken),Cyperaceae (corroded),Cyperaceae (crumpled),Cyperaceae (degraded),Cystopteris fragilis-type spore,Dinoflagellata cyst,Dipsacoideae,Ephedra fragilis-type,Epilobium-type,Ericaceae,Fabaceae,Fraxinus ornus-type,Galium-type,Gelasinospora-type spore,Geraniaceae,Glomus spore,Humulus/Cannabis-type,Indeterminable (broken) spore,Indeterminable (corroded) spore,Indeterminable (crumpled) spore,Indeterminable (degraded) spore,Indeterminable (obscured) spore,Juglans regia,Juniperus,Lemna-type,Lythrum,Mougeotia-type palynomorph,Myriophyllum,Nymphaea,Olea-type,Oleaceae (broken),Oleaceae (crumpled),Oleaceae (obscured),Pediastrum simplex-type colony,Pinaceae (broken),Pinaceae (crumpled),Pinaceae (degraded),Pinus,Pinus (broken),Pinus (corroded),Pinus (crumpled),Pinus (degraded),Pinus (fragmented),Pistacia,Plantago lanceolata,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Poaceae (Cerealia-type,Poaceae (Cerealia-type,Poaceae (Cerealia-type,Poaceae (broken),Poaceae (corroded),Poaceae (crumpled),Poaceae (degraded),Potamogeton,Pseudopediastrum boryanum-type colony,Quercus cerris-type,Quercus coccifera-type,Quercus coccifera-type (broken),Quercus coccifera-type (crumpled),Quercus undiff.,Quercus undiff. (broken),Quercus undiff. (corroded),Quercus undiff. (crumpled),Quercus undiff. (degraded),Quercus undiff. (obscured),Ranunculaceae,Sanguisorba minor-type,Sparganium,Sparganium (broken),Sparganium (crumpled),Sparganium (degraded),Spirogyra spore,Spirogyra (type 132,Thalictrum-type,Thelypteris phegopteris-type spore,Thymus-type,Triletesspore,Typha latifolia,Typha latifolia (broken),Typha latifolia (crumpled),Typha latifolia (degraded),Ulmus,Unknown spore,Unknown (type 610) spore,Urtica-type,Zygnema-type
0.5,38,--/226.875/--,--/297.375/--,,,,29,4,8,1,,,,,,,,,,1,,1,,1,,,,,9,,,,36,9,5,14,1,,,,,,,,,,7,,1,,1,,12,,1,,,,,,,,,,,,,,,3,34,17,137,41,10,36,,,,,6,,,,,,,1,,,9,,2,,,,,,,,,1,,2,,,1,6,,,,,,,,,,,,,,1
12.5,79,--/443.3036/--,--/491.5179/--,,15,35,17,,2,,,,,,,,,,,1,,,,1,1,,,1,4,,,,45,14,2,12,1,,,,,,,,,,3,,,,1,2,9,4,,,,,,,,2,,,,,,,,,21,30,4,58,165,35,,,,,3,,,,,1,,6,,,4,,1,,,,,,1,,,3,,10,,,,6,7,,,,,,,,,,,,,2
20.5,68,--/587.5893/--,--/620.9464/--,,6,52,1,,,,1,,,,,,,,1,2,,,1,1,,1,,,2,,,,6,,1,1,,,,,,,,,,,,,2,,,,2,,,,,,,,,5,,,,,,,,1,50,78,75,29,102,59,,,,,3,,,,,1,,1,,,3,,1,,,,,,1,,,,,3,,,,5,,,,,,,,1,,,,,,
28.5,50,--/731.875/--,--/750.375/--,1,,3,1,,,,,1,1,,1,,,,,2,,,,,,,1,,,,,,4,,,4,,,,,,,1,,,,,,2,,,,8,3,2,,,,,,,1,,,,,,,,,82,39,1,60,81,51,,,,,17,,,,2,1,,7,,,,,1,1,1,,,,,,,,,2,,,,3,,,,,,1,,,,,,,,10
36.5,110,--/876.1607/--,--/879.8036/--,,2,12,3,,,,,,2,,,1,4,,,1,,,,,,,,,1,,,,23,3,,3,,,,,1,,,,,,,,16,,,,1,,1,,,,,,,,,,,,,,,,82,63,,58,79,36,,,,,7,2,,,,,,1,,,,1,1,,1,,,,,,,,,5,,,,1,1,,,,1,3,,,,,,,,
40.5,60,--/948.3036/--,--/944.5179/--,,,12,4,,,,,,,,,,,,,,2,,1,2,,2,,,5,,,,20,5,5,16,1,,,,,,,,,,,,13,,3,,3,,2,,,,,5,,,,,,,,,,2,15,28,65,24,150,37,,,,,1,,,,,1,,5,,,,,3,,,,,,,,,2,,,,,,1,,,,,,1,1,,,,,,,2
48.5,145,--/1092.589/--,--/1073.946/--,,,52,4,,,,3,,2,,,,,,1,3,,,1,1,1,6,1,,2,,,,137,19,,13,,,,,,,,,,,,,24,,2,1,10,1,3,,,8,,,1,5,,,,1,,,,2,79,59,1,38,48,70,,1,,,20,2,,,,2,3,6,,1,2,,10,1,3,,,,,,,1,1,11,,,,27,3,,,,,10,1,,1,,,2,,9
64.5,58,--/1381.161/--,--/1332.804/--,,,42,19,1,1,,1,,3,,1,,,,,,,1,1,,,,2,22,2,,,,99,5,1,13,,,1,,,,,1,,,1,,3,,2,1,18,,18,1,2,,1,,11,11,,,,,,,,1,75,,2,11,12,33,1,,,,17,2,,1,,4,,9,,,7,1,5,,1,,,,,,,7,,32,,2,,12,5,,,,,6,1,1,1,,,1,,5
72.5,90,--/1525.446/--,--/1462.232/--,,4,90,4,,,,,,,,1,1,1,,,,,1,5,1,1,,,22,2,,,,82,33,1,52,2,,1,,,,,,,,,,1,,3,1,10,2,9,1,,,,,3,15,,,,,1,,1,,77,57,28,36,33,84,,,,,22,,,,,2,2,10,,1,14,1,7,,,,2,,1,1,,10,1,20,1,,,7,7,,,,,18,2,1,5,,,5,1,4
80.5,202,--/1669.732/--,--/1591.661/--,,,69,6,,,,1,,2,,1,,12,,,7,2,2,1,,,,,16,6,2,,,311,32,4,178,1,,,,,,,,,1,,,3,1,4,,11,,15,3,1,3,,2,,120,,1,,4,,,1,,52,36,4,11,3,46,,,,,26,2,,,,4,3,10,,,19,,5,,,,,1,2,,,90,,15,1,,,52,7,,,,,8,1,,,,,,,7
96.5,154,--/1826.25/--,--/1743.317/--,,,96,1,,,,,,3,1,,,11,,,4,1,1,1,,,,,10,2,,,,751,49,1,39,,,,,,,,,,1,,,,1,3,1,5,1,8,4,1,,1,,1,63,,,,,,,,,35,33,1,6,2,55,1,2,,,65,1,,1,,4,3,9,2,,88,,13,,,,1,,,,,3,2,8,1,,,72,12,,,,1,11,,,,1,,,,5
112.5,312,--/1866.25/--,--/1800.383/--,,5,52,5,,1,,5,,9,,,,1,1,,4,,,2,,,,,3,1,,,,170,43,,71,,,,1,,1,,,,1,,,5,,1,,1,,4,5,,,,,,4,,,1,1,,,,,28,25,,1,2,29,1,1,,,15,1,,,1,1,1,5,,,7,,1,1,,,2,,4,,,3,4,,,,,12,8,1,,1,,4,,,,,,,,2
128.5,275,--/1994.333/--,--/1962.401/--,,,7,4,,,,3,2,5,,,,,,,1,,,,,,,2,1,1,,,,124,62,,73,,3,,,,,,,,1,,,2,1,3,,4,,7,5,,,,,,,,1,2,5,,1,1,,15,12,,2,,4,1,,,4,15,3,,,,5,,4,,,15,,2,,,,1,,1,,,2,,3,,2,,4,,,,,,2,4,,,,,2,,3
144.5,338,--/2168.556/--,--/2179.394/--,,,8,9,,2,,8,2,5,1,,2,2,1,,9,3,,,1,1,,3,20,6,,1,,200,56,1,66,,,,1,,,,,1,4,,,8,,5,,4,,12,5,,,,,,,,,,5,,,,,48,45,1,2,,19,,1,,,88,2,2,,,12,1,11,,1,4,1,9,,,,2,,,,5,7,,2,,,,8,,,1,,,12,,1,,,,7,,
160.5,296,--/2342.778/--,--/2396.387/--,,,26,7,,,,13,5,5,1,2,1,,,,18,,2,,,,3,2,35,9,,,,75,34,1,73,,,,1,,1,,,,2,,,7,,1,,6,,10,1,1,1,,,2,,2,2,1,4,,1,,,45,29,,9,1,28,1,,,3,100,2,,,,4,1,19,1,,5,,14,,,,,,,,,7,,3,,,,9,1,,,1,,8,1,,1,,,8,,1
176.5,398,--/2517/--,--/2613.38/--,,,15,22,,,,1,2,16,,,,,1,9,4,4,2,,,,2,,54,2,,,4,37,6,,7,,,,,,,,,,,,,4,,4,,,,3,,2,,,,207,,,,,,,,,,63,51,2,6,2,14,1,1,,,70,,,,,2,,9,,22,253,3,22,1,,,1,,1,,,18,1,2,1,,,17,6,,,,,5,1,,,,,,,
192.5,279,--/2691.222/--,--/2830.372/--,,,4,10,,,,19,1,7,3,,1,,,,25,2,1,,,1,3,1,27,18,,1,,132,23,,46,,,,1,,1,,1,,4,,2,4,,,1,2,1,7,1,,,1,,12,,,,,1,,,,,58,35,1,14,4,40,2,,1,1,72,6,1,,,7,1,7,,1,19,,8,,,1,1,,1,,,8,,8,1,,,9,3,,,,1,15,,,,,2,,,1
,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
