labID,"	age","	error","	depth","	cc",delta.R,delta.STD
Beta- 100435,1300,60,60,1,-25,0.1
SRR-5186,1805,45,88,1,-26.1,0.1
Beta 56674,1880,60,118,1,,
SRR-5187,2615,50,186.5,1,-26.9,0.1
