Depth,EPD defaultRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Dinoflagellatacyst,Abies,Acer,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asphodelus,Asteroideae,Betula,Brassicaceae,Buxus,Cannabaceae,Carpinus,Caryophyllaceae,Cichorioideae,Cistus,Convolvulus,Corylus,Cyperaceae,Ephedra,Epilobium,Ericaceae,Euphorbia,Fabaceae,Fagus,Fraxinus,Geraniaceae,Hedera,Helianthemum,Juglans,Juniperus,Lamiaceae,Ligustrum,Lygeum-type,Malva,Monocotyledoneae,Myriophyllum,Nymphaea,Olea,Persicaria amphibia,Phillyrea,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Polygonum,Poterium sanguisorba,Pseudoschizaeapalynomorph,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Rhamnus,Rosaceae,Rubiaceae,Rumex,Salix,Scabiosa,Sparganium-type,Thalictrum,Thymelaea,Tilia,Typha latifolia-type,Ulmus,Unknown (monolete)spore,Unknown (trilete)spore,Vitis,Zygnemataceaepalynomorph
615,--/3424/--,4537/3936/3316,,,,3,13,11,4,,19,2,,,,,1,11,,1,2,17,,,7,1,1,2,,,,,1,,,,,,,,,132,,9,11,10,22,19,,1,,1,7,9,,,,,2,1,,8,1,,,,,1,1,1,
660,--/3612/--,4673/4149/3608,,,,2,23,16,4,,20,,,,,1,,7,,,4,16,,,3,,,,,,,,,,1,,,,,,,132,,2,7,13,23,21,4,2,,1,10,9,,,,,,,,3,2,1,,,,,3,,
705,--/3801/--,4808/4362/3898,,,,6,6,12,4,,16,,,,,,2,6,,,6,35,,,7,,,3,,,,,,1,,,,,,,,123,,5,13,8,34,23,,3,,4,9,9,,,,,1,,,6,,,,,,,1,3,
750,--/3989/--,4945/4574/4187,,,,,13,7,3,,9,1,,,,,1,2,,,3,24,1,,6,,,2,,,,,,,,,,,,,,93,,3,11,10,6,28,1,,,,10,8,1,,,,1,,,2,,,,,,1,,,
795,--/4178/--,5085/4787/4474,,,,2,6,3,1,,15,1,,,,,,14,,,1,14,,,2,,2,,,,,,,,,,,,,,,93,,1,11,4,17,29,,,,1,7,2,1,,,,2,,,2,,,,,,,2,2,
850,--/4408/--,5262/5047/4816,,,,1,7,21,11,,13,2,,,,,,7,,,4,6,2,,5,,,1,,,,,,,1,,,,,1,,158,,,4,14,14,11,,,,2,7,7,,,,,,,,,,,,,,,,3,
860,--/4450/--,5296/5094/4877,,,,7,6,23,3,3,27,2,,,,,1,5,,,18,19,,,15,,5,2,,,,,1,2,,,,,,,,239,,,2,6,11,14,,,,3,9,6,,,,,1,,,14,,,,,,,3,,
870,--/4492/--,5331/5141/4938,,,,2,3,17,6,3,39,1,,,,,2,6,,,6,6,5,,5,,,2,,,,,,,,,,,,,,78,1,,2,3,29,19,,8,,7,9,3,,,,,3,,,11,,3,,,,2,17,,
880,--/4534/--,5367/5188/4998,,,,4,4,24,2,1,42,,,1,,,1,6,,,5,14,7,,4,,4,,,,,,,1,,,,,,,,89,,,9,,42,28,,9,,2,4,1,,,,,2,,,11,,2,,,,1,7,1,
890,--/4576/--,5404/5236/5057,,,,3,4,14,4,,27,1,,,,,2,3,,,1,5,,,1,,3,,1,,,,,,,,,,,,,97,,,,1,31,15,,1,,4,6,6,,,,,1,,,6,,,,1,1,1,9,1,
900,--/4618/--,5442/5283/5115,,,,2,4,36,4,1,48,,,,,,5,10,,,7,7,12,,14,,3,,,,,,,9,,,,,,,,14,,,12,,52,25,1,13,,12,2,2,,,,,,,,7,,1,1,,,,13,1,
910,--/4659/--,5480/5330/5171,,,,5,3,29,3,,52,,,,,,4,15,,,1,10,4,,6,,4,4,,,1,,,7,,,,,,,,26,,1,13,1,41,35,2,9,,5,3,3,,,,,2,,,6,,,,,,2,11,,
920,--/4701/--,5520/5377/5226,,,,6,3,26,3,,49,,,2,,,9,7,,,7,26,5,,6,,2,,,,,,,1,,,,,,,,15,,,13,,62,37,1,38,,1,2,6,,,,,,,,3,,,,,,1,16,,
930,--/4743/--,5561/5425/5281,,,,3,5,23,2,3,35,,,,,,3,9,,,5,15,1,,3,,1,1,,1,,,,,,,,,,,,87,,,3,,80,37,2,14,,2,7,7,,,,,3,,,6,,,,,,2,6,3,
940,--/4785/--,5605/5472/5335,,,,5,3,19,2,1,48,,,,,,3,3,,,4,11,4,,1,,2,1,,,,,,,1,,,,,,,72,,,6,,59,31,3,14,,2,1,10,,,,,6,,,2,,,,,,,3,,
950,--/4827/--,5647/5519/5386,,1,,2,6,10,2,3,34,,,,,,7,7,,,12,2,2,,5,,,,,,,,,,,,,,,,,94,,,9,,86,21,3,10,,1,2,6,,,,,3,,,2,1,,1,,,1,6,,
960,--/4869/--,5693/5566/5437,,,,4,2,27,2,2,50,,,3,,,10,3,,,5,8,5,,2,,,,,1,,,,1,,,,,,,,8,,,10,2,52,36,3,41,,,1,3,,,,,,,,1,,,,,,3,24,,
970,--/4911/--,5740/5614/5485,,,,1,6,26,,1,40,,,,,,6,5,,,3,9,4,,3,,,,,,,1,,1,,,,,,,,7,,,13,,70,37,2,67,,,2,5,1,,,,3,,,,,,,,,,21,,
980,--/4952/--,5789/5661/5533,,,,5,2,26,5,1,27,,,,,,2,7,,,,1,4,,7,,,,,2,,,,2,1,,,,,,,37,,,4,,24,14,1,60,,2,4,3,,,,,4,,,3,,,,,1,,9,,
