"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
330799,Carbon-14,Radiocarbon years BP,845,,4563,30,30,false,,SacA-11663,charcoal,
330800,Carbon-14,Radiocarbon years BP,1005,,5410,40,40,false,,Poz-42441,charcoal,
330801,Carbon-14,Radiocarbon years BP,1117.5,,6115,30,30,false,,SacA-11668,peat,
330802,Carbon-14,Radiocarbon years BP,1215,,6500,30,30,false,,SacA-11669,charcoal,
330803,Carbon-14,Radiocarbon years BP,1415,,6650,60,60,false,,Poz-42439,charcoal,
