Depth,CAL BP,C14 BP,Abies,Acer,Alisma,Alnus,Amaranthaceae,Anthemis,Apiaceae,Arceuthobium,Artemisia,Asphodelus,Asplenium-type (spore),Aster,Asteroideae,Atriplex,Betula,Boraginaceae,Brassicaceae,Bupleurum,Buxus,Calligonum,Calluna,Campanulaceae,Carlina-type,Caryophyllaceae,Cedrus,Centaurea,Centaurea nigra,Centaurium,Cerastium,Cichorioideae,Cirsium,Cistus,Cistus salviifolius,Cladium-type,Colchicum,Cornus sanguinea,Corylus,Crassulaceae,Cuscuta,Cyperaceae,Daphne gnidium,Dipsacoideae,Echium,Ephedra fragilis-type,Erica arborea-type,Erodium,Euphorbia,Fabaceae,Fedia,Filago,Filipendula,Fraxinus,Galeopsis,Genista-type,Geranium,Hedera,Hedysarum,Helianthemum,Hippophaë,Hypericum,Isoetes (spore),Juniperus,Lamiaceae,Lemna,Liliaceae-type,Linaria-type,Linum maritimum-type,Linum usitatissimum-type,Lotus,Lygeum spartum,Lythrum,Matthiola,Mentha,Myriophyllum alterniflorum-type,Myriophyllum verticillatum-type,Myrtus,Nymphaea,Odontites,Olea,Ononis,Ononis-type,Ophioglossum lusitanicum (spore),Osmunda regalis (spore),Paronychia-type,Phillyrea,Pinus,Pinus pinaster-type,Pistacia,Plantago coronopus-type,Plantago lagopus-type,Plantago maritima-type,Poaceae,Poaceae (Cerealia),Poaceae (Cerealia-type),Polycarpon-type,Polygonum aviculare,Polypodium,Potamogeton-type,Poterium sanguisorba,Primula,Prunus,Quercus,Quercus ilex-type,Quercus suber-type,Ranunculaceae,Rosaceae,Rubiaceae,Rumex,Rumex conglomeratus,Rumex hydrolapathum-type,Sagina,Salix,Scabiosa,Scrophularia-type,Selaginella denticulata (spore),Silene,Silene-type,Solanum dulcamara,Spergula,Thalictrum,Theligonum,Theligonum cynocrambe,Thelypteris palustris-type (spore),Thymelaeaceae,Trifolium-type,Typha latifolia,Typha/Sparganium,Ulex,Ulmus,Unknown (monolete) (spore),Unknown (trilete) (spore),Valerianoideae,Verbascum,Viburnum,Vicia-type,Vitex,Vitis
145,13623,11497,,,4,,8,,5,,18,5,,,2,,,,1,,,,,,,2,31,1,,,,4,,,,,,,,,,180,,,,3,,,4,3,,,,,,,,,,,,,,1,1,15,2,,,,1,,11,,,,3,,,,,,,,,2,,21,32,,8,3,1,126,,,,1,,4,,,,3,,,6,,6,,,,,1,,1,,,,,,,,,,,,,8,,,,,,,,3,,
155,13807,11646,,,,2,6,,8,,15,1,,,7,,1,,7,,,,,1,,1,39,,,,,1,,,,,,,,,,78,,,,2,4,,1,,,,1,,,,,,,,,,,2,,9,2,,,,,,20,,,1,2,,,,1,,1,1,,,,25,4,,4,,,58,,,,,,,,,,10,,,2,,12,1,,,,,,,2,,,,,3,,,,,1,,1,,,,,,,,2,,
165,13992,11795,1,,,1,1,,10,,12,,,,1,,,,,,,,,1,,,7,,,,,1,,,,,,,,,10,64,,,,1,,,,,,,1,,,,,,,,,,,1,,8,,,,,,,15,,,,,,,1,,,,,,,,34,45,,1,1,,95,,,,,,,,,,3,,,2,,3,2,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,34,,
175,14177,11945,,,,,,,14,,10,,,,2,,,,,,,,,,,,3,,,,,,,,,,,,,,2,200,,,,1,,,,,,,,,,,,,,,,,,,,5,1,,,,,,10,,,,,,,,,,,,,,,11,71,,1,1,,140,,,,,,,,,,3,,,2,,8,5,,,,,,,,,,,,1,,,,,,,,,,,,,,,31,,
185,14361,12094,,,1,,,8,18,,11,,,7,,,,,,10,,,,,,,,1,,,,1,,,,,,,,,,32,,1,,,,,,,,,,,1,,,,,2,,,108,6,,,,,1,,,,1,,1,4,,,,,,,1,,,1,1,146,106,,6,24,,170,,6,,3,,1,,,,11,,8,6,,3,12,,,,3,,,,,2,,,1,,,,,1,,3,,,,,,,,,,
195,14546,12243,4,,11,1,1,,20,,12,1,,,1,,,,,,,,,,,1,2,,,,,3,,1,,,,,,,,22,,,,1,1,,1,8,,,,,,,,,,4,,,25,,7,1,,,,1,3,,,,,2,,,,,,,,,,,,106,75,,16,7,,159,,1,,,,5,1,,,,,12,9,,9,6,,,,1,1,2,,,,,,,,,,,,,35,,,1,,,,,,,
205,14731,12392,,,1,1,9,,33,,10,4,,,1,,,,17,,,,,,,2,5,2,,,,8,,1,,,,,,,,29,,,,,,,,2,,,,,,,,,,1,,,43,1,2,3,5,,,,3,,3,,,2,5,,,,,,,,,5,,15,121,,10,1,2,124,,,,,,12,,,,4,,,6,,3,8,,,,,,2,,,,11,,,,,,,2,,44,,,,,,,,,,
215,14915,12541,,,,,6,,7,,21,11,,,11,,,,,,,,,,,3,9,,,,,,,,,,,,,,,277,,,,3,,,,,,,,,,,,,,3,,,,,,6,,,,,,,7,,,3,,,,,4,,,,,3,,33,104,,12,,,137,,,,,,7,,,,8,,,9,,,,,,,3,,7,,,,,,,,,,,,,22,,,,,,,,3,,
225,15100,12691,12,,15,,12,,21,,24,6,,,7,,,,26,,,,,,,5,26,17,,,,11,,3,,,,,,,,245,,,,13,,,,13,,,,,,,,,,,,,,3,8,30,11,,,,11,,37,,,,,,,,7,,,,,,,32,102,,35,,,161,,,,,,,,,,11,,,26,,17,,,,,6,,8,,,,,,,,,,,7,,62,,,,,,,,22,,
235,15284,12840,2,,,,2,1,17,,23,,,5,,,,,1,1,,,,1,,2,6,,,,,,,,,1,,,,,,138,,,,,1,,,,,,2,,,,,,,1,,,2,3,,,,,,,1,,21,,,1,,,,2,,10,,,,,,156,114,,3,,,228,,,,,,,,,,5,2,3,5,,18,2,,,,2,,,,,,,,1,,,,,1,,,,,3,1,,,,9,,
245,15469,12989,1,,,,6,,11,,20,2,,,9,,,,7,,,,,,,,6,1,,,,4,,,,,,,,,,93,,,,1,,,,,,,,,,,,,,1,,,21,2,,9,3,,,,1,,15,,,3,1,,,,1,,,,,,,23,125,,11,2,4,113,,,,,,8,,1,,17,,,7,,21,10,,,,1,,,,,,3,,,,,,,3,,23,,,,,,,,7,1,
255,15654,13138,1,,,,9,,10,,10,,,,9,,,,1,,,,,,,2,9,2,,,,4,,1,,,,,,,1,16,,1,,,,1,1,,,,1,,,,,,,1,1,,36,1,,,,,,,,,2,,,1,,,,,,,,,,1,,32,33,,13,1,1,51,,1,2,2,,1,,,,7,,,6,,4,9,,,,,,,,,3,,,1,,,,,1,,,,,,,,,,1,,
265,15838,13287,,,,,4,,9,,9,,,,2,,,,1,,,,,1,,,9,1,,,,1,,,,,,1,,1,,,,,,3,,,,,,,,,,,,,,4,,,11,1,1,,2,,,,,,3,,,7,,,,,,,1,,,,,20,125,,6,,1,100,,1,,,,5,,,,11,,3,3,,3,12,,,,,,,,,1,1,,1,,,,,,,1,,,,,,,,,,
275,16023,13436,,,,1,5,,3,,9,1,,,2,,,,2,,,,,,,,5,,,,,2,,1,,,,,,,,41,,,,2,2,,,,,,,,,,,,,1,,,5,,,,1,,,,3,1,1,,,4,2,,,,,1,,,,,,41,110,,3,,,107,,,,1,,7,,,,16,,,5,,2,1,,,,1,,,,,,,,,,,,,,,10,,,1,,,1,,,,
285,16208,13586,,,,1,7,,6,,28,2,,,5,,,,2,,,,,,,1,31,4,,,,12,,,,,,,,,,30,,,,,1,,,,,,,,,,,,,2,,,14,2,,,4,,,,,,1,,,6,3,,,,,,,,,2,,29,135,,5,1,1,103,,,,,,3,,,,15,,1,8,1,3,2,,,,4,,3,,,,,,,,,,,,,7,,1,1,1,,,,,,
295,16392,13735,1,,,1,11,1,9,,26,,,10,,,,,,1,,,,,,1,11,,3,,,6,,1,,6,,,,,,15,,,,,,,1,,,,2,,,,,,,2,1,,15,2,,,,,,,,,1,,,,,,,2,,,,,,,,208,176,,14,,,104,,,,,,7,,1,,5,1,7,2,,3,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
