Depth,Giesecke et al. 2014 (MADCAP),FossilvaRadiocarbon years BP,EPDRadiocarbon years BP,Abies,Acanthus,Acer,Alisma,Allium,Alnus,Amaranthaceae,Anagallis,Anemone,Apiaceae,Apium-type,Arbutus,Armeria/Limonium,Artemisia,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus,Aspleniumspore,Asteroideae,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bunium-type,Bupleurum-type,Butomus umbellatus,Buxus,Calligonum,Calystegia,Campanulaceae,Capsella-type,Carduus-type,Carpinus betulus,Carthamus,Caryophyllaceae,Castanea,Centaurea solstitialis-type,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Clematis-type,Colchicum,Convolvulus,Cornus,Corylus,Cotinus coggygria,Crocus,Cyclamen,Cyperaceae,Datisca,Digitalis,Dryopteris-typespore,Echium-type,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Euphorbiaceae,Fabaceae,Fagopyrum,Fagus,Filago-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentiana,Gentianaceae,Geraniaceae,Geranium,Gossypium,Hedera,Helianthemum,Heliotropium-type,Humulus/Cannabis,Hymenophyllumspore,Hyoscyamus,Hypericum perforatum-type,Hystrix,Isoëtesspore,Juglans,Juniperus,Knautia,Lemna,Liliaceae,Linum,Lotus-type,Lycopodiumspore,Lysimachia,Lythrum,Malva,Malvaceae,Matricaria-type,Matthiola,Menyanthes trifoliata,Mercurialis annua,Mesembryanthemum,Morus,Myriophyllum spicatum/M. verticillatum,Noaea-type,Nymphaea,Olea,Oleaceae,Ophioglossumspore,Orchidaceae,Osmunda regalisspore,Ostrya/Carpinus orientalis,Paliurus,Phillyrea,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Plumbaginaceae,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polygonum aviculare-type,Polypodiumspore,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae,Prunus-type,Pteridiumspore,Pterisspore,Quercus cerris-type,Quercus coccifera-type,Radiola,Ranunculaceae,Ranunculus acris-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Ranunculus undiff.,Rhamnaceae,Rhamnus,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Salix,Salvia,Sambucus nigra-type,Scabiosa,Scilla-type,Scrophularia/Verbascum,Scrophulariaceae,Senecio-type,Sideritis,Solanum dulcamara,Sparganium-type,Stachys-type,Tamarix,Taxus,Teucrium,Thalictrum,Theligonum,Thelypteris palustrisspore,Thymelaeaceae,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Valeriana,Valerianella,Verbena,Viburnum-type,Vicia-type,Vitis,Xanthium
45,745/625/528,--/648/--,--/1176/--,,,,,,,66,,,3,1,,,1,,,,,10,,,,1,,,,,,,,,,4,,,,1,9,87,,,,,,,,,,,22,,,4,,,4,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,3,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,9,,,,,,,,,,6,1,,3,1,,,,,,16,,7,1,,,,,,,,,,,,1,,,,,,,,,,,8,,,,,,,,,,,,,,12,,,,,,,1,
60,934/827/734,--/864/--,--/1455/--,,,,,,1,15,,,6,,1,,,,1,,,28,,,,2,,,,,,,,,,,1,,6,,11,102,,,5,,,,2,,,,24,,,13,,,,,3,,,,,1,2,,,,2,,,,,,,1,,1,,,,,15,,1,,,,,,,,,,,3,,,,,,,,,1,,6,,,4,1,,,,7,,,2,,,,,,,31,,,15,3,,,,,,64,,35,9,,,,,,3,,,,,,,,,,,,,,3,,,1,,,,,,,,,,1,,,,28,1,,,,,,,
80,1194/1103/1015,--/1152/--,--/1801/--,3,,,1,,,286,,,9,6,,,1,,,1,,12,1,,1,6,,,,,,,,,,5,,,3,2,11,93,,,,,,,1,,,,55,,,2,,,,,6,1,,1,,,,,,,,,,,,,1,,,,,,,,7,,1,1,,,1,,,,1,,1,,,,,,,,,,3,,,1,,1,,,,,41,1,46,,,3,,,,,33,2,,21,,,,,,,6,,53,12,,,,,,,,,,1,,,,,,,,,,1,,,72,,,,,,,,,,,2,,,62,,,,,,,,
100,1483/1390/1299,--/1437/--,--/2124/--,1,,,,,2,195,,,15,,,,4,,,,,8,,,2,2,,,,,,,,,,1,,,,,6,66,,,,,,,1,,,,33,,,2,,,,,,,,2,,,,,,1,,,1,,,,,,,,,,,,6,,,3,,,,,,,,,,,,,,,,,,,2,,1,,,2,,,,,31,,28,,,,,,,1,21,2,,14,,,,,,,13,,20,4,,,,,,,,,,,,,1,,,,,1,,6,,,23,,,,,,,,,,,,,,18,,1,,,,,2,
120,1789/1690/1587,--/1708/--,--/2432/--,1,,,,,1,267,,,11,2,,,5,,,,,11,,,1,3,,,,,,,,,3,,,,,,2,59,,,,,1,,,,,,42,,,2,,,,,2,,,2,,,,,1,,,,,,,3,,,,,,,,,4,,1,,,1,,,,,,,,,,,,,,,,,3,,,,,3,,,,,32,,32,,,3,,,,,30,2,,13,,,,,,,6,,24,13,,,,1,,,,,,,2,1,,,,,,,,7,,,51,,3,,,,,,,,,,,,64,,,,,,,,
140,2113/2001/1889,--/1978/--,--/2726/--,,,,,,,154,,,,9,,,4,,,,,7,,,,5,,,,,,,,,,,,,7,,2,15,,1,,,4,,1,,,,33,,,4,,,,,4,,,2,,,,1,,1,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,1,,1,4,,2,,,,,,1,,35,,12,,,,,6,,,19,1,,10,1,,,1,,,1,,38,17,,,2,,,,,,,,,2,,,,,,,,5,,,38,1,,,,,,,,,1,,,1,26,,,,,,,,
160,2449/2325/2199,--/2248/--,--/3009/--,5,,,,,3,177,,,2,6,,,3,,,,,12,,,,2,,,,,,,,,,,,,3,1,2,51,,,,,2,,1,,,,53,,,3,,,,,8,,1,,,,,,1,,,,,,,,,,,,,,,,4,,,2,,,3,,,,1,,,3,,,1,,,,,,3,,,,,1,,,,,41,,28,5,,,,,,,20,2,,13,1,,,,,,15,,54,8,,,,,,,,,,,,,,,,,,,,9,,,94,,,,,,,,,1,,,,,23,,,,,,,1,
180,2801/2661/2525,--/2518/--,--/3284/--,,,,,,1,105,,,9,9,,,10,,,,,10,,,1,2,,,,,,,,,,3,,,4,2,15,46,,,,,,,,,,,45,,,10,1,,,,4,,,2,,,,,,,,,,,,1,,,,,1,,,,1,,2,,,,,,,,,,,6,,,,,,,,,2,,1,,1,5,,,,,17,1,17,1,,,,2,,,25,,,12,,,,,,,33,,41,19,,,,3,,,,,,,,,,,,,,,,7,,,43,,,,,2,,,1,1,,,,1,46,,,,,1,,,
200,3165/3007/2867,--/2789/--,--/3550/--,1,,,,,2,197,,,22,54,,,,22,,,,2,,,,2,,1,,,,1,2,,2,4,,,,1,,9,1,27,1,,1,,,,,,227,,3,1,,,,,5,,,,,,,2,,1,,,,,,,,,,,,,1,,2,,,,1,1,1,,,,,,,5,,,2,,,,2,1,4,3,1,,,4,,2,,,21,,,2,1,,3,,,,159,5,1,10,,,,,,,2,,39,11,,,,1,6,,,,,,3,,1,,,,,,,34,,1,178,1,,,1,,,,,1,,2,1,1,29,,,,,2,,2,5
210,3351/3184/3041,--/2928/--,--/3681/--,10,,,,,1,25,,,1,,,1,5,,,,,3,1,,,1,,,,,,,,1,,,,,,,2,3,,,,,,,,,,,8,,,51,,,,,2,,,,,,,,,,,,,,,,2,,,,1,,,,3,1,,,,,,,,,1,,,,,,,,,,,,2,,,,,3,,,,,22,,,,,,,,,,20,4,,3,1,,,1,,,13,,17,2,,1,,,1,,,,,,,,,,,1,,1,,2,,,39,,,,,1,,,,,,,,,6,,,,,,,,
