labID,age,error,depth,cc
Poz-63658,1360,30,395,1
Poz-72534,2395,30,495,1
Poz-72537,1270,30,535,1
Poz-68169,2175,30,555,1
Poz-72521,3210,30,595,1
Poz-72522,2920,30,615,1
Poz-64051,5740,40,657,1
Poz-72523,3500,35,675,1
Poz-68008,3990,60,720,1
Poz-72536,4600,40,805,1
Poz-68007,4540,60,820,1
Poz-68006,4060,50,855,1
Poz-72529,4320,35,885,1
Poz-72527,4405,35,965,1
Poz-64892,4410,40,1020,1
Poz-72526,3345,35,1175,1
Poz-63660,5470,30,1250,1
Poz-63661,5160,30,1305,1
Poz-72531,5560,40,1405,1
Poz-63662,6225,30,1518,1
Poz-63663,6140,35,1523,1
Poz-63587,6630,50,1604,1
Poz-63854,6660,35,1610,1
Poz-63588,6750,50,1642,1
Poz-63589,6850,40,1648,1
Poz-63590,7360,50,1745,1
Poz-63591,7480,40,1763,1
Poz-72525,7910,40,1825,1
Poz-72530,15320,80,1975,1
Poz-72538,12750,80,1995,1
Poz-72535,11910,80,2085,1
Poz-72528,8210,50,2168,1
