Depth,Calendar years BP,Sample quantity volume,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Abies,Acer,Alnus,Amaranthaceae,Anemone nemorosa-type,Anthemis-type,Apiaceae,Armeria,Artemisia,Asphodelaceae,Betula,Botrychiumspore,Brassicaceae,Bupleurum,Caryophyllaceae,Castanea,Centaurea solstitialis-type,Cichorioideae,Cirsium,Corylus,Cupressaceae-type,Cyperaceae,Dipsacoideae,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericaceae,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Galium-type,Helianthemum,Hippophaë,Indeterminable/spore,Marrubium,Mentha-type,Menyanthes trifoliata-type,Mercurialis-type,Myriophyllum cf. M. spicatum,Myriophyllum cf. M. verticillatum,Olea,Ostrya,Oxyria digyna-type,Pinus,Pinus subg. Strobus,Plantago,Poaceae,Polypodiophyta (monolete) undiff.spore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba subsp. sanguisorba,Primulaceae,Quercus (deciduous),Ranunculus,Rosaceae,Rumex,Salix,Sambucus,Scilla-type,Scrophulariaceae,Scutellaria-type,Solidago-type,Thalictrum,Tilia,Typha angustifolia,Typha latifolia,Ulmaceae,Unknownspore,Urtica-type,Vicia-type,Vitis
48.35,--/35478/--,1.2,636,42500,1,,1,4,16,1,2,22,,92,,42,,5,,1,,,4,3,1,15,15,,1,1,,,,11,,,6,2,7,10,,1,,,1,,,8,,83,,,199,,,1,1,1,,80,2,3,8,2,3,,,,4,5,1,2,,2,2,1,,
49.15,--/35494/--,0.8,933,42500,1,2,2,5,22,,1,10,,105,,28,,15,,14,,,2,2,3,33,16,,2,3,5,1,,35,1,1,21,4,3,18,,,1,4,,,,3,1,147,1,8,399,,1,,,2,,79,2,,15,2,4,1,5,1,5,4,,,1,6,,2,,1
49.55,--/35502/--,1,300,42500,1,1,,,1,,1,,1,8,,4,1,,,4,,,2,,,2,3,,,,,,,2,,,2,,,10,,,,,,,,,,19,,,33,,1,,,,,18,1,,,,,,1,,,,,1,,1,,,,
49.95,--/35510/--,0.7,1089,42500,1,,,3,9,,1,3,,24,9,6,,1,,5,,,19,,1,4,5,,,,,,,2,2,,,1,,25,,,,,,,1,2,1,22,,1,159,,,,1,,,17,1,,,,,,,,2,3,,,,2,,,1,
50.15,--/35514/--,0.7,850,42500,1,,,1,6,,,3,,17,,1,,3,,11,,,11,1,,6,,1,,2,,,1,,2,,4,,,24,1,,,,,,,,1,13,,,72,1,,1,1,,,9,1,,,,,1,,,1,,,,,1,,,,
50.25,--/35516/--,0.8,962,42500,1,,,,7,,,,,13,,2,,1,,9,,,13,1,,3,,,1,,,,1,,,,3,2,,21,,1,,,,,,,,13,,2,107,,,,,,,14,,,,,,1,,,7,,,,,,,,,
50.35,--/35518/--,1,802,42500,1,,,1,8,,,1,,1,,,,1,1,6,,,12,1,1,3,1,,,,,,,,,,5,,,16,,1,,,,,,,,18,,,73,,,,,,,15,,,1,,,3,,3,1,1,,,,,,,,
50.45,--/35520/--,0.9,822,42500,1,1,,,1,,1,1,,12,,,,,,7,,1,10,1,,,2,,,,,,,2,,,4,,,13,,1,,,,,,1,,11,,,62,1,,,,,,3,,,,,,1,,,,,,,,,1,,,
50.55,--/35522/--,0.8,468,42500,1,1,,2,1,,,1,,6,,3,,,,6,,1,4,,,1,,,,1,2,,,,,,1,,,20,,,,,,,,1,,5,,,39,,,,,,,1,,,,,,,,,5,1,,,,,,,,
50.65,--/35524/--,0.9,652,42500,1,1,,,4,,1,1,,14,,2,,,,8,,,15,,,1,,,,,,,,2,,,6,,,15,,3,,,,,,,,13,,2,103,,,,,,,16,1,1,,,,1,,,1,,,,,,,,,
50.75,--/35526/--,1,776,42500,1,,,,8,,1,2,,16,,6,,,,5,,,15,,,2,1,,2,,1,,,,,1,4,,,12,,,,,,1,1,1,,13,,1,83,,,,,,1,6,,,2,,,1,2,,4,1,,,,,,,,
50.85,--/35528/--,0.7,845,42500,1,,,,13,,,1,,13,,2,,3,,4,1,,2,,,5,4,1,,,,,,4,2,,9,,1,22,,3,,,,,,2,,16,,2,143,,,,,1,,22,,,1,,1,,,,2,,,,,1,1,,,
55,--/35536.7/--,1,31,96000,1,,,2,13,,5,4,,41,,2,,,,4,,,,3,,28,11,,,,,,,5,1,,2,,3,1,,,,,,,,6,,57,,6,126,,,,,,,26,,,,,,1,,,1,4,,2,,2,1,,,
