,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,0.0,,0.0,0.0,0.0,uncorrected radiocarbon date
,58.0,,610.0,650.0,570.0,uncorrected radiocarbon date
,159.0,,2850.0,2900.0,2800.0,uncorrected radiocarbon date
,178.0,,3130.0,3210.0,3050.0,uncorrected radiocarbon date
