,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,0.0,0,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,5.0,51.76724,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,11.0,113.8879,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,15.0,155.3017,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,21.0,217.4224,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,25.0,258.8362,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,29.0,300.25,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,35.0,362.3707,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,41.0,424.4914,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,45.0,465.9052,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,51.0,528.0259,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,55.0,569.4396,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,61.0,671.8168,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,65.0,766.9059,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,71.0,909.5396,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,75.0,1004.629,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,81.0,1147.262,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,85.0,1242.351,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,91.0,1384.985,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,95.0,1480.074,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,101.0,1622.708,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,105.0,1717.797,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,115.0,1955.52,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,121.0,2098.154,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,125.0,2193.243,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,131.0,2335.876,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,135.0,2430.965,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,145.0,2668.688,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,151.0,2811.322,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,155.0,2906.411,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,161.0,3034.974,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,165.0,3101.921,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,170.0,3185.605,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,175.0,3269.29,Calendar Chron,Lewden D.,2006-02-17,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,181.0,0,,,,,
,185.0,0,,,,,
,190.0,0,,,,,
,195.0,0,,,,,
,201.0,0,,,,,
,205.0,0,,,,,
,215.0,0,,,,,
,221.0,0,,,,,
,225.0,0,,,,,
,231.0,0,,,,,
,235.0,0,,,,,
,241.0,0,,,,,
,245.0,0,,,,,
,251.0,0,,,,,
,255.0,0,,,,,
,265.0,0,,,,,
,275.0,0,,,,,
