Depth,Radiocarbon years BP,Abies,Acanthus,Acer,Aconitum-type,Adonis,Alisma,Allium,Alnus,Amaranthaceae,Amaranthus-type,Anagallis,Anchusa/Pulmonaria,Anisosciadium-type,Apiaceae,Apium-type,Aquilegia-type,Arctium/Jurinea,Armeria/Limonium,Artemisia herba-alba-type,Artemisia vulgaris-type,Asparagus-type,Asperula-type,Asphodelus albus-type,Asteroideae,Atropa,Betula,Biscutella,Boraginaceae,Botrychiumspore,Brassica-type,Bryonia,Bunium-type,Bupleurum-type,Butomus,Buxus,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Carthamus,Caryophyllaceae,Castanea,Cedrus,Centaurea cyanus-type,Centaurea solstitialis-type,Chrozophora,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Convolvulus,Cornus sanguinea,Corylus,Cotinus coggygria,Cousinia,Cyclamen,Cyperaceae,Daphne,Datisca,Delphinium-type,Descurainia,Dioscorea communis,Dipsacus-type,Dorycnium hirsutum,Dryopteris-typespore,Elaeagnus,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Ericaceae,Erodium,Eryngium-type,Euphorbia,Fabaceae,Fagopyrum,Fagus,Ferula-type,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus excelsior,Fraxinus ornus,Galanthus,Galium-type,Gentiana,Geranium,Glaucium,Halothamnus-type,Hedera,Hedysarum/Ebenus,Helianthemum,Heliotropium-type,Helleborus,Hibiscus,Humulus/Cannabis,Hyoscyamus,Hypecoum,Hypericum,Hypericum hirtellum var. assyriacum-type,Hypericum perforatum-type,Inula-type,Isoëtesspore,Jasione-type,Juglans,Juniperus,Juniperus sabina,Knautia,Lathyrus-type,Leontice leontopetalum,Linum,Lomelosia rotata-type,Lotus-type,Lythrum,Maianthemum,Malabaila,Malva,Matricaria-type,Matthiola,Menyanthes trifoliata,Mercurialis-type,Micranthes nivalis-type,Myrica,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Myrtus,Nigella,Noaea-type,Nuphar,Nymphaea,Olea,Onobrychis-type,Ononis-type,Onopordum-type,Ostrya/Carpinus orientalis,Paliurus,Papaver,Periploca,Persicaria maculosa-type,Phillyrea,Phlomis,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Populus,Potentilla-type,Prosopis,Prunus-type,Psoraleeae,Psylliostachys,Pteridiumspore,Punica,Quercus coccifera-type,Quercus robur/Q. cerris,Ranunculus asiaticus-type,Ranunculus parviflorus-type,Ranunculus peltatus-type,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnus,Rhinanthus-type,Rhus,Rosa-type,Rumex acetosa-type,Salix,Sambucus,Sanguisorba-type,Saxifraga exarata-type,Saxifraga rosacea,Scabiosa columbaria-type,Scilla-type,Scrophularia/Verbascum/Digitalis,Senecio-type,Silene-type,Solanum dulcamara,Sparganium-type,Spergularia-type,Spinacia-type,Stachys-type,Styrax,Tamarix,Taxus,Teucrium,Thalictrum,Theligonum,Thelypteris palustris-typespore,Thesium,Thymus/Mentha,Tilia,Tofieldia,Tribulus,Trifolium-type,Turgenia-type,Typha latifolia,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Valerianella,Verbascum-type,Verbena,Viburnum-type,Vicia-type,Vitis,Xanthium,cf. Atraphaxis,cf. Genista,cf. Myricaria,cf. Orobanche
40,--/5063/--,,,,1,,,,2,19,,,,,1,,,,,49,,,,,1,,1,,,,35,,3,,,,,,,,,22,,1,,13,,23,,,,,4,,,,17,,,1,,,,,4,,,,,,1,,,,,,,,1,,2,1,,1,,,,,,,1,,,,,,,,,,,2,,12,1,,,,1,,,,,,,,15,,,,,,,27,,,,,,15,,,,,,,,,,,,1,13,2,,8,,1,1,,83,3,23,,,,,,,1,,5,28,,,1,,,,,,,,1,2,,17,,,,,,4,,,149,,,,,,,,2,2,,,,,,,,,,,,,,,,,,1,,,,,
50,--/5438/--,,,,,,,3,3,28,,,1,1,8,,,,,53,,,,1,,,,,,,62,,7,1,,,,,1,,3,17,,1,,20,,51,2,,,,1,,,,42,1,1,,,,,,7,,1,,,1,,1,6,,,,,,,,,6,,3,,,,,,,1,,,,,,,1,,,,6,,8,1,,,,,,,1,,,,,27,,,1,,,,29,,,2,,,10,,,,2,,,,,,,,1,37,,1,9,,,,,171,1,20,,,,,,,11,,12,21,,,2,2,5,,,,,,4,3,1,40,2,,,2,,7,,,159,1,,,,,,1,1,3,,,1,,,,3,,,1,,,,,,,,2,,,,,
60,--/5813/--,,,,,,,,,20,,,,,4,,,,,38,,,,1,,,,,,,53,,2,,1,,,,,,1,18,,1,,19,,49,,,,,2,,,,43,,,,,,,,7,1,,,,,,3,,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,6,,12,2,,,,,,,,,,,,22,1,,,,,,3,,,,,,11,,,,1,,,,,,,,,30,1,,2,,3,,,118,,12,,,,,,,8,,16,17,,,1,1,,,,,,,2,4,,20,,,,,,3,,,101,,,,,,,,,3,,,1,,,,1,,1,1,,,,,,,,4,,,,,
70,--/6188/--,,,,,,2,,8,31,,,,,5,1,,1,,47,,,,,,,,,,1,53,1,2,1,1,,1,,1,,1,24,,,,22,,55,1,,,,2,,,,36,,1,,,,,,15,1,4,1,,,,3,1,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,13,,6,3,,,,,,,,1,,,,20,1,,,,,,5,,1,,,1,6,,,,4,,,,,,,,,18,1,,3,,3,2,,150,3,20,,,,,,,3,,12,42,,1,,,2,,,,,,1,2,,28,,,,,,13,,,120,,,,,,,,4,2,,,1,,,,4,,,1,,,,,,,,1,,,,,
80,--/6563/--,,,,,,,1,2,42,,,,,8,2,,,,65,,,,,,,1,,,1,32,,1,1,,,,,,,,13,,1,1,37,,30,2,,,,1,,,,55,1,,,,,,,29,1,,1,,1,,4,1,,,,,1,,,1,9,,3,,,,,,,1,,,,,,,3,,,,12,,6,3,,,,,,1,,1,,,1,37,,,1,,,,2,,,2,,,19,,,,4,,,,,,,,,13,,,4,,5,,,77,2,42,,,,,,,7,,25,18,,,,,1,,,,,,1,1,1,22,,,,,,5,,,79,,,1,,,,,2,2,1,,1,,,,,,,,,,,,,,,6,1,,,,
90,--/6938/--,,,,,,,,6,58,,1,,,7,,,1,,146,2,,,,,,1,,,,13,,5,,,,,1,1,,2,21,2,4,,24,1,22,2,,1,,,,1,,105,,,,,,1,,41,5,,,,3,,,1,2,,,,2,,,,20,,1,1,1,,,,,,,,,,,,,,,1,15,,11,,,,,,,2,,2,,,,31,,,1,,,,1,,,,,,40,,,,3,,,,1,,,,,14,,1,5,,1,,,105,3,54,,,,1,,,5,,23,20,,,,,,,1,,,,2,4,,42,,,,,,2,1,,92,,,,,,,,2,1,,,2,,,,6,1,5,1,,,,,,,,2,4,,,,
100,--/7313/--,,,,,,2,,1,32,,,,,6,1,,,,66,,,,1,,,1,,,,7,,3,,,,,,,,1,15,,2,,14,,24,3,,,,,,,,64,,,,,,1,,10,,,,,2,,3,3,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,9,,14,3,,,,,,2,1,1,,,,24,,,,,,,,,,,,,8,,,,1,,,,1,,,,1,20,2,,3,,,1,,96,5,25,,,,,,,3,,19,20,1,,,3,2,,1,,,,1,4,,14,,,,1,,8,,1,49,,,,,,,,2,,,,,,,,,1,2,1,,,,,,1,,2,,,,,
110,--/7688/--,,,,,,,,8,10,,,,,3,,,,,40,,,,,,,4,,,,18,,4,,,,,,,1,2,16,1,1,,29,,9,1,,,,2,,,,33,,,,,,,,7,2,1,1,,3,,7,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,5,,2,2,,,,,,1,,,,,,19,,,,,1,,1,,,,,,15,,,1,,,,,,,,,,18,1,,2,,3,,,30,4,15,,,,,,,1,,7,12,1,1,,2,,2,,,,,3,4,,12,,,,,,2,,,32,,,,,,,,1,1,,1,,,,,1,,5,,,,,,,,,6,,,,,
120,--/8063/--,,,,,,,,2,31,,,,,13,3,,,,52,4,,,,,,,,,,2,,1,,,1,,,,,,21,,1,,21,,37,2,,,,1,,,,101,1,,,,,,,3,3,1,1,,,,,,1,,1,1,,,,,6,,1,,,,,1,,,,,,1,,,,,,,9,,11,1,,,,,1,,,4,,,,28,,,2,,,1,3,1,,1,1,,27,,,,5,,,1,,,,,,9,3,,9,1,2,,1,119,4,20,,,,1,,,4,,30,19,,,,,,,1,2,,,5,2,,22,,,,,,7,,,65,,,1,,1,,,7,2,,,,,,,2,,3,,,,,,,,,3,1,,,,
130,--/8438/--,,,,,,2,,1,50,,,,1,6,1,,1,,92,,,,,,,1,,,,14,,3,1,,,,,1,,1,24,,,,28,,48,1,,,,,,1,,73,,,,,,,,6,1,,,,,,1,,1,,,3,1,,1,,17,,,,,,,,,1,,,,,,,,,,,11,,10,7,1,,,,,,,,,,3,19,,,,,,,4,,,,,1,26,,,,2,,,,1,,,,1,14,,,1,1,1,,1,85,5,26,,1,,,1,,,,25,31,,,,2,,,,,,,3,9,,18,,,,,,12,,,55,,,,,,,,,,,,,,,,4,2,,,,,,,,,,1,1,,,,
