Depth,Giesecke et al. 2014 (MADCAP)Calendar years BP,EPD defaultCalendar years BP,FossilvaCalendar years BP,Alnus,Amaranthaceae,Apiaceae,Artemisia,Asteroideae,Betula,Brassicaceae,Buxus,Cannabaceae,Carpinus,Caryophyllaceae,Centaurea-type,Cichorioideae,Cistus,Coriaria myrtifolia,Corylus,Cyperaceae,Ephedra,Epilobium,Ericaceae,Euphorbia,Fabaceae,Geraniaceae,Helianthemum,Juniperus,Lamiaceae,Lygeum-type,Malvaceae,Monocotyledoneae,Myriophyllum,Olea,Phillyrea,Pinus,Pistacia,Plantago,Poaceae,Poaceae (Cerealia-type),Polygonum,Potamogeton,Pseudoschizaea palynomorph,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Rhamnus,Rubiaceae,Scabiosa,Sparganium-type,Tamarix,Thymelaea,Tilia,Ulmus,Unknown (monolete)spore,Unknown (trilete)spore,Urticaceae,Vitis
100,4070/538/-3368,--/1000/--,--/1211/--,,164,26,4,44,,1,,,,,3,166,,,,29,,,6,,,,,,1,,,,,16,,56,,10,15,36,,,34,1,,,,,,47,,,,,8,5,,3
125,4078/976/-2452,--/1333/--,--/1519/--,,111,40,1,41,,,,,,,2,232,,,,21,6,,7,,1,,,,2,,,1,,4,,17,,3,9,,,,35,1,,,,,,6,,,,,38,16,,
150,4093/1413/-1538,--/1667/--,--/1826/--,,135,26,,51,,,,,,,,364,1,,,13,,,13,,,,,,1,,,,,,,25,,6,4,,,,32,,,,,,,,,,,,16,15,,
175,4120/1851/-625,--/2000/--,--/2133/--,,111,46,1,45,,,,,,,,255,,,,37,1,,3,,,,,,,,,,,1,,19,,,21,1,,,54,,,,,,,1,,,1,,25,17,1,
200,4163/2288/288,--/2333/--,--/2441/--,,79,57,6,42,,,,,,,,165,,,,129,1,,3,,,,,,,2,,1,,,,24,,1,19,,,,17,,,,,,,6,,,,,12,6,,
240,4277/2988/1698,--/2867/--,--/2933/--,1,,230,,41,1,,195,,,,,,,,9,24,5,,,,,,,6,,,1,,,,,38,,,6,1,,,,7,,,,,,16,,,1,2,125,27,,1
300,4896/4039/3148,--/3667/--,--/3670/--,1,,198,,9,,,35,,,,,,,,9,55,,1,,,,,,16,31,,,,,4,,16,,,95,,,,,7,15,,,2,,13,,,,,16,5,,1
330,5626/4563/3531,--/4067/--,--/4043/--,,,76,1,1,1,,119,,1,,,,,,1,14,,,,1,,,,10,24,,,,,,1,15,3,3,20,,,,,6,9,,,,,9,,,,,3,3,,
360,5904/5083/4188,--/4467/--,--/4434/--,6,,78,,46,,,1,1,,2,,2,,,2,8,7,,3,,,4,,2,5,,,,,37,5,15,1,55,24,2,,,45,4,,1,,,,4,,,,,16,58,,
390,6599/5603/4591,--/4867/--,--/4824/--,2,9,79,2,62,,1,3,,,3,3,9,,,1,8,7,,5,,4,,,3,,,,,,23,1,7,,43,28,,,,2,5,,,,,,4,,,,,28,31,,
420,7268/6284/5359,--/5480/--,--/5442/--,,,14,,28,,,1,,,,,,,,3,8,1,,,,3,,,2,,1,,,,2,1,19,,,24,1,,,35,5,,,1,1,,2,,,,,13,,,
450,7876/7045/6297,--/6200/--,--/6173/--,,28,26,2,20,,,,,,,,8,,,,60,,,5,,,,,,2,2,,,,13,,11,1,14,39,1,,,,7,1,,1,,,3,,,,1,48,1,,
480,8679/7805/6988,--/6920/--,--/6904/--,,16,101,2,25,3,,7,,,,,6,,,,65,,,2,,,,3,,,1,,2,,16,,4,,24,18,5,,,1,6,,,,2,,9,,,,,14,2,,
540,10733/9327/8021,--/8360/--,--/8365/--,1,4,17,10,25,,,5,,,,,7,,,,56,1,,3,,,,,,4,,,,,19,,6,1,6,33,1,1,,8,3,,,,6,,,1,,,,1,3,,
570,11813/10088/8461,--/9080/--,--/9096/--,4,2,69,9,9,,,47,,,,,,,,,33,,,3,,,,1,1,13,,,,,,,19,,21,48,3,1,,,3,1,,,,,12,,,,,1,,3,
600,12924/10848/8875,--/9800/--,--/9827/--,3,,38,,16,1,,3,,,,,1,,3,,71,2,,9,,,,,1,6,1,,,,28,,8,1,23,25,1,,,,4,3,1,,,1,1,3,,,1,1,,1,
630,14046/11609/9267,--/10520/--,--/10558/--,,,78,,6,,,81,1,,,,,,,3,16,,,3,,,,,2,11,5,,,,2,,18,,6,38,,,1,,7,8,,,,,20,,,,,1,6,,1
670,15552/12623/9779,--/11480/--,--/11532/--,2,2,33,3,14,1,,37,,,,,2,,,4,34,2,,6,,2,,,12,7,,,,,2,,41,1,3,76,,,,2,3,4,,,1,,25,,,,,1,4,,1
710,17073/13638/10286,--/12440/--,--/12507/--,3,,119,1,19,,,83,1,,,,,,,12,20,3,,6,,1,,,17,11,,,,1,,,18,,,131,,,1,,10,8,,,,,48,,,,,2,9,,
750,18611/14652/10793,--/13400/--,--/13481/--,1,3,78,2,26,,1,113,1,,,,,,,3,32,,,,,5,,,12,14,,,,,,,30,,4,33,,,,,1,1,,,,,10,1,,1,,,7,,
790,20153/15666/11302,--/14360/--,--/14456/--,,,16,1,65,,,5,,,,,4,,,,3,1,,3,,39,1,,3,2,,1,,,15,,9,,63,33,3,,,,,,,,,,2,3,,,,2,29,,
830,21700/16680/11813,--/15320/--,--/15430/--,,6,14,2,12,,,2,,,,3,,,,10,108,,,11,,,,,,1,,,,1,52,3,8,,29,49,3,,,2,11,2,,,,,,8,1,,,,1,,
