Depth,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Tinner et al. (2016)Calendar years BP,Abies,Acer,Agrimonia-type,Ailanthus,Alisma-type,Allium-type,Alnus glutinosa-type,Amaranthaceae-type,Ammi-type,Anemone hortensis-type,Anemone-type,Anogramma leptophyllaspore,Anthemis-type,Anthoceros laevisspore,Anthyllis,Apiaceae undiff.,Apium-type,Artemisia,Asparagus,Asphodelus albus-type,Asphodelus fistulosus,Asplenium-typespore,Aster-type,Astragalus-type,Athyrium filix-feminaspore,Betula,Boraginaceae,Botrychiumspore,Brassicaceae,Bupleurum,Calendula,Calligonum,Callitriche,Caltha-type,Calystegia,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Celtis australis,Centaurea nigra-type,Cerastium-type,Ceratophyllumspine,Cercophora-typespore,Cerinthe,Chaerophyllum hirsutum-type,Cichorioideae,Cirsium,Cistus,Consolida-type,Convolvulus,Corrigiola litoralis,Corylus avellana,Cuscuta,Cyclamen hederifolium,Cynoglossum officinale-type,Cyperaceae,Cyperus-type,Daphne,Daucus,Dianthus superbus-type,Diporothecaspore,Dipsacus,Dorycnium,Dryopteris dilatata-typespore,Dryopteris filix-mas-typespore,Echinops,Echium,Ephedra fragilis-type,Epilobium,Erica arborea-type,Erodium,Eryngium,Eucalyptus,Euphorbia,Euphrasia-type,Fabaceae undiff.,Fagus sylvatica,Falcaria-type,Fedia cornucopiae,Ficus carica,Foeniculum-type,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Geranium,Gladiolus-type,Glomusspore,Gnaphalium-type,Hedera helix,Helianthemum,Heliotropium,Heracleum,Humulus lupulus,Hypericum perforatum-type,Ilex aquifolium,Isoëtesspore,Jasione,Juglans regia,Juncaceae,Juniperus-type,Knautia,Lamiaceae undiff.,Lemnoideae,Liliaceae-type,Linaria-type,Linum catharticum-type,Loranthus europaeus,Lotus-type,Lysimachia vulgaris-type,Lythrum portula,Matthiola-type,Mentha-type,Mercurialis annua,Myrtus communis,Nigella,Odontites-type,Oenanthe,Olea,Ophioglossum vulgatumspore,Ornithogalum-type,Ornithopus,Ostrya-type,Papaver rhoeas-type,Paronychia-type,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Prunus-type,Pseudopediastrum boryanum var. boryanum sensu latocolony,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus cerris-type,Quercus ilex-type,Quercus pubescens-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda-type,Rhamnus,Rhynchospora,Ricciaspore,Rosa,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex obtusifolius-type,Rumex scutatus-type,Salix,Sanguisorba minor-type,Saxifraga granulata-type,Scandix pecten-veneris-type,Scorzonera humilis-type,Scrophulariaceae,Sedum-type,Senecio-type,Serratula-type,Silene dioica-type,Silenoideae-type,Smyrnium-type,Solanum dulcamara,Sorbus-type,Sparganium-type,Spergula-type,Sporormiellaspore,Thalictrum,Theligonum cynocrambe,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Turgenia latifolia,Typha latifolia-type,Ulmus,Urtica dioica-type,Urtica membranacea-type,Urtica pilulifera,Utricularia,Verbena officinalis,Viburnum tinus,Vicia-type,Vitis
1,665,18583,3,1,--/-53.1/--,,2,,3,,,,4,,,,,1,,,1,,3,,1,,,4,1,,,,,4,,,,17,,,1,,,,,12,,,,10,2,,1,8,,1,,,,2,,,,143,,1,6,,,,,,1,,,,,,,,8,,,,,1,,,,8,2,,,,,,,4,,,,,1,,2,,,,9,,,237,,,,,1,,,,1,2,,,,38,11,,,,1,,1,,8,2,,120,1,7,5,1,,,104,2,,,,1,9,5,,,3,6,7,8,30,,1,,,,,,,1,1,,,13,4,,,,,,,,,,,,2,1,19,,3,,1,,1,,,2,2,1,,,,,,3,1
5,389,18583,3,1,--/-41.49/--,1,5,,3,,,2,2,,,,,2,,,1,,6,1,,,,2,,,,,,,,,,3,,,1,1,,1,,22,1,,,2,10,,2,2,,,,,,,1,,1,240,2,1,7,,,,,,,,,,,,,,16,,,,1,2,,,,5,,,,,,,,5,,,1,,,,,,1,,5,,,205,,,,,,1,,,1,1,,,,26,12,,,1,,,1,,2,2,2,250,1,7,1,,,1,92,,2,,,,7,3,,,,3,9,8,27,,,,,,,2,,18,,,,2,7,,,,,,,,,,,,25,1,,11,,,,2,,,,,4,1,,,,,,,
10,270,18583,3,1,--/-26.99/--,,1,,1,,,,1,,,,,1,,,3,,1,,,,,1,1,,,,,3,,,,,,,,1,,,,15,,,,,6,,3,2,,,,,,,,1,,176,,,9,,,,,,,,,,,1,,,8,1,,,,,,,,10,1,,,,,,,1,,,,,1,,,,,,3,,,130,,,,,,,,,,,,,,17,8,,,,,,,,,1,,178,1,2,3,,,,77,1,,,,,11,,,,,3,8,3,16,,,,,2,,,,16,2,,1,3,6,,,,,,,,,,,,27,1,3,,1,,,1,3,,,,,1,,,,,,2,
20,279,18583,3,1,--/2.03/--,,,,,,,1,1,,,,,1,,,,,3,,,,,,2,,,,,1,,,,,,,,,,,,6,,,,20,2,,1,2,,,,,,,,1,,132,,,3,,,,,,,,,,1,1,,,2,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,77,,,,,,,,,1,1,,,,8,6,,,,1,,2,,,1,,63,2,1,2,,,,59,2,,,,2,2,,,,,,2,2,8,,1,,,,,,,2,1,,,4,3,,,,,,,,,,,,3,,2,,,,,,1,,,,,1,,,,,,,
30,381,18583,3,1,--/31.04/--,,,1,,,,,4,,,,,2,,,1,,4,,,,,,,,,,,1,,,,,,,,2,,,,5,,,,68,,,1,5,,,,,,,,,,73,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,2,,,1,,,,,,,,,,,,,,6,14,,,,,,1,,,,1,2,,2,1,1,,,75,3,1,,,,15,,,,5,,5,,8,,1,,,1,,,,,1,,,9,1,,,,,,,,,,,,,,,,2,,,,1,,,,1,10,,,,,,1,
40,545,18583,3,1,--/60.06/--,,,,,,,,10,,,,,5,,,,3,9,1,,,,1,1,,,1,,1,,,,7,,,2,,,,,9,,1,,100,,1,3,5,,,,,1,,,,,102,,,11,,1,1,,,,,,1,,2,,,,,,,,,,,2,2,,,,,,,,,,,,,1,,,,2,,5,,,12,,1,,,,,,,,,,1,,20,7,,,,,,3,,1,1,2,,,1,2,,,,198,7,,,,,14,1,,,1,,7,4,67,,13,,,,,,,,4,,,12,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,1,1,1,2
50,576,18583,3,1,--/89.07/--,,,,,1,,,4,,,,,6,,,,1,1,,,,,,,,,,,1,,,,,,,1,,,,1,1,,,,101,2,,7,3,,1,,,,1,,,,73,,,1,,,,,,,,,2,,2,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,2,1,,,4,,,,,,,,,1,1,,,,34,2,,,,,,1,,1,,1,2,1,,,,,,140,3,1,1,,,9,,,,8,,9,3,14,,51,,,2,,,,,,1,,2,,,,,,1,,,,,,,,,,,2,1,,,2,,,,,1,,,,,,,
60,334,18583,3,1,--/118.08/--,,,,,,,,1,,,,,1,,,,,6,,,,,3,,,,,,,,,,,,,,,,,,3,,1,,91,1,,2,6,,,,,,,,1,,43,,,1,,,,,,,,5,,,,,,,,1,1,,3,,,,,,,,,,,,,,,1,,,,,,,1,1,,,3,,,,,,,,,,,,,,76,1,,,,,,4,,1,1,,1,,2,,,,,89,,,,,,7,3,,,3,1,5,3,20,1,12,,,,,,,2,,2,,6,,,,,,1,,,,,,,,,1,,3,,,,,,,,,1,,,,,,,
70,616,18583,3,1,--/147.1/--,,,,,,,1,4,1,,,,1,,,2,6,6,1,1,,,3,,,,,,1,,,,,,,1,,,,,,,,,126,1,,3,2,,,,,1,1,,,,82,,,14,,,,,,,,,2,,,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,2,,,23,1,,,,,,,,,1,,,1,125,6,,,,1,,5,,4,,1,2,,2,1,,,,222,4,,,,,14,2,,,6,1,10,6,61,,5,,,,,1,,1,8,1,,4,,,,,,1,,,,,,,,,1,,4,,,,,,1,,,1,,,,,,,
80,448,18583,3,1,--/176.11/--,,,,,1,,,5,,,,,,,,2,1,4,,,,,1,,,,,,2,1,,,,,,,,,,,,,2,,76,2,,1,5,,,,,3,,,,,61,,,6,1,,,,,1,,,2,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,1,,,,59,1,,,,,,4,,2,,,2,1,1,2,,1,,150,2,,,,,11,,,,2,,15,5,24,,3,,,,,,,2,,,,2,,,,,,,,,,,,,1,,1,,,,,,,,,1,,3,,,,,,,
90,295,18583,3,1,--/205.13/--,,,,,1,,1,2,,,,,1,,,5,6,5,,,,,2,,,,,,,,,,,,,2,,,,,3,,1,,57,2,,,6,,,,,3,1,,,,40,,,1,,,,,,,,,1,,,,1,,,,,,2,,,,,,,,,,,,3,,,1,,1,,,,,,1,,,9,,,,,,,,,1,,,,1,58,1,,,,,,1,,2,,,2,1,,2,1,,,104,3,,,,,14,2,,1,4,,9,1,23,,3,,,1,,,,1,1,,,5,,,,,,,,,,,,1,1,,1,,,,,,1,,,,,1,,,,,,,
110,316,18583,3,1,--/263.15/--,,,,,,,,2,,,1,,3,,,1,,6,1,,,,2,1,,,,,2,,,1,,1,1,,,,,,,,,1,88,4,,1,4,,,,1,2,,1,,,4,1,,,,,,,,,,,,,1,,,,,,,,2,,,,,1,,,,,,,2,,,,,,,,,,,,,,5,,,,,1,,,,,1,,,1,37,1,,,,,,2,,6,,,,,2,,1,,,60,2,,,,,3,3,,,6,,12,10,126,5,6,,,,,,,2,1,1,,4,,,,1,,,,,,,,3,2,,,,1,,,,,,,,,,,,,,,,
120,162,18583,3,1,--/292.17/--,,2,,,,,,2,,,,,3,,,,,2,,1,,,6,,,1,,,4,,,,,,,,1,,,,,,1,,18,2,,2,8,,,,,15,,1,,,9,1,,,,,,,,,,,1,,1,,,,,,,,,,,2,,,,,,,,,17,,,,,,,,,,,,,,25,1,,,,,,,,1,,,,,24,,,,,,,,,2,,2,,,1,,,,,141,3,,,1,,8,3,,,2,2,24,5,404,1,3,,,,,,,1,,,,5,,,,,,,,,,,,1,,,3,,1,,,,1,,1,,2,3,,,,,,2,1
130,82,18583,3,1,--/321.18/--,,17,,,1,1,1,5,,,3,,7,,,1,,1,,2,,,12,,,,,,1,,6,,,,,,2,,,,1,,,,7,23,,,9,,,,,38,,,2,,35,,,2,,,1,,,,,,,,,,1,,1,,,1,1,,,1,,,,,,1,,,13,,,,,1,,,,,,,,,47,1,,,,,,,,,,,,,47,2,,,,1,,,,2,,,3,1,4,3,,,,141,2,,,1,,9,4,,,1,2,30,3,290,,13,,,1,,,,2,1,,,1,,,,,,,,,,,1,7,,,21,,1,1,,2,4,1,2,1,1,,,,,,,1,
140,91,18583,3,1,--/350.19/--,,15,,,1,,2,1,,,1,,5,,,1,,2,1,,,,9,1,,,1,,1,1,2,,,,,,1,,,,,,,,14,112,2,,18,,,,,16,,1,2,,29,3,,4,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,4,,,,,,,1,,,,2,,,14,,,,,,,,,,,,,,89,,,,,,,3,,2,,1,1,,4,1,1,,,142,2,,,,,12,2,,,2,3,43,5,219,,16,,,1,,,,6,1,,2,2,,,,,,,,,,,1,4,1,2,11,,,,1,,1,1,,1,2,1,,,,,,3,
