Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Sample quantityvolume,Abies,Acer,Alnus,Amaranthaceae,Androsace-type,Anemone nemorosa-type,Angiospermae undiff. (herbs),Anthemis-type,Apiaceae,Armeria,Artemisia,Asphodelus-type,Betula,Bistorta officinalis-type,Brassicaceae,Bupleurum-type,Buxus,Calligonum-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea cyanus-type,Centaurea solstitialis-type,Chrysosplenium,Cichorioideae,Cirsium,Consolida ambigua-type,Corylus,Cupressaceae-type,Cyperaceae,Dipsacoideae,Ephedra distachya,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Euphorbia,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Fritillaria-type,Galium,Hedera,Helianthemum,Helleborus foetidus,Helleborus viridis-type,Hippophaë,Liliaceae undiff.,Linum,Lithospermum,Marrubium,Mentha-type,Mercurialis,Myriophyllum,Myriophyllum spicatum-type,Onobrychis-type,Ostrya,Papaveraceae,Picea,Pinus,Plantago undiff.,Poaceae,Polypodiophyta (monolete) undiff.spore,Polypodiophyta (trilete) undiff.spore,Polypodiophyta undiff.spore,Potamogeton,Potentilla-type,Poterium sanguisorba,Quercus,Quercus ilex,Ranunculus-type,Rosaceae undiff.,Rumex,Salix,Sambucus,Saxifragaceae,Scilla-type,Scrophulariaceae undiff.,Solidago-type,Taxus,Thalictrum,Tilia,Trifolium-type,Typha angustifolia,Ulmaceae,Urtica-type,Veronica-type,Vicia,Vitis
1423.125,--/27179.05/--,327,66900,1,2.8,1,,3,86,,,,11,2,,225,,3,,7,,,,,11,,,,13,,19,26,,,23,5,,3,,,1,,,,2,,,,4,,2,4,,3,,,,,,,,,,,1,1,24,2,185,,,,4,,,,,6,2,4,,,,,2,9,,2,,,1,,,,,
1423.425,--/27184.45/--,186,66900,1,3,3,,3,84,1,1,,8,4,1,130,,,1,11,,,,,56,,,1,18,,26,16,,,11,,,4,,,,,,,,,,,16,,1,1,,1,1,,,,1,,,,,1,,1,25,1,208,,,1,3,,,6,,1,1,1,,,,,,9,,1,,,,,,,1,
1423.725,--/27189.85/--,789,66900,1,1.9,2,,,52,,,,8,35,,111,,,,12,,,,,12,,,,9,,17,12,,,16,1,,2,,,,,,,2,1,,,1,,1,4,,,,,2,,,,,,1,,,,4,4,175,,,,5,,,2,,5,,1,,,,,,4,,2,,,,,,,,
1423.925,--/27194.35/--,448,66900,1,3,11,,4,74,,,,24,4,,243,,6,,2,,,,1,16,,,1,1,,7,3,,,204,12,1,4,,,2,,,,4,2,,1,7,,9,2,,6,,,,,,1,,,,,,,41,7,385,2,,,,1,,25,,,,6,,,,,,10,,9,,,,1,,,2,1
1424.225,--/27199.75/--,139,66900,1,3,,,1,108,2,3,,20,8,,225,,1,,39,1,1,,,25,,,,12,1,27,12,,,4,,,4,1,,,,,,,,,,5,,3,8,,,,,,,,,,,,,,,29,3,192,,,,5,1,1,4,,9,,1,,,2,,,16,,3,,,2,,,,1,
1424.525,--/27208.3/--,265,66900,1,2.2,3,,,106,,8,,10,7,,148,5,,,16,,,,1,59,,,,5,,39,10,,,1,,,4,2,,,,,,,,,,,,3,6,,,,,,1,,,,,,,,,26,1,148,,2,,1,,,,,1,1,,,,,,,7,,,,,,,,,,
1424.825,--/27213.7/--,609,66900,1,1.8,,,,85,2,,,2,6,,105,,,,24,,,,,22,,,,12,,41,21,,,10,6,,6,,,,,,,,,,,2,,1,3,,,1,,,,2,,,,,,,,26,,347,,,,7,,,,,7,,,,,,,,11,,2,,,,,1,,1,
1425.125,--/27219.1/--,109,66900,1,4.2,3,,,229,3,4,,18,9,,169,,,,52,,,,,23,,,3,14,,37,19,,1,4,3,,9,,,,1,,1,2,,,,6,,6,4,,,,,,,,1,,,,,,,31,5,263,,,,6,1,,1,,14,1,1,,,,,1,10,,4,,,3,,,,3,
1425.425,--/27224.05/--,237,66900,1,2.6,1,,,136,2,7,,18,10,,232,,,,63,1,,1,,25,,,3,16,,51,18,,,14,5,,7,1,,,,,,,1,,,12,,5,8,,,2,,,,1,,,,,,,1,58,5,380,,,,9,,,6,1,10,,6,,,1,,,12,,10,,,1,,,,,1
1425.725,--/27230.35/--,654,133800,1,2,,,,54,1,,,8,7,,158,,1,,69,,,,,26,,,1,4,,37,18,,,25,,,4,1,,1,,,,,,,,6,,2,3,,,1,,,,,,,,,,,,40,5,378,,,,,,,,,7,,,,,,,,11,,3,,,,,,,,
1425.975,--/27235.75/--,323,66900,1,2.2,,,1,33,,,,5,7,,176,,1,,64,,,,,17,,,2,8,,30,13,,,11,2,1,2,2,,,,,,,,,,2,,1,5,,,1,,,,,,,,,,,,23,3,220,,,,,,,,,5,1,1,,,1,,1,15,,1,,,,,,3,,
1426.275,--/27242.95/--,357,66900,1,2.4,,,1,33,,,,7,2,,101,,2,3,75,,,,,23,,,,3,,27,19,,,14,1,,5,,,,,,1,,1,,,1,,1,2,,,1,,,,,,,,,,,,31,1,295,,,,2,,,4,,3,1,2,,,1,,,8,,2,,,,,,2,,
1426.75,--/27248.35/--,4737,133800,1,2.4,,1,,26,1,,1,5,1,,85,,,,46,,,,,15,,,3,1,,37,11,,,6,1,1,5,1,,,,,,,,,,3,,3,2,,,,,,,,,,,,1,,,32,,263,,,,4,1,,1,,1,1,4,2,,1,,,25,,1,,,,,,,,
1427.05,--/27253.3/--,3020,133800,1,3.3,1,,1,60,,,,6,5,,72,,2,,33,,,,1,16,,,1,4,2,69,13,,,13,2,1,3,,,,,,,2,1,,,3,,12,8,,,2,,,,,,1,,,,1,1,41,2,302,,,,,,,2,1,,2,1,1,,1,,,18,,2,,,,,,2,,
1427.35,--/27256/--,1605,133800,1,4.4,,,2,98,1,,,21,13,,234,,1,,40,,,,,24,,,2,11,,39,22,,,4,4,1,2,5,,,,,1,,1,,,18,,4,3,,,,,,,1,,,,,,,,31,5,315,,,,4,,,,,6,,1,,,,1,,22,1,2,,,3,,,,,
1427.625,--/27257.4/--,2931,133800,1,3.2,,,,243,,,1,8,8,,113,,1,,54,,,,,28,,,1,5,,31,16,,,7,,1,4,3,,,,,,1,1,,,14,,7,1,1,,3,1,,,1,,,1,,2,,,47,6,338,,,,2,,,1,,3,,1,,,,,,15,,4,,,7,,,1,,
1427.975,--/27260.2/--,6538,133800,1,2.6,8,,4,95,2,,,13,3,,231,,3,,19,,,,,26,,1,1,6,,32,10,,,41,1,,5,2,1,,,,,1,1,,,13,,6,4,,4,,,,,,1,,,,,,,37,3,500,,,,,,,3,,2,1,5,1,,,,,13,,6,,,1,,,,1,
1428.275,--/27263/--,1613,133800,1,3.6,2,,3,69,,,1,29,15,,209,,3,,33,,,,,9,,,1,12,,11,10,,,5,2,,2,,,,1,,,3,,,,10,,7,,,3,,,,,,1,1,,,,,,30,4,321,,,,,,,4,,,,2,,,,,,14,,6,,1,1,1,,1,,
1428.675,--/27265.8/--,6265,200700,1,2.9,1,,,71,,,2,17,6,,95,,4,,62,,,,,14,1,,,9,,51,8,,4,15,2,6,3,,,,1,,,,,,,16,,6,1,,1,,,,,3,,,,,1,,1,40,6,402,,,,,,,2,,,,2,1,,,,,22,,2,,,1,1,,,,
1428.975,--/27268.6/--,4051,200700,1,3.8,1,,3,102,1,,1,10,10,,133,,1,,9,,,,,19,1,,1,1,,42,13,1,,21,,1,3,4,,1,,,,1,,,,11,,11,,4,2,,,,,,,,,1,,,1,36,3,527,,,,,1,,2,,1,1,,,,,,,22,,1,,,,,,,,
