Sample,Sample name,Site name,Calibrated dates BC (95.4% prob.) Mercuri et al. 2008 Journal of Arid Environments,"Radiocarbon dates (Grandi G.T., Lippi M.M.& Mercuri A.M. 1998. Wadi Teshuinat - Palaeoenvironment and Prehistory in south-western Fezzan (Libyan Sahara) pp.95-106)",Depth (cm),Pollen sum,Trees,shrubs,herbs,Acacia,Rhus,Anacardiaceae undiff.,Acanthaceae,Araliaceae,Artemisia,Cheno-Amaranthaceae,Asclepiadaceae,Celtis,Calligonum,Capparis,Maerua,Capparaceae undiff.,Ficus,Ephedra,Cistaceae,Cassia,Caesalpiniaceae undiff.,Fabaceae undiff.,Moltkiopsis,Rhamnaceae,Salvadora persica,Tamarix,Vitaceae,Zilla cf.,Brassicaceae undiff.,Fagonia,Ziziphus,Myrtus,Cupressus type,Pinus,Quercus deciduous,Quercus ilex,Olea,Pistacia,Fraxinus,Ulmus,Populus,Other woody plants,Ricinus ,Euphorbiaceae undiff.,Paronychia,Caryophyllaceae undiff.,Pulicaria,Cichorieae undiff. ,Asteraceae undiff.,Echium,Trichodesma,Boraginaceae undiff.,Cucurbitaceae,Cyperaceae,Poaceae undiff.,Panicum type,> 40 micron,Hypericum,Lamiaceae,Liliaceae,Lotus,Plantago,Rumex,Zygophyllum,Tribulus,Umbelliferae,Urticaceae,Typha,Potamogeton,Lemna,Juncus,Other herb plants,Concentration (p/g)
8,TH113-1 (3b),Immerca-TH113,2900–1950,3915 + 165,,100,3,38,59,0.7,2.4,0,0,0,4.9,5.4,0,0,7.5,2.4,1.2,0,0,0.2,0,0.3,0.5,2.1,7.3,0,0.5,1.7,0,3.3,5.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0.7,0.2,0.3,0.5,22,6.8,0.9,1.6,2.8,0.7,1,0.2,0.7,1,1,0,0,4.7,0.2,2.6,0,0.3,0,0.2,0.2,0.3,0.7,0,0,0,4.3,193800
10,TH113-2 (3a),Immerca-TH113,,,,100,6,4,90,0.2,0.6,1.3,0,0,0,0.6,0,0,0,0.2,0,0,0,0.2,0,0,0,0.2,0.2,0,0,5.4,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,2.5,0.4,3.1,0,1.2,0.4,0.3,0.4,4.6,72,0,0,0.4,0.4,0,0,0.4,0,0.4,0,0,0,0,0,0,2.5,56612
11,TH113-3 (2b),Immerca-TH113,3400–2300,4225 + 175,,99,8,14,77,0.9,1.3,0,0,0,0.2,6.5,0,0,0.2,1.8,0,0,2.5,0.7,0,0,0.4,1.4,0.5,0,0,4.5,0.7,0.5,1.3,0,0,0,0,0.2,0,0,0,0,0,0,0,0.4,0,0.4,4.1,0.2,12.8,0,24.1,2.3,0,0,0.2,2,0.4,18.9,3.6,0,0.4,0,0,0,0.5,0,0,0.2,0,0,0,0,0,5.6,102952
12,TH113-4 (2a),Immerca-TH113,,,,100,2,6,92,0.2,0.9,0,0,0,1.5,0.6,0,0,0,0,0.4,0,0,0,0,1.1,0,1.3,0,0,0,0.9,1.3,0,3.9,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0,0,0.2,0.6,0.4,6,0.6,0.6,6.9,3.9,0,0.5,3.9,0.9,49.7,5.4,0,0.2,0.2,0.2,0,0,0,0.2,0,0.2,0,0,0,0,5.9,109473
16,TH120-A,TH120- 1,,4820 + 50,,100,10,18,72,3.6,0,0,0,0,5.2,0.8,0,0,0,3,0,0,0.3,4.4,0,0,0.3,2.8,2.8,0,0,5.8,0,0.3,4.4,0,0,0.3,0,0,0,0,0,0,0,0,0,0.6,0,0,2.5,0.6,9.4,0.6,3.3,12.9,0.3,0.3,0,4.7,3.6,13.5,1.7,0.3,0,0.6,1.4,0.8,0,0,0,0.6,1.1,0,0,0,0,8.2,49473
29,TH120-I,TH120- 2,,6480 + 50,,100,6,9,85,0,0,1.1,0,0,0.8,1.1,0,0,0,0.3,0,0,0,0.3,1.4,0,0,0.8,1.7,0,0.3,4.7,0,0,2.8,0,1.1,0,0,0,0.3,0.3,0,0,0,0,0.6,0,0,0,0,0.6,8.9,0.6,0.8,0.3,0,0,0,43.9,2,3.1,0,0,0,0,0,0,13.1,0,1.7,0,0,0.3,0,0,0,7.3,15681
13,TH124-C,TH124,,,,100,11,48,41,2.6,1.5,0,0.3,0,10.3,6.4,0,0.3,12.3,1,3.8,0,0.3,0,0,0,1.2,0.5,12.1,0,0,2.8,0,0.8,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,8.5,0.3,3.3,3.1,2.1,0.5,1.5,0,0.2,3.1,2.1,1,3.3,0,1.8,0,0.8,0,0,0,0.5,0,0.3,0,0,0,0,8.5,117090
19,TH124-P,TH124,,,,100,11,45,44,2.8,0,0.9,0,0,10.6,4.2,0,0,14.6,0.7,0,0,0,0,0,0,0.5,0,11.3,0,0.2,7.3,0,0,1.4,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,13.6,0.7,4.2,1.9,3.1,0.2,0.5,0,0,4.2,0.2,4.5,0,0,0,0,0,0.2,0,0,0,0.2,0.2,0.2,0,0,0,10.8,165483
18,TH125,TH125,4250–3350,4960 + 175,,99,3,11,85,0,0,0,0,0,4.2,0.6,0,0,0,0.3,0,0,0.3,0.3,0.6,0,0,2.5,5.1,0,0,2,0,0,0.8,0,0,0,0,0,0,0.6,0.3,0,0,0,0,0,0,0,0.8,0,15.5,1.7,7.3,19.4,0.3,0,0,7,10.7,6.5,0,0.3,0,0,0.8,0,0,0,0,0,0.3,4.2,0,0,0,7.6,98965
14,TH129,TH129,,,,101,7,21,73,1.1,0.4,0,0,0,0.7,0.4,0,0,0.2,1.5,0,0,1.5,0,0,0,0.2,20.1,16.8,0,0.2,3.3,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,2.2,0.4,2.7,27.2,3.3,1.8,0,2.9,8.6,0.2,0,0,0.9,0,1.3,0,0.4,0,0,0,0,0,0,0,0,0.4,168000
1,TH85,TH85,,,,100,4,20,76,0.7,0.4,0,0,0,2.8,1.3,0,0,0,0.4,0,0.3,0.3,0.1,0,0,2.9,0,10.4,0,0.6,1.9,0,0.3,0.1,0,0.6,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,4.2,1.1,2.4,33.5,0.6,1,0,1.3,2.6,1.4,0,0,1.1,0,14.6,0,0,0,0,0.1,0,0,0,0,0,11.5,59388
2,TH88,TH88,,,,101,4,11,86,0,0,0,0,0,0.6,1.4,0,0,2.3,1.4,0,0,0,0.3,0,0,0,0,4.3,0,0,3.7,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0.9,41.5,6.5,17,0.6,0.9,0,0.7,3.4,0.3,9.1,0,0,0,0,0.3,0,0.6,0,0,0,0,0,0,0,0,1.8,25984
17,TH94-1,In Taharin-TH94,4050–3100,,,100,7,22,71,1,1.2,0.5,0,0,0,3.6,0,0,0.2,8.7,0.5,0,1.7,0.5,0,0.2,0.7,2.9,3.4,0,0,3.4,0,1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.1,2.4,5.1,3.1,1.4,0.5,0.3,9.7,0.2,15.9,1.7,0,0.2,1.2,1.9,0,0,0,0.5,0,0,0,0,0,0,11.4,108679
22,TH94-2,In Taharin-TH94,5000–3800; 4850–3950,5530 + 220,,100,10,23,67,2.5,0.3,0,0,0,1,3.8,0,0,1.3,7.8,0,0,5.1,0,0,0,0.8,3,2.8,0,0,1.5,0,2,1.5,0,0,1.3,0,0,0,0,0,0,0,0,0,0.3,0,1.3,0,0,8.4,1.5,2.8,9.1,1.3,0,0,16.2,0.3,11.6,0.8,0,0.3,0,0.5,0,0,0,0.3,0,0.3,0.5,0,0,0,9.9,60800
