,"Depth (cm) [undefined]","cal yr BP (1sigma) [undefined]","note [undefined]"
,0.0,-66.0,Date of Coring
,30.5,-2.0,Casuarina pollen
,99.5,604.0,
,299.5,3496.0,
,399.5,4298.0,
