labID,age cal,"	error","	depth","	cc"
gob1,6500,,3,1
gob2,6640,,10,1
gob3,6740,,15,1
gob4,6840,,20,1
gob5,6940,,25,1
gob6,7240,,40,1
gob7,7440,,50,1
gob8,7500,,53,1
