Depth,C14 BP,CAL BP,Algae? (type 229filament/cell,Alnus,Amaranthaceae,Amaryllidaceae,Ambrosia,Anthemis,Apiaceae,Arbutus,Artemisia,Asphodelus,Aster-type,Betula,Boraginaceae,Brassicaceae,Bryonia,Calluna,Campanulaceae,Caryophyllaceae,Castanea,Centaurea,Chaetomium sp. (type 7Aascospore,Cichorioideae,Cistus,Coniochaeta xylariispora (type 6spore,Corylus,Cyperaceae,Daphne,Epilobium,Ericaceae,Erodium,Euphorbia,Fabaceae undiff.,Frangula alnus,Fraxinus,Fungi (type 18spore,Genista-type,Geranium,Glomusspore,Helianthemum,Ilex,Juglans,Juniperus,Lamiaceae,Liliaceae,Lotus-type,Lycopodiumspore,Olea europaea,Pedicularis,Pinus,Pinus subg. Strobus-type,Plantago coronopus,Plantago lanceolata,Poaceae,Polemonium,Polygonum,Potentilla,Primula,Prunus-type,Pseudoschizaea circulapalynomorph,Pteridium aquilinumspore,Quercus (deciduous),Quercus ilex-type,Ranunculaceae,Rhamnus,Rosaceae undiff.,Rumex,Rumex acetosella,Salix,Sambucus,Scrophulariaceae,Sordaria-type (type 55Aspore,Sphagnum,Taxus,Thalictrum,Tilletia sphagni (type 27spore,Ulmus,Unknown (type 33palynomorph,Urtica,Viburnum
5,--/178/--,--/289/--,,90,3,,5,2,3,2,1,,,117,,11,,2,1,,13,,,1,,,2,13,,,71,1,,5,3,2,,10,,,,1,,1,,2,,4,2,,18,,3,,147,,2,,,,1,7,49,5,4,,5,2,10,,,1,,,1,,,,,10,
10,--/356/--,--/476/--,,66,4,,,2,10,2,,,,102,2,,,,4,,16,,,6,,,6,22,,,20,,,22,,,6,10,,10,,,,,,2,,32,30,,18,34,,6,122,2,,12,,,,,38,16,,,24,2,12,6,,8,23,6,,,23,,6,,
15,--/534/--,--/664/--,8,189,,,,4,3,5,,1,11,252,,5,,,3,3,18,,,9,4,,1,22,,,72,,,4,2,,16,,1,8,,1,,,2,,,13,7,,11,,3,,39,,,2,,,,,68,7,,,12,3,7,,,,80,1,,2,,,,,2
20,--/712/--,--/851/--,,128,,,,4,7,5,,,5,241,3,,,1,2,2,29,,,4,3,,,33,,,92,,1,4,,,7,,,,,1,,,,,,14,5,,2,,,6,88,,,1,,,,,43,4,,,3,,2,,,2,4,2,,,,1,,,
25,--/890/--,--/1039/--,,125,,,,4,2,4,,,4,170,,1,,1,2,3,13,,,4,10,,,15,,1,130,,,4,,,4,,,2,,,,,3,,,15,8,1,1,,,2,34,,,,,2,,,47,7,,1,7,1,8,,2,1,10,1,,3,,,,,2
30,--/1068/--,--/1226/--,,119,2,,,1,3,2,3,,3,126,,6,,4,2,1,8,1,,5,2,,,5,,,160,,,4,,2,16,4,,,1,1,,,,2,,3,3,,,,,1,111,,,,,,,4,59,3,4,,5,,12,1,1,1,7,,1,,,,,9,
35,--/1246/--,--/1413/--,,201,,,,1,7,4,,1,1,315,,,,1,2,,16,,,4,12,,,11,,,63,,,1,4,,12,,,2,,2,,,1,,,24,4,,2,,,1,31,,,3,2,,,,96,7,,,4,,4,,,1,15,1,,,,1,7,,2
40,--/1424/--,--/1601/--,,131,3,,2,,6,3,,,2,128,,5,,3,,1,21,,,2,1,1,,9,,,112,,,13,2,1,,6,,,3,,,,,,,4,8,,2,,,,158,,2,,,,,5,54,6,1,,3,3,12,1,1,6,5,,1,,,1,,7,
45,--/1602/--,--/1788/--,,75,,,,3,4,4,,,4,155,1,,,,7,1,36,,,3,2,,2,16,1,,111,,,4,,,11,1,,,,,,,,,3,24,17,,4,,,5,63,2,,3,1,,,,58,13,,,10,,6,1,,,,4,,,,2,,,
50,--/1780/--,--/1976/--,,56,,,,1,1,5,,1,4,131,,,,5,7,2,43,,,2,6,4,,16,,,118,,,5,3,,,,,,,,,,2,3,,29,8,,4,,,2,96,,,1,,,,,49,,1,,6,,3,1,3,4,17,1,,,,,,,
55,--/1958/--,--/2163/--,,141,3,,,1,14,,2,1,,146,1,10,,6,1,3,13,,,1,1,2,2,3,,,102,,,16,,7,,7,,,,1,,2,,,,2,,,5,,3,,104,,1,,,,,2,57,2,4,,6,,14,1,1,1,17,,,,,,,7,
60,--/2136/--,--/2350/--,,210,,,,,3,,,,,230,3,4,,1,1,1,4,,,1,1,,1,3,,,29,,,5,3,2,16,5,3,,,2,2,,,,,1,,,,,2,,82,,,,,,,9,55,5,4,,4,,12,2,,2,1,,,,,,13,1,1
65,--/2314/--,--/2538/--,,281,,,,,2,,,2,3,293,,,2,,6,,17,,,6,3,,4,15,,,46,,,4,4,2,1,,,,,,1,,1,1,,60,,,1,,3,1,33,,,1,2,,,,36,6,,,6,,1,,1,1,,5,,,,,,,
70,--/2492/--,--/2725/--,,230,,,,,,2,,,1,301,,,2,1,,3,14,,,6,7,1,4,7,,,58,,,3,,,,1,,,,2,,,4,5,,48,,,2,,1,1,11,,,,,,,,56,5,2,,3,2,3,,,2,,1,,,,,,,9
