Depth,Radiocarbon years BP,Abies,Acer,Alisma,Alkanna,Alnus,Amaranthaceae,Anemone,Apiaceae,Arceuthobium oxycedri,Artemisia,Asphodelus albus-type,Asteroideae,Azollaspore,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus,Buxus,Calystegia,Campanulaceae,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cichorioideae,Cirsium/Gundelia,Cladium mariscus,Corylus,Cyperaceae,Cyperus longus-type,Dipsacus-type,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Fabaceae,Fagus,Fallopia convolvulus-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentiana cf. G. pneumonanthe,Gentianaceae,Hedera,Helianthemum,Humulus/Cannabis,Hypericum perforatum-type,Hystrix,Iris pseudacorus,Isoëtesspore,Juglans,Juniperus,Knautia,Lamiaceae,Ligustrum,Liliaceae,Linum,Loranthus,Lotus-type,Lythrum,Lythrum portula-type,Matricaria-type,Monactinus simplexcolony,Myriophyllum spicatum/M. verticillatum,Myrtus,Nuphar,Nymphaea,Olea,Oleaceae,Onobrychis-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Parrotia,Pediastrum boryanum var. divergenscolony,Pediastrum boryanum var. granulatumcolony,Pediastrum duplexcolony,Pediastrum muticum var. scutumcolony,Pediastrum undiff.colony,Pediastrum undulatumcolony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Potamogeton,Potentilla-type,Pseudopediastrum boryanumcolony,Pseudopediastrum boryanum var. longicornecolony,Pseudopediastrum brevicornecolony,Pteridiumspore,Pteridium undiff.spore,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Ranunculus,Ranunculus peltatus-type,Ranunculus repens-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Salix,Salviniaspore,Salviniamassula,Sambucus nigra-type,Sanguisorba-type,Scabiosa,Scrophularia/Verbascum,Scrophulariaceae,Solanum dulcamara,Sparganium-type,Spergula,Stachys-type,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (trilete)spore,Urtica,Valeriana,Viburnum-type,Vicia-type,Vitis
30,--/605/--,5,1,1,1,6,2,,5,,6,,3,,,1,,1,5,,,,,,2,1,1,,,,,,6,2,2,6,14,62,4,,26,,,2,10,,2,,,,5,1,,,1,,1,1,3,,16,2,2,,,,,,,,1,,3,49,3,,3,5,2,,2,,44,,,2,2,,,,1,,,54,1,,9,,3,,,6,249,6,4,,4,,6,2,,10,,33,196,5,,,,1,,,,2,,,,,,,,,,,24,,,,,2,,,1,,10,7,16,,1,,,2,1
37,--/746/--,3,2,1,,11,16,,17,,13,1,5,,1,,1,6,,2,,,,,3,9,1,1,,,,,3,5,1,9,7,172,,,23,,1,,12,,6,,,,7,3,1,,1,1,1,,,,6,5,8,,,,,,,,3,,2,15,11,,3,3,8,,,,91,,,,,,,,,7,1,18,10,,14,,3,1,,15,347,17,10,,,,6,,,20,,45,342,,4,,1,,,1,1,6,,1,,,,2,,,1,,55,,,,,1,,3,,17,7,2,45,,,,,1,2
60,--/1209/--,6,,,,5,1,,4,,3,,,2,,,,3,,,,,,,,1,1,,,,,,2,2,1,1,10,19,,,10,,,,1,,2,1,,,2,,,,1,,,,,,2,,,,,,,,,,,,1,3,12,,,,1,,,,24,,,,,,,,,,,16,1,,2,,,,,1,49,2,2,,,,1,1,,11,,8,180,,,,5,,,,1,,20,,,,,1,,,,,8,,,,,1,,,,1,,4,4,,,,,,
80,--/1612/--,10,2,,,13,8,,12,,8,,2,,1,,,9,,1,,,,,,8,,,,,,,4,5,,,11,52,,,25,1,,,6,,2,5,,,4,,,,,,,,,,131,,,,,,,,,,1,,,8,1,,,4,3,,,,51,,,,,,,,,,,68,,,2,,,,,,81,2,3,,,,,,,12,,41,350,1,,,,,,,,,,1,,,,,,,,,45,,,,,1,,,2,,6,1,60,,,,,,
100,--/2016/--,6,,3,,16,6,,18,,10,,1,,2,,,4,,,,,,,,12,5,1,,,,,6,1,6,1,37,67,,,20,1,,1,6,,8,3,,1,5,1,,,1,,,,,,2,,1,,,,,,,,3,,,5,1,,1,3,4,,,,106,,1,,,,,,2,,,65,3,,12,,1,,1,,337,6,6,,,1,1,1,,21,,74,601,11,,,,,,,1,2,2,,,,,1,,,,,27,,,,,4,,1,4,,13,6,21,,,,,,
120,--/2419/--,17,4,1,,24,62,,34,,33,,19,,11,,,17,12,,1,,1,3,15,14,7,,,,,,5,14,,15,38,358,6,,64,1,,21,30,,5,5,1,,23,15,,,,1,,1,1,1,50,,17,,,,,,,1,5,,8,42,4,,,38,9,,,,167,,,,3,,,,,,,165,3,1,10,1,6,4,1,3,2562,13,10,,,,5,3,,20,,88,1010,19,,3,,,,,,4,1,8,,,1,5,,,1,3,164,,,,,2,,1,3,2,12,36,156,,,,,,5
140,--/2822/--,5,1,,,7,20,1,72,,21,1,4,,,,,15,,,,,,,7,4,,,,,,,,1,,3,15,324,,,10,,,,7,,5,,,2,7,2,,,,1,,,,,42,,2,,,,,,,,1,,7,,,,,21,7,,4,,100,,,,,,,,,1,,48,1,,12,,,3,,,498,1,3,,2,,3,7,,5,,17,366,3,,,,,,,1,9,,,,,,1,,,,,67,,,,,1,,1,1,,2,9,29,,,,,2,6
155,--/3124/--,4,,,,3,8,,19,,7,,5,,,,,23,,,,,,,,5,2,,1,,,,3,1,,83,8,120,,,53,,,,5,,4,1,,4,9,3,,,,,,,,,1,,2,,,,3,,,,1,,2,,1,,,21,4,,,,108,,,,,,,,,1,,38,2,,7,,,,,1,282,2,4,,,,3,2,,4,,18,326,,2,,,,,,,,2,4,,,,2,,,,,145,,,,,1,,,2,,5,7,35,,,,,,1
180,--/3628/--,2,2,1,,4,5,,7,,1,,2,,,,,,3,,,,,,,9,1,,,,,,2,2,,24,11,47,3,,275,,,2,3,,3,,,,9,2,,,,,,,,,,,,,,,,,,,,1,,,11,,,1,1,,,,59,,,,,,1,,,,1,24,1,,5,,,,1,1,141,1,,,1,,5,4,4,,,7,174,,3,,,,,,,5,,2,,,,1,,,,2,35,,,,,1,590,1,1,,4,2,7,,,,,1,
198,--/3991/--,4,,,,8,3,,6,,2,,1,,,1,,1,,,,,,,2,14,,,,,,,,2,,5,8,45,,,30,,,,4,,4,,,1,9,1,,1,,,,,,,,,5,,,,,,1,,4,,,,2,,,21,3,,,,93,,,,5,,,,,,,20,1,,5,,3,1,1,,122,,,,,,15,7,,8,,3,249,,,,,,,1,,1,,1,,,,,,2,,,31,,,,,1,5,,,,,7,8,1,,,,,
220,--/4434/--,10,1,,,4,8,,9,,2,1,2,,,,,5,1,,,,,,1,19,1,1,,1,,,1,2,,9,15,62,1,,53,,,,12,,3,1,,,15,1,,,,,,,,,1,,2,,,,,,,,1,,4,,2,,,24,9,,,,170,,,,3,,,,,1,,37,3,3,9,,,,3,,193,3,,1,,,16,8,,16,,13,410,1,,,,,,,,5,,5,,,1,2,,3,,,51,,,,,,,1,1,,6,6,8,,,,,,3
237,--/4990/--,9,,,,6,3,,11,,1,,3,,,1,,5,,,,,,,1,16,1,1,,,,,,4,1,4,5,30,,,20,,,,4,2,,,,3,21,3,,,3,,,,,,1,,,,,,2,,,,1,,,,5,,,24,,,,,120,,,,,,,,,3,,33,8,,6,,,,,1,172,2,,,,,1,2,,7,,2,294,,,,,,,,1,5,1,5,,,,2,,,,,19,,,1,1,,4,2,3,1,1,5,4,,,,,,1
