Depth,Tinner et al. (2016)Calendar years BP,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Agrimonia-type,Ailanthus,Allium-type,Alnus glutinosa-type,Amaranthaceae-type,Amaranthus,Ammi-type,Androsace,Anemone-type,Anthemis-type,Anthoceros laevisspore,Anthriscus sylvestris-type,Apiaceae,Apium-type,Artemisia,Asparagus,Asphodelus albus-type,Aster-type,Asteroideae,Astragalus-type,Athyrium filix-feminaspore,Betula,Boraginaceae,Borago officinalis,Botryococcuscolony,Brassicaceae,Bupleurum-type,Buxus sempervirens,Calendula,Calligonum,Callitriche,Calystegia,Campanula-type,Cannabis sativa,Carduus,Carlina,Carthamus,Castanea sativa,Celtis australis,Centaurea nigra-type,Cerastium-type,Ceratophyllumspine,Cercophora-typespore,Cerinthe,Chaerophyllum-type,Cichorioideae,Cistus,Corrigiola litoralis,Corylus avellana,Cuscuta,Cyclamen hederifolium,Cyperaceae,Cyperus-type,Daphne,Daucus,Diporothecaspore,Echinops,Echium,Ephedra fragilis-type,Erica arborea-type,Eryngium,Eucalyptus,Euphorbia,Euphrasia-type,Fabaceae,Fagus sylvatica,Falcaria-type,Ficus carica,Foeniculum-type,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Geranium,Gladiolus-type,Glomusspore,Gnaphalium-type,Hedera,Heracleum,Hippocrepis-type,Hypericum perforatum-type,Isoëtesspore,Juglans regia,Juncaceae,Juniperus-type,Knautia,Lemnoideae,Liliaceae-type,Linum,Lotus-type,Lygeum spartum,Lysimachia vulgaris-type,Lythrum,Lythrum portula,Mentha-type,Mercurialis annua,Myriophyllum spicatum,Odontites-type,Oenanthe,Olea,Ornithopus,Ostrya-type,Paronychia-type,Pediastrumcolony,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Picea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton-type,Potentilla-type,Prunus-type,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus cerris-type,Quercus ilex-type,Quercus pubescens-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Rhus,Rhynchospora,Ricciaspore,Rosa,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex acetosella,Rumex obtusifolius-type,Rumex scutatus-type,Sagina,Salix,Sambucus nigra,Scabiosa,Scandix pecten-veneris-type,Secale,Sedum-type,Senecio-type,Serratula-type,Silene dioica-type,Silenoideae-type,Smyrnium-type,Solanum dulcamara,Sorbus-type,Sparganium-type,Spergula-type,Sporormiellaspore,Thalictrum,Theligonum cynocrambe,Tordylium maximum,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Turgenia latifolia,Typha latifolia-type,Ulmus,Urtica dioica-type,Ustulina deustaspore,Utriculariaspine,Valeriana,Valerianella locusta-type,Vicia-type,Vitis
0,--/-56/--,188,18583,3,1,,,1,,,,1,,,,,11,,,1,5,9,,,4,,,,,,,,7,,,2,,,,,,3,,,4,,1,1,1,2,2,,22,,1,1,,1,29,7,1,,,,,,3,1,1,,,,,1,,2,1,,,2,,1,,1,1,,,,1,,,6,,20,,,,,,,1,1,,,2,28,15,,,,2,1,4,,,1,55,,14,1,1,,225,4,,,,,10,,,16,3,7,2,36,,11,,3,1,,,8,,1,,1,28,,,,,1,1,,,,,,,,,32,1,,,,,,4,1,,54,1,,,,,,,1
10,--/15.83/--,101,18583,3,1,,1,,1,,,2,,,,,7,,,1,,3,3,1,15,,,,,,1,,4,,,1,,,,,,3,,,8,,1,,,1,,,40,,,1,2,,26,2,,3,,,1,1,2,,3,,,,,,,,1,,,1,,,,,,,,,2,,,1,,3,1,1,,,,,1,,,,2,9,3,,,,2,,2,1,,2,134,1,133,4,,,147,5,1,,,6,2,,1,5,,5,1,19,,12,,,,,,5,,,,,16,,,1,1,,,,,1,,,,,,8,,6,,1,,5,16,1,,19,,1,,,,,,
20,--/87.66/--,143,18583,3,1,,,,,,,6,,,,,54,,,3,,2,,7,9,1,,,,,,,12,,,2,,,,,,4,1,,1,,,,,,,2,121,,,,1,,9,2,,5,,,,,1,,,,1,,,1,,,,,1,,,,,,,,,1,25,,,1,,1,,,,,1,,,2,,,,6,9,,,2,3,,1,1,,,1,,14,1,,,208,13,,1,,,2,,,76,1,1,1,9,,,,,3,,,1,,,,1,51,,,,,,,,2,,2,,,,,,,8,,1,,,7,4,,2,,2,,,,,,
30,--/159.5/--,185,18583,3,1,,,,,,,6,1,,,1,7,,,9,7,7,1,1,2,,,,,,,,6,,,,,,1,,,,1,,2,,2,,52,11,2,2,13,,6,,,1,24,6,,12,1,,2,,3,,,,,,,4,1,2,2,,,,,,,,2,,,,5,,1,,,24,,,,,,,5,,,,,16,6,,,3,90,,2,1,,,2,2,1,2,1,,270,4,,,1,,15,,,25,1,2,2,34,,10,,7,,,2,12,3,1,,,12,,4,,,,,,,,1,1,,2,1,37,,8,1,,,1,2,,1,48,1,2,,,,,2,2
40,--/231.33/--,593,18583,3,1,,,,,,,8,,1,,,9,,,2,2,11,,1,5,,,,,,,,10,,1,,,2,,,,1,,,1,,,,,16,,4,8,,1,1,,,43,3,,6,,,4,,1,,,1,,,,1,,,1,2,,1,,,,,1,1,,1,,1,1,3,,28,,,,1,1,,2,1,,,,5,9,,,1,8,,3,,,4,2,3,6,7,,,297,5,1,1,,,15,,1,9,1,15,3,50,,3,,,,,,6,1,1,13,,17,,,,,1,,,1,1,,,1,,,69,,3,1,,,,1,,,94,,4,,,,,,2
50,--/303.16/--,293,18583,3,1,,,,,,1,5,,,,,2,1,,2,1,7,1,1,2,,,,,,,,2,,1,,1,1,,,,,,,,,2,1,87,4,,,5,,2,,,2,22,2,,5,,,2,,2,,,,,,,1,,1,,,,,,,,,,1,,,,,,1,,55,,,,,,,,,3,,,,2,,1,1,,,2,,,,1,2,1,1,,,160,1,,,,,8,,,16,,9,6,36,2,1,1,,,,1,3,,,3,1,9,,,,,,,,,,,,1,,,130,,1,,,1,1,,,,55,,,,1,,,1,1
60,--/374.99/--,172,18583,3,1,,,,,,,3,,,,1,12,,,2,2,5,,,5,,,,,,,,9,1,,,,,,,,,1,,,1,1,,59,18,,2,9,,,,,,7,2,,14,,,4,,1,,,,,2,,1,,4,,,1,,,,,,4,,,1,2,,,1,,13,,,,,,,1,3,1,,1,6,4,,,1,,,3,,1,,2,2,1,6,,,199,3,,,1,,16,6,1,15,2,6,2,64,3,3,,2,,,1,6,4,,3,,12,,1,,,,1,,1,,,,2,,,29,,2,,1,,,3,,,26,,1,,,,,1,
72,--/461.19/--,92,18583,3,1,,,,,,1,1,,,,,4,,,4,,4,,2,4,,1,,,,,,1,,,5,,,,,,2,,,,,1,,,4,,3,13,,10,1,,,48,2,,6,,,,,,1,,,,,,1,,,2,,,,,,,,4,,,,4,,,1,,4,,,,,,,4,,1,1,,9,1,,1,,,,1,,,,1,1,1,2,,,154,1,,1,1,,18,2,,4,,22,6,300,3,6,,2,,,,2,1,1,1,,7,,1,,,,,,,,,,,2,,12,,2,,,,,9,,,2,,1,,,,,,
80,--/518.65/--,69,18583,3,1,,,,,,1,3,,,,,10,,,5,3,2,,1,8,,,,,,,,,,,2,,,,,,2,,,,,1,,,9,,1,13,,23,1,,1,82,8,,1,,1,1,,,,,,,,,1,,,,,,1,,,,,5,,,,3,,,,,15,,,,,,1,9,1,,2,2,18,2,,1,2,1,1,2,,,1,1,1,3,2,,,219,4,2,2,1,,14,,1,9,1,60,8,228,,8,,3,,,,6,,,1,,1,,3,,,,,,3,,,,1,1,,23,,2,,1,,2,15,,1,18,,2,,,,,,
90,--/590.49/--,107,18583,3,1,,,,,,,1,,,,,1,,,1,,4,5,,1,,,,,,,,,,,,,,,,,,,,1,,1,,86,3,,,3,,17,1,,2,40,1,,1,,,,1,,,,,,,,1,,,1,,,1,,,1,,1,,,1,,,,2,,9,,,,,,,1,,,,,5,1,1,2,4,3,,2,1,,,,1,,2,,,50,,,,1,,9,,,2,,51,2,136,1,7,,1,,1,,1,3,2,,,,,1,,,1,,,1,,,,1,2,,11,,,1,,,,,,,13,1,2,1,4,,,,
100,--/662.32/--,198,18583,3,1,,,,,,,4,,,,,1,,,1,,2,,,,,,157,,,,157,1,,,1,,,,,,,,,,,,,201,,,,1,,,,,,14,,,1,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,3,,,,,,,,1,,,,,32,,,,,,2,,,3,,26,2,70,1,,,,,,,,,,,,,,,,,2,,2,,,,,,,,1,,1,,,,,,,,1,,,,,,,,
