labID,"	age","	error","	depth","	cc"
KIA48027,880,30,4.5,1
KIA48028,1470,30,98.5,1
KIA48028,1480,35,98.5,1
KIA48029,2175,30,199.5,1
KIA48029,2190,40,199.5,1
KIA48030,2670,25,304.5,1
KIA48030,2870,25,304.5,1
Beta-327805,2990,30,357.5,1
KIA44213,2155,25,359.5,1
KIA48031,3275,30,394.5,1
KIA48031,3315,30,394.5,1
ETH48430,2123,38,397.05,1
KIA48032,3545,30,494.5,1
KIA48032,3615,25,494.5,1
KIA48033,4545,35,605.5,1
KIA48034,4910,30,705.5,1
ETH48434,3474,104,752,1
KIA48035,3800,45,793.5,1
KIA48035,4765,30,793.5,1
KIA48035,4795,30,793.5,1
ETH48433,3832,32,798.5,1
KIA48036,5740,40,890.5,1
ETH48429,4086,42,901,1
Beta-336208,4230,30,921,1
Beta-327806,5800,40,943.5,1
KIA44214,4165,40,945,1
KIA44215,4100,25,946.5,1
KIA48037,5900,40,992.5,1
KIA48037,5900,35,992.5,1
KIA44216,5870,60,993.5,1
KIA48038,6655,45,1093.5,1
KIA48038,7145,45,1093.5,1
KIA48039,7145,50,1181.5,1
KIA48039,7140,40,1181.5,1
KIA48040,7675,40,1277.5,1
KIA48041,7700,40,1378.5,1
KIA48041,7705,40,1378.5,1
KIA48042,8480,45,1472.5,1
KIA48042,8540,45,1472.5,1
KIA48043,8860,45,1572.5,1
KIA48043,8910,45,1572.5,1
KIA48045,9805,45,1777.5,1
KIA48045,9855,45,1777.5,1
