Depth (cm) [undefined],14C age (yr BP) [undefined],error [undefined],thickness (cm) [undefined],lab number [undefined],Material dated [undefined]
59,630,40,5,GrA-11821,organic rich layers
162,2200,50,5,GrA-9190,organic rich layers
187.5,2400,50,5,GrA-9191,organic rich layers
