Depth,Lycopodium spike counted,Cal BP,C14 BP,Abies,Algae? (type 128A,Algae? (type 128B,Alnus,Amaranthaceae,Amaranthaceae (broken),Amaranthaceae (crumpled),Anthemis-type,Apiaceae,Artemisia vulgaris-type,Asplenium fontanum-type spore,Aster-type,Asteraceae undiff.,Asteraceae undiff. (broken),Asteraceae undiff. (crumpled),Botryococcus colony,Brassicaceae,Calystegia-type,Caprifoliaceae,Carduus-type,Caryophyllaceae,Castanea,Cedrus,Cedrus (broken),Cedrus (crumpled),Cedrus (degraded),Centaurea cyanus-type,Centaurea solstitialis-type,Centaurea undiff.,Ceratophyllum leaf spine,Cichorieae,Coelastrum palynomorph,Convolvulaceae,Cornaceae-type,Cyperaceae,Cyperaceae (broken),Cyperaceae (corroded),Cyperaceae (crumpled),Cyperaceae (degraded),Cystopteris fragilis-type spore,Dinoflagellata cyst,Dipsacoideae,Echinops-type,Ephedra distachya,Ephedra fragilis-type,Epilobium-type,Ericaceae,Erodium,Fraxinus ornus-type,Galium-type,Gelasinospora-type spore,Humulus/Cannabis-type,Indeterminable (broken) spore,Indeterminable (corroded)spore,Indeterminable (crumpled)spore,Indeterminable (degraded)spore,Indeterminable (obscured)spore,Juglans regia,Juniperus,Lemna-type,Lythrum,Malvaceae,Myriophyllum,Nymphaea,Olea-type,Oleaceae (broken),Oleaceae (crumpled),Oleaceae (obscured),Oleaceae undiff.,Ostrya/Corylus-type,Pediastrum clathratum-type colony,Pediastrum simplex-type colony,Pinaceae,Pinaceae (broken),Pinaceae (corroded),Pinaceae (crumpled),Pinaceae (degraded),Pinaceae (obscured),Pinus,Pinus (broken),Pinus (corroded),Pinus (crumpled),Pinus (degraded),Pinus (fragmented),Pistacia,Plantago coronopus,Plantago lanceolata,Plantago major/P. media,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Poaceae (Cerealia-type,Poaceae (Cerealia-type,Poaceae (Cerealia-type,Poaceae (broken),Poaceae (corroded),Poaceae (crumpled),Poaceae (degraded),Polygonum-type,Potamogeton,Pseudopediastrum boryanum-type colony,Quercus cerris-type,Quercus coccifera-type,Quercus coccifera-type (broken),Quercus coccifera-type (crumpled),Quercus coccifera-type: corroded,Quercus ilex-type,Quercus undiff.,Quercus undiff. (broken),Quercus undiff. (corroded),Quercus undiff. (crumpled),Quercus undiff. (degraded),Quercus undiff. (obscured),Ranunculaceae,Salix-type,Sanguisorba minor-type,Serratula-type,Sparganium,Sparganium (broken),Sparganium (crumpled),Sparganium (degraded),Spirogyra (type 132,Thelypteris phegopteris-type spore,Thymus-type,Typha latifolia,Typha latifolia (broken),Typha latifolia (crumpled),Ulmus,Unknown spore,Unknown (type 130)filament/cell,Unknown (type 165)spore,Unknown (type 207)spore,Unknown (type 610)spore,Urtica-type,Valerianella-type,Vitis,Zygnema-type palynomorph
238.5,85,--/2886.779/--,--/2930.646/--,,,,,3,,,,,5,,1,2,,,,,1,,,,2,2,1,,,,2,,8,4,2,,,12,2,3,1,,12,,1,,,,,,,,,,,1,1,2,2,6,,1,,,,,,,,,,,1,,6,,,,1,2,1,117,90,,6,2,23,4,1,,,,3,37,6,2,,,4,,3,,,2,4,1,2,1,,,,,1,,1,,,,,2,,,,,,,,,6,,,,1,1,,30,8,,,,
242.5,567,--/2900.031/--,--/2979.797/--,1,1,2,,3,,3,3,,6,,4,,,,,1,,,,1,,1,1,,,2,7,,,4,12,,,19,11,,8,,,,,,,,,,,,3,1,,3,,9,2,2,,1,4,1,,,3,5,,,,,,8,30,2,3,,3,,,68,51,,13,1,18,,,2,,1,,80,2,4,,,7,,5,3,,44,16,7,10,,,,,3,,,1,,,,,1,,3,,,,1,4,,3,,,,1,,2,3,26,1,,,2
246.5,65,--/2965.833/--,--/3028.948/--,,2,1,,,,,,,1,,,,,,,,,,,,,1,,,1,,1,,6,2,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,3,4,,32,20,,3,,6,1,,,,,,4,1,,,,1,,,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,3,,1,,,,,1,,9,3,,,,
250.5,219,--/3063.167/--,--/3078.1/--,,,4,,,,,,,6,,2,1,,,,,1,,,,,2,,,1,,4,,17,1,,,,16,2,,3,,1,,,,1,,,,,,2,,,,,,,1,,,,,,1,1,3,,,,2,,1,1,,,,1,,,134,56,,5,2,11,2,,,,,1,49,3,,,,1,,2,1,,,7,2,17,1,,,,,,,,,,,,1,,1,,,,,2,1,,,,,,1,3,19,7,,,,
254.5,91,--/3160.5/--,--/3127.251/--,,,1,,4,,,,,1,,,2,,,,,,,,,1,2,,,,,2,2,25,2,,,,9,4,,,,,2,,,,,,1,,,1,,,4,,2,,2,,,,,,,1,1,,,,,1,,4,,,,7,2,,77,30,,1,,10,,2,1,,,,33,1,1,,1,3,,1,,,,4,2,14,1,,,,,,,,,,,,1,,3,,,,,,,3,,,,,,,6,24,,,,
258.5,327,--/3257.833/--,--/3176.402/--,,,,,,,,,2,3,,1,,,,,,,,1,,1,4,1,,,,,,,2,79,,,14,4,,1,,,9,,,,,,,1,,,,,3,,2,,3,,,,,,,,,,,,1,,103,110,1,,,2,,,131,76,,4,1,33,,1,,,,,39,8,,,,5,,2,,,,65,12,8,,,,,1,,,1,,,,,1,,,,,,1,,,,,,1,,,,,413,,,,
262.5,56,--/3355.167/--,--/3225.553/--,1,,,,1,,,,,,,3,,,,,,,,,,,1,,,,,,1,6,1,7,,,6,,,2,,,,,,,,,,,,,,,1,,10,1,1,,1,1,,,,,,,,,,2,,2,,,,7,6,,86,28,1,16,2,24,,,,,,,3,,2,1,,2,,15,,,2,5,4,5,,,,,,,,1,,,,,,,3,,,,,,,3,,,,,5,1,11,44,,,,1
273.5,21,--/3640.931/--,--/3389.924/--,,,12,,4,,,,,77,,,,,,,2,,,2,,,6,2,,1,,,,2,1,,,,36,7,,7,,,34,,1,,,,1,,,,,,6,,10,,11,,,,,,,,,,,,,,,,,,,5,,,97,34,2,51,3,2,,,,,,,8,2,,,,1,,7,,,,1,3,1,,,,,,,,1,,,,,,,3,,,,2,,,,,,,1,4,,3,,,,,
274.5,124,--/3672.504/--,--/3413.893/--,,,3,1,,,,1,1,148,,,2,,,,,,,1,1,,2,,,,,9,31,,4,,,,32,7,,12,,,41,,,,,,,,,,1,,2,,25,,5,,1,1,,,,1,,,,,,,,,,,,,1,,35,24,,27,5,9,,,,,,,17,1,,,,,,7,,,7,,4,4,,,,,1,1,,2,,,4,,1,,2,,,,1,,,1,,,1,,5,1,1,,,,,1
278.5,69,--/3798.794/--,--/3509.771/--,,,8,,1,,,1,,35,,,,,,,1,,,,1,,4,1,,,,1,,15,7,,,,23,4,,2,,,,,,,,,,,,,,1,,,6,1,,,2,,,1,,1,,,,,,,,,,,,9,13,,111,27,1,23,15,16,,,,,,,21,,,,,1,,2,1,,,,2,9,,,,,,,,2,,1,,,,,,,,,1,,,1,,,1,2,6,,3,,,,,
