Depth,Lycopodium spike counted,Cal BP,C14 BP,Abies,Algae? (type 128A,Algae? (type 128B,Alnus,Amaranthaceae,Amaranthaceae (broken),Amaranthaceae (crumpled),Anthemis-type,Apiaceae,Artemisia vulgaris-type,Asplenium fontanum-type spore,Aster-type,Asteraceae undiff.,Asteraceae undiff. (broken),Asteraceae undiff. (crumpled),Botryococcus colony,Brassicaceae,Calystegia-type,Caprifoliaceae,Carduus-type,Caryophyllaceae,Castanea,Cedrus,Cedrus (broken),Cedrus (crumpled),Cedrus (degraded),Centaurea cyanus-type,Centaurea solstitialis-type,Centaurea undiff.,Ceratophyllum leaf spine,Cichorieae,Coelastrum palynomorph,Convolvulaceae,Cornaceae-type,Cyperaceae,Cyperaceae (broken),Cyperaceae (corroded),Cyperaceae (crumpled),Cyperaceae (degraded),Cystopteris fragilis-type spore,Dinoflagellata cyst,Dipsacoideae,Echinops-type,Ephedra distachya,Ephedra fragilis-type,Epilobium-type,Ericaceae,Erodium,Fraxinus ornus-type,Galium-type,Gelasinospora-type spore,Humulus/Cannabis-type,Indeterminable (broken) spore,Indeterminable (corroded)spore,Indeterminable (crumpled)spore,Indeterminable (degraded)spore,Indeterminable (obscured)spore,Juglans regia,Juniperus,Lemna-type,Lythrum,Malvaceae,Myriophyllum,Nymphaea,Olea-type,Oleaceae (broken),Oleaceae (crumpled),Oleaceae (obscured),Oleaceae undiff.,Ostrya/Corylus-type,Pediastrum clathratum-type colony,Pediastrum simplex-type colony,Pinaceae,Pinaceae (broken),Pinaceae (corroded),Pinaceae (crumpled),Pinaceae (degraded),Pinaceae (obscured),Pinus,Pinus (broken),Pinus (corroded),Pinus (crumpled),Pinus (degraded),Pinus (fragmented),Pistacia,Plantago coronopus,Plantago lanceolata,Plantago major/P. media,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Poaceae (Cerealia-type,Poaceae (Cerealia-type,Poaceae (Cerealia-type,Poaceae (broken),Poaceae (corroded),Poaceae (crumpled),Poaceae (degraded),Polygonum-type,Potamogeton,Pseudopediastrum boryanum-type colony,Quercus cerris-type,Quercus coccifera-type,Quercus coccifera-type (broken),Quercus coccifera-type (crumpled),Quercus coccifera-type: corroded,Quercus ilex-type,Quercus undiff.,Quercus undiff. (broken),Quercus undiff. (corroded),Quercus undiff. (crumpled),Quercus undiff. (degraded),Quercus undiff. (obscured),Ranunculaceae,Salix-type,Sanguisorba minor-type,Serratula-type,Sparganium,Sparganium (broken),Sparganium (crumpled),Sparganium (degraded),Spirogyra (type 132,Thelypteris phegopteris-type spore,Thymus-type,Typha latifolia,Typha latifolia (broken),Typha latifolia (crumpled),Ulmus,Unknown spore,Unknown (type 130)filament/cell,Unknown (type 165)spore,Unknown (type 207)spore,Unknown (type 610)spore,Urtica-type,Valerianella-type,Vitis,Zygnema-type palynomorph
282.5,40,--/3925.084/--,--/3605.649/--,,,6,,1,,,1,,1,,3,3,,,,,,,1,,1,11,2,2,1,,,,3,,,,,18,2,,1,,,2,,,,,,,,,,,,,,4,,2,,1,,,1,,2,,,,,,,,,1,1,,17,37,,123,37,,32,15,16,1,,,,,,5,1,1,,1,,,,,,,,4,4,,,,,,1,,,,,3,,,,1,,,,2,,,1,,,,,5,,15,,,,,1
286.5,58,--/4051.374/--,--/3701.527/--,,,2,,,,,,,1,,1,2,,,,,,,,,,1,5,,,,,,2,2,,,,4,2,,,,,5,,,,,,,,,,,,,,5,,1,,,,,,,1,,,,,,,,,,,1,14,20,,61,23,1,24,12,15,,,,,,,1,,1,,3,,,4,,,,,,2,,1,,,,,,,,,,,,,,,,,3,,,,,,,,4,,3,,,,,
310.5,181,--/4809.115/--,--/4276.794/--,,1,3,,5,,,,,6,,,,,,,,,,,,,6,6,,,,1,,10,1,7,1,,6,4,,1,,,5,,,,,,,,,,,,2,,29,,32,,3,1,,,,,1,,,,,1,,7,5,,,9,1,,121,46,,9,4,42,,,,,,,31,4,,,,2,,18,,,1,4,11,7,2,,,,6,,,2,1,,1,,,,1,,,,3,,,3,,,,,1,,2,,,,,
342.5,141,--/5676.726/--,--/4941.629/--,,,,,,,,,,,,1,,1,,1,,1,,,1,,3,,,,,,,40,1,,,,3,1,,4,,,,,,,1,,,1,,1,,,,,9,1,4,,3,,,,,20,,,1,2,,,,,,,,,,,18,18,,23,4,21,,,,,,,4,1,,,1,,1,8,,,,,,3,,,,,,,,3,,,,,,,7,1,2,,,16,,,1,,1,,1,,5,,,,,1
360.5,165,--/5816.904/--,--/5066.519/--,,,,,1,,,1,,,,5,6,,,2,,,,,2,,1,1,,1,,2,1,43,14,,,,1,1,1,,1,14,,3,,,,,,4,,,,,1,1,2,,3,,3,,,,,14,,,,,,,,,,,2,2,1,,48,33,32,72,43,2,,,,,,,13,2,,,,1,,1,,,,,2,2,1,,,,1,,,2,,,,,1,,3,,,,1,25,,2,,,,,2,1,390,,,,,1
390.5,365,--/6050.533/--,--/5274.667/--,,,1,,4,,1,,,,,9,6,,,,,,,2,13,,1,1,,,,,2,3,26,,,,3,1,,1,1,1,,,,,1,,,1,,,,,8,2,31,2,6,,23,,,,,11,,,2,,1,,,,,,,,,,12,7,,9,2,7,,,,,1,,63,3,,1,1,3,4,22,1,1,1,,5,13,1,1,,,3,1,,5,1,,1,,,,3,,,,,16,,2,,,1,1,,1,88,,1,,,
408.5,181,--/6190.711/--,--/5399.556/--,,,1,,,,,6,1,1,,4,5,,,,,,,3,1,,1,,,2,,,1,,9,,,,5,,1,,,,,,,,,,,2,,,,,1,1,2,,1,,3,,,,6,,4,,,,,,,,,,,1,,,34,18,7,91,28,1,1,,,,,,60,6,1,,1,1,1,5,,,,,2,33,3,,,,,,,,,,1,,,,1,,,,,,,,,,,,10,,214,,,,,
422.5,803,--/6299.738/--,--/5496.691/--,,,,,2,,,6,,5,,10,2,,1,,,1,,2,4,2,2,2,,,,,5,1,21,,2,,4,3,,1,1,,,,,,2,,,,,1,2,,11,2,33,4,,1,28,,,,3,,2,,2,,,,,,,,,5,,,25,22,4,30,13,24,4,,,,,,29,2,,,1,2,3,10,1,,1,,21,26,,,,,2,3,1,17,1,,1,,,,,,1,,,2,,,,1,,2,,,176,,,,,
438.5,454,--/6424.341/--,--/5607.704/--,,,,,,,,,,,,3,,1,,,,1,,1,1,,2,,,,,,,,7,,,,,1,,1,,,,,,,,,,,,,,,6,4,7,,1,,2,,,,,,,,,,,,,,,1,1,,1,,18,24,27,37,27,20,1,,,,,,3,3,1,,,,2,12,5,,,,,17,2,2,,,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,10,,,,,
474.5,492,--/6704.696/--,--/5857.481/--,,,,,1,,,2,,15,,2,2,,,,,2,,1,2,1,2,2,,,,2,1,1,17,1,1,,18,8,1,8,,4,5,,,,,,,,,,,1,6,5,35,,4,,10,,,,30,2,,,,,,2,,1,,1,1,5,4,,40,28,8,48,11,27,2,,,,,,18,6,1,1,1,4,4,18,,,6,8,17,18,3,1,,,3,,1,5,,,3,,,,1,,,,,1,,,,,,,10,1,132,1,,,,1
490.5,189,--/6829.299/--,--/5968.494/--,,,2,,,,,,,3,,,1,,,,,1,,1,1,,4,2,,1,,,,1,2,,,,4,3,,3,,,48,,,,,,,,,,,,2,,19,,3,,1,,,,214,1,1,,,,,,,,,,,2,1,,88,69,7,23,12,45,2,,,,,,9,,1,,4,6,,6,,,2,5,13,48,5,4,7,,,,,7,,,3,,,,,,,,2,3,,,,,,,69,,42,,1,,,
506.5,130,--/6953.901/--,--/6079.506/--,,1,,,13,,3,1,,1,,,2,,,1,,,,,,,1,,,,,1,,,2,,,,6,1,,4,,,1,,,,,,,,,,1,,2,3,20,1,11,,2,,,,,,,,,,,,,,1,,2,5,5,,18,31,28,19,8,18,,,,,,,10,,1,,2,2,,10,,,,9,9,10,1,4,,,2,4,,11,1,,,,,,,,,,1,,,,,1,,,2,1,3,,,,,
522.5,386,--/7078.504/--,--/6190.519/--,,1,,,8,,,6,1,12,,6,,,,,,,,1,,2,,,,1,,,,,1,,,,5,4,2,2,,,,,,,,,,,,1,,,5,,9,,16,,3,,,,2,6,,,,,1,,,,,,,,,,15,15,41,11,6,18,,,,,,,86,3,,,,5,4,12,,,3,1,3,41,4,2,,,,2,,3,,3,,,1,,,,,,,1,,,,,,1,,,9,,,,,
538.5,71,--/7203.106/--,--/6301.531/--,,,,,2,,,2,,3,2,,,,,5,1,,,,1,1,3,,,,,,,21,2,,,,14,4,,1,,,3,,,,,,,,,2,,,3,,6,,17,,1,,,,3,39,,,,,1,,,,,1,,2,,,58,36,2,8,,38,1,,,,,,36,2,,,,1,1,8,1,,4,1,14,18,2,,,,3,,,2,,1,5,,,,10,,,,,4,,1,,,1,,,,4,,,,,
553.5,94,--/7511.113/--,--/6635.6/--,,,,,2,,,3,,6,,,,,,1,,,,,1,2,,1,,,,,,6,,,,,7,4,,2,,,11,,,,,,,,,,,,13,1,4,1,11,,2,,,,2,6,,,,1,,1,,1,,,,,,,53,60,2,7,1,95,1,,,,,2,48,3,,,1,7,1,13,,,17,3,15,51,1,1,,,1,2,,7,2,3,2,,1,,,,1,,,,,,,,,,,1,,1,,,,
568.5,79,--/7825.713/--,--/6977.6/--,,,,,12,1,1,2,,7,,,,,,10,1,,,,,1,,,,,,1,,7,2,1,,,7,1,,1,,,51,,,,,,1,,,8,,,6,,10,1,15,,5,,,,3,3,1,1,,,1,1,,,,,,,,,31,27,,7,1,22,1,,1,,,2,70,5,1,,,15,2,9,1,,7,3,17,71,5,2,,,,3,,4,,4,1,,,,1,,,,,1,,,,,,1,3,3,,,,,,
584.5,527,--/8161.287/--,--/7342.4/--,,,1,,2,,,2,,4,,,4,,,2,,,,,2,1,3,1,,,,1,,4,3,,1,,5,2,1,,,,,,,,,,,,,1,,,7,2,10,2,32,,3,,,,1,1,,,,,,2,,,,,,,,,45,31,12,22,5,34,,,,,,,32,3,,,,4,2,11,,,9,1,10,39,,2,,,,5,1,6,,13,1,,1,,1,,,,,,,2,,,,,,1,,,,,,
604.5,25,--/8580.753/--,--/7798.4/--,,,,,11,,2,,1,1,,,1,,,,,,,,,1,2,,,,,1,,,7,,,,11,3,,,,,4,,,,,,1,,1,,,,3,,20,,7,,4,,,,15,1,,,,,,1,,,,,,,,,66,107,,25,5,3,,,,,,,16,1,,,,,,7,,,2,1,1,25,4,1,,,1,2,,4,,,6,,,,1,,,,,,,,,,,,16,,19,,,,,
620.5,24,--/8839.913/--,--/8062.64/--,,,,,55,,2,2,,1,,,6,,,,,,,,4,,,,1,,,1,1,7,2,,1,,22,9,1,15,,5,,,,,,,,,,,2,,,,14,,5,1,4,,,,1,,,,,,,1,,,,,3,,3,,34,67,1,52,5,4,,,,,,,12,2,,,,,,15,,,,4,2,8,1,1,,,2,2,,3,,,,,,,,,,,1,28,,1,,,,,12,,52,,,,,2
634.5,263,--/8968.956/--,--/8165.249/--,,,5,,6,,1,,,,1,2,15,,,,,,,,5,,1,,1,,,,,6,7,,,,30,11,,12,1,,,1,,,,,,1,,,,,1,,15,,2,,,1,,,,,,,,,,,,,,,,1,3,,37,33,2,138,15,,,,,,,,11,,1,,2,,,7,,,,1,2,10,,,,,2,1,,3,,,,,,,2,,2,,1,3,,17,,,,,4,3,143,,,,,1
660.5,448,--/9208.608/--,--/8355.808/--,,,2,,,,,1,,,,1,17,,,,,,,,1,,,,,,,1,,,3,,1,,4,1,,3,,,,2,,,,,,,,,,,3,2,9,,1,,,,,,,,,,,,,,,,,,,,,,41,23,1,179,16,,,,,,,,4,1,,,1,1,,,,,,,2,4,,,,,1,,,1,,,,,,,9,1,4,,1,,,5,,1,,,8,1,228,,,,,
668.5,611,--/9282.348/--,--/8414.441/--,,,2,,3,,,,,2,,8,4,,,,,,,6,1,,,,,,,,1,1,12,,,,69,24,,32,4,2,,3,,,,,,,,,,,13,,46,6,7,,20,1,,,,1,,,,,,1,,,,,,8,1,,50,21,,22,5,14,1,,,,,,17,,,,1,6,,14,,,,,22,4,,1,,,,1,,6,,,2,,,,11,1,,,,3,,2,2,1,,1,53,,118,,,,,1
676.5,380,--/9356.087/--,--/8473.074/--,,,,,,,,1,,,,6,2,1,1,,,,,7,18,,,,,,,,,,24,1,,,9,6,,10,,,1,11,,,,,,,,,,,17,,80,4,5,,3,,,,,,,,,,,,,,,,1,,,,32,18,2,35,15,8,1,,,,,,11,1,,,,1,,13,,,,,26,22,,2,,,4,7,,21,1,,7,,,,,,,,7,2,,4,,,,1,3,1,291,,,2,,
684.5,344,--/9429.826/--,--/8531.708/--,,,,,2,1,,1,,1,,7,,,1,,,,,1,3,,,,,,,,2,3,13,,,,45,20,,9,,,,1,,,,,,,1,,,,2,2,37,,16,,4,,,,1,19,,,,,,,,,,,,,,,43,7,1,15,5,16,,,,,,,59,8,,,1,6,,20,,,,,33,15,,,,,,,,5,,1,3,,,,2,1,,,1,4,,3,,,,2,2,,41,,,,,2
720.5,758,--/9761.652/--,--/8795.559/--,,2,4,,3,,,1,,3,,6,1,,1,,,,,1,,,,,,,,,1,,54,,,,19,7,,8,,1,1,5,,,,1,,,,,,,3,,10,1,2,,,,,,,,,,,,,,1,,,,,,,,10,5,1,22,22,6,,,,,,,3,,1,,2,2,2,6,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,109,294,,,,,4
755.5,596,--/10084.26/--,--/9052.081/--,,,,,3,,,6,,,8,9,3,,4,,,,,6,,,1,1,,,1,4,,1,22,,,,18,6,,9,,,1,1,,1,,,,3,,,,,1,,12,,5,,1,,,,1,3,,,,,,,,,,,,,,,72,35,4,40,20,20,,,,,,,9,1,,,3,2,,3,2,,,,14,2,,,,,2,1,,3,,,,,,3,2,,,,3,2,,5,3,,,,9,36,281,2,,,,7
770.5,738,--/10222.52/--,--/9162.019/--,,,,,1,,,,,,,,2,1,1,,,,,5,,,,,,,,,,,56,,,,25,12,1,25,2,,,1,,,,,,1,,,,,1,1,13,2,3,,,,,,,1,,,,,,,,,,,,,2,,4,5,,20,16,8,,,,,,,4,,,1,1,1,,5,2,,,1,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,7,15,180,,,,,14
813.5,598,--/10618.87/--,--/9477.174/--,,,,,5,1,,,,,2,3,3,1,,,,,,4,1,,,1,,,,1,,2,16,,,,19,10,,14,,,10,,,,,,,,,,,,3,1,11,,1,,3,,,,4,2,,,,,1,,9,,1,,,1,1,,69,69,,35,16,31,,,,,,,17,,,,,,1,8,1,,,5,8,11,1,1,,,1,1,,1,,,,,1,,,,,,4,4,,5,,1,,,9,7,40,1,,,,4
,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
