Depth,Sample age (C14 BP),Sample age (cal BP),Charcoal>10 µm,Lycopodium spikecounted,Sample quantitymass,Adiantum capillus-venerisspore,Alchemilla,Allium-type,Alnus,Amaranthaceae,Arbutus,Armeria-type,Artemisia,Asphodelus,Asteraceae,Asteroideae,Astragalus-type,Berberis,Betula,Botryococcusspore,Brassicaceae,Bryophyta (trilete)spore,Bupleurum,Caryophyllaceae,Centaurea nigra-type,Cheilanthesspore,Cichorioideae,Cistus,Closteriumfilament/cell,Corylus,Crassulaceae,Cyperaceae,Daphne,Ephedra fragilis-type,Ephedra major subsp. major,Erica arborea,Erodium,Fabaceae,Fallopia convolvulus/F. dumetorum,Fraxinus angustifolia-type,Fungispore,Fungi undiff.spore,Gelasinosporaspore,Genista-type,Helianthemum,Helleborus foetidus,Hypecoum,Indeterminable (unknown)/spore,Juglans regia,Juncus,Juniperus-type,Lamiaceae,Lamiaceae (hexacolpate),Lamiaceae (tricolpate),Liliaceae,Mougeotiaspore,Olea,Ononis-type,Papaver,Paronychia-type,Pedicularis,Phillyrea,Pinus nigra-type,Pinus pinaster,Pistacia,Plantago lanceolata-type,Poaceae,Poaceae (Cerealia),Polyadosporitesspore,Polygala,Polypodiumspore,Primula,Prunus-type,Pseudoschizaeapalynomorph,Pteridium aquilinumspore,Pteridophyta (monolete)spore,Quercus (deciduous),Quercus (evergreen),Rhamnus,Riccia cf. R. sorocarpa (type 165spore,Rubiaceae,Salix,Scabiosa,Sideritis,Spirogyra (psilate)filament/cell,Spirogyra (type 132filament/cell,Taxus,Teucrium,Thalictrum,Typha angustifolia,Ulmus,Unknown (type 128palynomorph,Vitis,Zygnemafilament/cell,Zygnemataceaefilament/cell
4,--/753.6364/--,--/475.6/--,88,16,52,,,,1,4,,,2,,4,2,,11,,,12,12,,4,8,,2,,,,1,15,2,1,,,,,105,58,2,62,1,24,2,1,3,9,2,6,6,38,2,31,,2,1,9,,3,,,303,7,2,14,21,,21,,,1,3,,2,1,10,8,8,,,2,,1,4,,,4,3,3,3,,4,52,123
30,--/2255/--,--/2339.8/--,100,18,31,,,,1,9,,,17,,20,8,,,1,,13,14,,14,,,12,,,1,,8,9,4,,18,,,31,10,8,,,,,,,15,,,4,,,,1,2,,7,,1,,1,248,17,,,36,,10,,,,2,,,2,27,26,4,2,,,1,,33,65,1,,,2,,,,78,131
64,--/3048.861/--,--/3282.2/--,99,35,25,,,,,8,,,24,,23,17,,,,,5,6,,1,,,6,,,,,,1,,7,,,,20,,,,,,1,,,8,,,36,17,3,13,1,,,,,,,,51,,,,110,,,,,,,,,,12,2,,4,1,,1,1,,18,,,,,,19,,,
102,--/5211.25/--,--/5168.9/--,25,29,20,1,,,,,,,13,,,,,,,17,,1,,,,,,,2,,,8,,,,,,,120,38,,19,,,,,,8,,,11,,,,,,,,,,,,175,13,,,26,,8,,,,,,,,3,,,9,,,,,2,,,,,1,,55,,28,69
24,--/1724/--,--/1583.2/--,77,22,32,,,,1,8,,,11,,26,8,,,,6,,12,,,,,18,,,,1,34,,,,34,,,77,14,11,,,,,,,9,,,8,,,,,7,,1,,,,,213,2,,,31,,18,,,,,,,,9,33,,,,,2,,37,39,,,1,2,,24,,211,302
38,--/2638.461/--,--/2666.2/--,85,68,45,,,,,9,,,8,,11,9,,,,,6,10,,,,,2,,1,,,,2,,,,,,8,,,,,,1,,,12,,,6,1,,1,3,,,,,,,,43,,,,73,,7,,,,,,,3,1,1,,14,,,1,,,47,,,,,,26,,,
78,--/3265.063/--,--/3559.3/--,27,31,32,,,,,7,,,23,,60,46,,,,,2,4,1,1,,,14,,2,,,,,,6,,,,14,,,,,,,,,7,,,11,9,3,6,11,,,,,,,,17,1,,,85,,,,,,,,,2,1,2,,13,3,,,,,,,,,,,95,,,
128,--/8370/--,--/9406.9/--,140,118,31,,,,,6,,,14,,12,4,,,,,,,,,,,8,,18,,,,,,2,,,,,,,,,,,,,8,,,7,1,1,,,,,,,,,,19,,,,68,,,,,,,,,,,,,7,,,,,,,,,,,,61,,1,1
22,--/1537.5/--,--/1475/--,66,40,36,,,,,4,,,2,,25,8,,,,,1,2,,,,,17,,,,,17,,,,17,,,59,16,10,2,,,,,,6,,,3,,,,,,,,,,,,170,2,,,18,,21,,,,,,,3,7,18,,,,,,,12,,,,,1,,82,,54,76
50,--/2832.658/--,--/3010.5/--,101,68,46,,,,,9,,,39,,40,31,,,,,11,3,,1,,,9,,,,,,,,11,,,,13,,,,,,3,,,6,,,12,6,3,3,2,,,,,,,,39,,,,69,,,,,,,,,,,,,26,,,1,,,10,,,,,,12,,,
86,--/3377.5/--,--/3710.1/--,14,51,28,,,,,2,,,3,,7,2,,,,3,,1,,,,,5,,,,,,,,,,1,,26,3,,1,,,,,,3,,,,,,,,,,,,,,,107,3,,,21,,,,,,,,,3,3,,,19,,,,,1,,,,,,,86,,18,21
120,--/7970/--,--/8827.7/--,138,130,21,,,,,10,,,50,,21,10,,,,8,9,,,1,,,11,,11,,,,,,20,,,,,6,,2,,,,,,7,,,9,11,,11,1,,,,,,,,26,,,,158,,,,1,,,,,2,,,,3,,,,,,2,,,,,,31,,2,2
