,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,92.5,5.0,1150.5,1226.0,1075.0,C14 date calibrated to calendar years
,127.5,5.0,1470.5,1525.0,1416.0,C14 date calibrated to calendar years
,158.0,4.0,2306.5,2431.0,2182.0,C14 date calibrated to calendar years
