Method [undefined],Depth (cm) [undefined],Thickness [undefined],Material dated [undefined],Sample age (yr BP) [undefined],error [undefined],Lab number [undefined],deltac13 [undefined],note [undefined]
14C,20,4,Organic matter,1618,40,AA50815/PA311,"-18,91",
14C,64,8,Organic matter,2650,100,UQ 1079,(-28),
14C,210,20,Organic matter,4510,100,UQ 1134,"-28,2 +/-0,2",
14C,"296,5",7,Organic matter,5352,44,PA427,"-22,80",
AMS,459,2,Organic matter,7217,50,AA50813/PA309,"-29,6",
14C,504,8,Organic matter,6240,100,UQ 990,"-27,2 +/-0,2",
14C,599,2,Organic matter,9326,115,PA430,"-29,16",
14C,744,8,Organic matter,6860,200,UQ 1086,-28,
14C,799,2,Organic matter,3138,47,PA431,"-31,03",contaminated
14C,810,20,Organic matter,9380,300,UQ 1284,-28,
14C,"1037,5",15,Organic matter,8720,200,UQ 1136,"-28,9 +/-0,2",
AMS,1069,2,Organic matter,10848,83,AA50817/PA313,"-22,5",
