labID,"	age","	error","	depth","	cc",delta.R,delta.STD
AA50815/PA311,1618,40,20,1,-18.91,0
UQ 1079,2650,100,64,1,-28,0
UQ 1134,4510,100,210,1,-28.2,0.2
PA427,5352,44,"296,5",1,-22.8,0
AA50813/PA309,7217,50,459,1,-29.6,0
UQ 990,6240,100,504,1,-27.2,0.2
PA430,9326,115,599,1,-29.16,0
UQ 1086,6860,200,744,1,-28,0
PA431,3138,47,799,1,-31.03,0
UQ 1284,9380,300,810,1,-28,0
UQ 1136,8720,200,"1037,5",1,-28.9,0.2
AA50817/PA313,10848,83,1069,1,-22.5,0
