,"descript [undefined]","depthtopcm [cm]","depthbotcm [cm]","loboundary [undefined]"
,Brown peat with fragment,0.0,20.0,Abrupt
,Sand,20.0,30.0,Abrupt
,Peat with vegetal debris,30.0,210.0,Abrupt
,Clay and peat,210.0,400.0,Abrupt
,Amorphus peat,400.0,710.0,Abrupt
,Clay and peat,710.0,1049.0,Abrupt
