Depth,Radiocarbon years BP,Giesecke et al. 2014 (MADCAP) Calibrated radiocarbon years BP,Abies,Acer,Aesculus,Alnus,Amaranthaceae,Anemone,Anthericum-type,Apiaceae,Arctium/Jurinea,Armeria/Limonium,Artemisia,Asparagus-type,Asphodeline,Asphodelus fistulosus-type,Asteroideae,Betula,Botrychium spore,Brassica-type,Butomus umbellatus,Capsella-type,Carpinus betulus,Carthamus,Carya,Caryophyllaceae,Cedrus,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cheilanthes spore,Chrozophora,Cichorioideae,Cirsium/Gundelia,Convolvulus,Cornus sanguinea,Corylus,Cyperaceae,Datisca,Delphinium-type,Dipsacus-type,Dryopteris-type spore,Elaeagnus,Ephedra distachya-type,Ephedra fragilis-type,Equisetum spore,Ericaceae,Erodium,Euphorbia,Fabaceae,Fagopyrum,Fagus,Fraxinus ornus,Galium-type,Geranium,Helianthemum,Hibiscus,Humulus/Cannabis,Hypericum perforatum-type,Iris,Isoetes spore,Jasione-type,Juglans,Juniperus,Knautia,Linum,Lomelosia rotata-type,Lysimachia,Maianthemum,Malva,Matricaria-type,Myrica,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nigella,Noaea-type,Nymphaea,Olea,Onopordum-type,Ostrya/Carpinus orientalis,Phillyrea,Picea,Pinus,Plantago lanceolata-type,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodium spore,Populus,Potentilla-type,Pseudopediastrum boryanum colony,Pteridium spore,Pteris spore,Quercus coccifera-type,Quercus pubescens-type,Ranunculus repens-type,Rhus,Rumex acetosa-type,Rumex hydrolapathum,Rumex undiff.,Salix,Sanguisorba-type,Senecio-type,Solanum dulcamara,Sparganium-type,Spergula,Sphagnum spore,Taxus,Thalictrum,Thelypteris palustris spore,Thymus/Mentha,Tilia,Turgenia-type,Typha latifolia,Ulmus,Unknown spore,Urtica,Utricularia,Valerianella,Vicia-type,Vitis
10,--/143/--,615/147/-307,,,,,111,,5,1,,,2,,,,18,,,8,13,4,,,,6,29,2,,50,,,42,1,,,,200,,1,,10,,,,,,,,,,1,,1,,,,,,,,,,2,,,,1,2,,1,,,1,,,2,1,,,,,192,,,40,7,1,,,,1,,,5,4,16,,5,,,,,,,79,,,,,1,,,,,,1,,,,,
25,--/358/--,792/369/-46,,,,,190,,,1,,,5,,,,21,,,1,,2,,,1,4,16,,,96,,,78,,,,,240,,,,2,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,158,1,,47,4,,,,,,,,3,1,3,,,,,,,,,93,,,,,,,,1,,1,1,,,,,
40,--/573/--,970/591/214,1,,,1,179,,,1,,,5,,,,65,,,,1,,,,,2,49,,,233,,,240,,,,,42,,,,10,,,,,,,,1,,,,2,,,,,,,,,,2,,,,,,1,1,,,,,,,,,,,,283,,,37,1,,,,1,,,,1,1,,,,,,,,,,33,,,,,,,,,,,,,,,,
60,--/859/--,1210/887/557,3,,,1,202,,,2,,,6,,,,68,1,,1,1,,,,3,2,119,,1,305,,,188,,3,,,55,,1,,21,4,,,,,,,,,,,3,,,,,,1,,,,1,,,2,,,,,,,,,,,,,1,,1,402,1,,71,10,2,,,,,,1,1,,,,,,,,,,,56,,,,,,,,,,1,1,,,,,
80,--/1146/--,1457/1183/898,6,,,3,25,,,5,,,20,,,,75,5,,,,,,,11,1,282,,1,145,,,100,,,,4,106,,,,78,21,2,2,1,,,1,1,,1,,1,,2,,,,,,,3,,,,5,,,,2,,,,,,1,,,1,,2,553,1,,19,8,2,,,,,2,1,3,,,,,,,,,,,110,,,,,,,,,,2,1,,1,,,
95,--/1360/--,1648/1405/1151,5,,,5,34,,,3,1,,13,,,,56,1,,1,3,,,,4,3,143,,1,66,1,,90,,,,2,103,,,,23,10,,1,,1,2,,,,1,,,,,,,,,,,2,,,1,3,,,,4,,,,,1,3,,,2,,1,317,1,,15,2,4,,,,,2,1,6,1,5,,,,,1,,,,84,,,,,,,,1,1,2,,,,,,
110,--/1575/--,1844/1628/1402,13,,,2,13,,,1,,1,38,,,,24,,,6,2,,,,12,2,289,,2,68,,,37,,,,3,351,,,,8,4,,,,,,,,,1,3,1,,8,,,1,,,,13,1,,,4,,1,,1,,,2,,,5,,,1,,,375,1,,26,4,2,,,,,1,,9,5,6,1,,,,,,,,100,,,,,,,1,1,,2,1,,,,,1
130,--/1861/--,2111/1924/1724,2,,,5,17,,,10,,1,66,,3,1,126,,,12,8,,,1,6,26,89,,4,181,,,109,6,1,2,,177,,,,22,2,,2,,,2,,2,,,,2,1,3,,,,,,,7,,,,4,,,,8,,,7,,,3,,,,,,302,,,49,32,8,,,,,3,,4,1,89,,,,,,,1,,151,,,,,,2,,,,3,,,,,,2
140,--/2005/--,2247/2072/1880,2,,,3,36,1,,6,,,26,,3,2,84,1,,7,3,,,1,2,10,143,,,111,,,139,7,,,1,1414,,,2,26,9,1,,,,,,,,1,,2,,,,,,,,,3,1,,,,,,,2,,,19,,,16,,,,,,257,,,83,17,16,1,,,,3,,6,6,28,,,,,,,,,111,,,,,,,,,,3,3,,,1,,
150,--/2148/--,2389/2220/2037,2,,,2,47,,,5,,,66,,,,89,,,,,,,1,,11,82,,,166,,,104,2,,,1,155,,2,1,23,1,1,3,,,2,3,5,,,,,,,1,,,,,,1,1,,,1,,,,2,,,2,,,,,,,1,,268,1,,25,13,10,,,,,1,,,2,5,,1,,,1,,,,31,,,,,,2,,,,1,,,,,,
160,--/2291/--,2533/2368/2185,3,,,2,25,,,4,,,15,,,,32,,,2,,,,1,2,3,115,,,45,,,54,1,,,2,129,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,251,,,19,4,1,,,,,2,1,5,2,5,,,,,,,,,32,,,,,,,,,,,1,,,,,
170,--/2434/--,2685/2516/2326,1,,,1,69,,,3,,,14,,,,68,,,,,,,,,10,89,,,71,,,61,3,,,,229,,,,21,,2,1,,,,,,,,,2,,,,,,1,,,,1,,,,,,,1,,,4,,,,,,,,,307,,,24,8,,,,,,,,1,1,1,,,,,1,,,,138,,,,,,,,,,,,,,,,
190,--/2721/--,3006/2804/2587,,1,1,2,102,,,1,,,2,,,,29,1,,1,,,,,,,19,2,,36,,,47,,,,,88,,,1,8,,,,,,,,,,,,4,,,,1,,1,,,,2,,,1,,,,1,,,8,,,,,,,,,116,,,19,3,2,,,,,,,,1,,,,,,,,,,224,,,,,,,,,2,1,,,,,,
210,--/3007/--,3349/3100/2838,1,,,1,89,,,3,,,29,,,,115,,,1,,,,,,3,42,,,150,,,70,,,,,101,,,,5,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,1,,,,,,,,,203,,,46,3,2,,,,,,,2,1,,,,,,,,,,93,,,,1,,,,,1,,,,,,,
230,--/3293/--,3699/3396/3082,,,3,4,132,,,6,,,54,1,,,272,,,,,1,,1,,1,8,,,593,,,92,,,,,11,,,1,3,,,1,,9,,,1,,,,2,,,,1,,,,,,4,,,1,,,,1,,,1,,,,,,3,,,117,,,73,5,1,,,1,,1,,1,3,,,1,,,,,1,,7,,,,,,,,,,1,,1,,,,
250,--/3580/--,4052/3693/3324,1,,1,1,196,,,12,,,60,,,,120,,,,,,,,,1,12,,1,459,,,38,,,,,4,,,,,,2,,,,,,5,,,,1,,,,1,,,,,1,3,,,3,,,,,,,,1,,,1,,2,,,32,,,54,5,,,,,,,,,,,,,,,1,,1,,4,,,1,,,,,,,,,1,,1,,
270,--/3866/--,4408/3989/3564,,,,3,180,,,5,,,60,,,,345,1,,1,,,,,,4,17,,1,470,,,48,1,,,,8,,,,1,,1,,,,1,,2,,,,,,,,,,,,,,1,,,2,,,,2,,,,1,,,,,1,,,93,,,94,9,4,,,,,,,2,3,,,2,,,,,,,7,,,,,,,1,,,,1,,,,,
290,--/4152/--,4764/4285/3802,,,,1,160,,,3,,,61,,,,245,,,,,,,1,1,,7,1,,217,,,22,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,2,,,,,,,,,,,,,,,,10,1,,45,3,1,,,,,,,1,4,,,,,,,,,,7,,,,,,,1,,,1,,,,,,
310,--/4439/--,5119/4581/4039,,,,2,272,,,1,,,215,,,,545,2,,,1,,,,1,2,15,,3,209,,1,44,,,,1,29,,,,2,,5,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,,1,,,75,1,,52,9,3,,,,,,,4,2,2,,2,,,,,,,14,,,,,,1,,,,3,2,,,,,
320,--/4582/--,5296/4729/4156,,,,,116,,,6,,1,53,,,,280,2,,,,,1,2,1,,26,,5,211,,,30,1,,,,3,,,,1,,2,,,,,,,,,,1,,1,,1,,,,,,1,,,2,,,,1,,,,,,,,1,1,,,47,,,18,12,2,,,,,1,,2,3,,,,,,,,,,4,,,,,,,,,,,1,,,2,,
330,--/4725/--,5474/4877/4274,2,,,2,66,,,9,,,61,1,,,19,2,,1,,,1,1,1,2,23,2,1,38,,,27,3,,,1,16,,,1,2,,1,1,,,,,1,,,,20,,,,6,,,,,2,4,,,2,,,,5,,,,1,,,2,,2,7,,108,1,,80,10,4,,,,,,,6,4,,,5,,1,,1,,,8,1,,,,1,3,,,,1,1,1,,1,,7
340,--/4868/--,5652/5025/4391,,,,1,40,,,8,,,38,,,,169,,,,,,,,1,,32,2,2,105,,,25,,,,,29,,,,5,,,,,,,,1,,,,2,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,65,,,57,7,7,,,,,1,,6,3,2,,1,,,,,1,,14,,,,,,,,,,,2,1,,2,,
350,--/5012/--,5829/5173/4508,1,,,1,76,,,2,,,36,,,,188,,1,,,,,,,,23,,,106,,,27,,,,1,8,,,,1,,1,1,,,,,,,,,2,,,,,,,,1,,,,,7,,,1,1,,,,,,,,,,,,45,,,47,4,2,,,,,1,1,5,,,,,,1,,,,,4,,,,,,,,,,,,,,8,,
370,--/5298/--,6185/5469/4742,1,,,5,75,,,2,,,31,,,,150,3,,,,,,2,2,1,16,1,2,90,,,23,,,,,1,,,,1,,3,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,28,,,27,3,,1,,,,,,3,,1,,,1,,,,,,3,,,,,,,,,,,,,,,,
380,--/5441/--,6363/5617/4859,1,,,3,28,,,,,,18,,,,71,,1,1,,,,1,2,,61,,,51,,,20,,,,,2,,,,1,,2,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,1,,,72,1,1,37,3,1,,1,,,1,2,3,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,
390,--/5584/--,6541/5765/4976,,,1,3,5,,,,,,5,,,,8,1,,,1,,,,6,1,51,,,3,,,25,,,,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,86,2,,3,3,,,,,,,,,,,,,,,,,2,,1,,1,1,,,,,,,,,,,,1,
400,--/5728/--,6719/5913/5093,1,1,,1,7,,,,,,4,,,,2,,1,,,,,,2,,48,,,3,,,15,,,,,1,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2,,,1,,,,,,1,,,21,,,5,2,1,,1,,,,,1,,,,1,,,1,,,1,,,1,,1,,,,,,3,,1,,,,
