"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
630415,Carbon-14,Radiocarbon years BP,117.25,11,1096,52,52,false,,KIA 16226,pollen concentrate,
630416,Carbon-14,Radiocarbon years BP,213.75,7,1167,35,35,false,,KIA 16227,pollen concentrate,
630418,Carbon-14,Radiocarbon years BP,459.5,6,4394,81,81,false,,KIA 9915,pollen concentrate,
630419,Carbon-14,Radiocarbon years BP,469.5,10,3940,45,45,false,,KIA 17844,pollen concentrate,
630417,Carbon-14,Radiocarbon years BP,308.5,10,1804,36,36,false,,KIA 16228,pollen concentrate,
