labID,"	age","	error","	depth","	cc"
AA-30926,255,70,8.5,1
AA-30925,1040,45,111.5,1
AA-30924,2150,45,189.5,1
AA-30923,4000,60,284.5,1
AA-30922,4765,50,334.5,1
AA-30921,8965,80,539.5,1
AA-30920,10025,70,668.5,1
