,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,Depth (cm),thickness,age,ageup,agelo,rationale
,30.0,,525.0,650.0,400.0,sediment stratigraphic date
,150.0,,1400.0,1550.0,1250.0,sediment stratigraphic date
,220.0,,3500.0,3700.0,3300.0,sediment stratigraphic date
,240.0,,4000.0,4200.0,3800.0,sediment stratigraphic date
,250.0,,4280.0,4340.0,4220.0,uncorrected radiocarbon date
,400.0,,7100.0,7400.0,6800.0,sediment stratigraphic date
,570.0,,8000.0,8300.0,7700.0,sediment stratigraphic date
,700.0,,8750.0,8950.0,8550.0,uncorrected radiocarbon date
,775.0,,9000.0,9200.0,8800.0,uncorrected radiocarbon date
