,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,30.0,565,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,60.0,759.625,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,90.0,954.25,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,120.0,1148.875,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,150.0,1343.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,170.0,2040.214,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,180.0,2388.572,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,210.0,3433.643,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,230.0,4141,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,240.0,4500,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,260.0,5047.9,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,270.0,5252.3,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,280.0,5456.7,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,290.0,5661.1,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,300.0,5865.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,310.0,6069.9,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,330.0,6478.7,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,350.0,6887.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,360.0,7091.9,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,370.0,7296.3,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,380.0,7500.7,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,390.0,7705.1,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,400.0,7909.5,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,410.0,7967.912,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,420.0,8026.324,Calendar Chron,Lewden D.,2006-02-16,Linear interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
