,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","name [undefined]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,5.0,0,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,17.0,162.2005,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,35.0,588.1364,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,50.0,943.0829,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,75.0,1534.66,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,100.0,2126.238,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,112.0,2410.195,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,125.0,2661.669,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,150.0,2972.515,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,175.0,3283.36,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,200.0,3594.206,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,225.0,3905.052,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,250.0,4215.897,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,275.0,4526.743,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,300.0,4837.588,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,325.0,5148.434,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,350.0,5459.279,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,375.0,5770.125,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,400.0,6080.971,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,425.0,6391.816,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,450.0,6702.662,Calendar Chron,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,475.0,0,,,,,
,500.0,0,,,,,
,525.0,0,,,,,
,550.0,0,,,,,
,575.0,0,,,,,
,600.0,0,,,,,
,612.0,0,,,,,
,627.0,0,,,,,
,650.0,0,,,,,
