,"descript [undefined]","depthtopcm [cm]","depthbotcm [cm]","loboundary [undefined]"
,Silty clayer,0.0,355.0,Abrupt
,Sand and shell,355.0,600.0,Abrupt
,Coarse-grained Sand,600.0,650.0,Abrupt
