,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,26.5,7.0,390.0,550.0,260.0,uncorrected radiocarbon date
,120.0,,2500.0,2600.0,2400.0,uncorrected radiocarbon date
,460.0,5.0,6000.0,6100.0,5900.0,uncorrected radiocarbon date
