Depth,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Abutilon,Acer,Acorus calamus,Adonis,Alisma,Allium,Alnus,Amaranthaceae,Apiaceae,Aquilegia-type,Armeria/Limonium,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus albus-type,Asteroideae,Azollaspore,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus umbellatus,Buxus,Calligonum,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cyanus-type,Centaurea jacea-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea undiff.,Cichorioideae,Cirsium/Gundelia,Cistaceae,Cistus,Cladium mariscus,Clematis-type,Colchicum,Convolvulus,Cornus,Corylus,Crataegus-type,Cyperaceae,Delphinium-type,Dipsacoideae,Dipsacus-type,Dryopteris-typespore,Echinops,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Erodium,Euphorbia,Fabaceae,Fagus,Fallopia convolvulus-type,Filipendula,Fraxinus,Fraxinus excelsior,Fraxinus ornus,Galium-type,Genista-type,Geraniaceae,Geranium,Geum-type,Hedera,Helianthemum,Helleborus,Herniaria-type,Hippophaë,Hippuris,Humulus/Cannabis,Hypericum perforatum-type,Ilex,Isoëtesspore,Juglans,Juniperus,Juniperus sabina,Knautia,Lamiaceae,Lemna,Leontice leontopetalum,Liliaceae,Linum,Lonicera,Lotus-type,Lysimachia,Lythrum,Malva,Matricaria-type,Matthiola,Menyanthes trifoliata,Mercurialis,Monactinus simplexcolony,Muscari,Myosotis,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nigella,Noaea-type,Nuphar,Nymphaea,Nymphoides,Olea,Oleaceae,Onobrychis-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pediastrum divergenscolony,Pediastrum duplexcolony,Pediastrum longicornecolony,Persicaria amphibia,Persicaria maculosa-type,Phillyrea angustifolia,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pseudopediastrum boryanumcolony,Pseudopediastrum brevicornecolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex,Quercus robur-type,Ranunculaceae,Ranunculus,Ranunculus acris,Ranunculus circinatus,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Rumex patientia var. kurdicus,Sagittaria,Salix,Salviniaspore,Sambucus nigra-type,Saxifraga oppositifolia,Saxifraga rotundifolia,Scabiosa,Scilla-type,Scorzonera-type,Scrophularia/Verbascum,Senecio-type,Solanum dulcamara,Sparganium-type,Spergularia-type,Sphagnumspore,Stachys-type,Stratiotes,Succisa,Symphytum-type,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium pratense,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Utricularia,Valeriana,Viburnum-type,Vicia-type,Viscum,Vitis,Xanthium,cf. Lycopodiumspore
945,--/40101/--,--/40109/--,46636/45003/43533,9,,1,,,,,4,36,3,,,95,,,11,,7,,,5,,,,,,,,12,6,5,,,,,1,,2,,,,1,,,,,11,,72,,,,2,,6,2,,,,,,,,,,,1,,2,,,,,,,1,,,,,,,,,4,,,,,,,,,,,1,,9,,,,47,,,,4,,,,,,,,,,6,,,,20,5,,3,,,176,,,1,,,,3,,154,2,2,,,,,,39,7,3,,,306,,1,,,,,,,1,,1,6,,,,1,,,,,,,,,,,29,,,,,,,,,,,,1,,,2,4,11,1,,,,,,,,
955,--/40545/--,--/40555/--,47152/45494/44001,21,,3,,,,,7,33,1,,,77,,,5,,3,,,4,,,,,,,,,19,5,,,,,,,5,,,,,,,,,22,,28,,,,13,,3,2,,,,,,,7,,,,,,3,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,3,,,,,,,,,,4,,,,3,4,,1,,,261,,,1,1,3,,,,67,1,,,,1,,,,,,1,,338,,,,,,,,,,,,2,,,,1,,,,,,,,,,,6,,,,,,,,,,,,1,,,,9,11,,,,,,,,,
960,--/40766/--,--/40777/--,47410/45740/44235,8,,2,,,1,,7,62,6,,,117,9,,10,,6,,,8,,,,,,,,10,4,9,,,,,3,,1,,,,1,,,,1,15,,58,,,,3,,3,3,,,,,,,1,,1,,,,3,,1,,,,,,,,,1,,,,,7,,,,,,,,,,,,,7,,,,42,,,,2,,,,,,,,,,2,,,,16,5,,4,,,193,,,,,,,6,,188,7,,,,1,,,43,,,,1,299,2,,,,,,1,,,,,4,,,,1,,,,,,,,,,,20,,,,,,,,,4,,,,,,,7,17,,,,,,,,,
970,--/41210/--,--/41223/--,47925/46231/44702,2,,5,,,,,7,101,9,,,257,,,12,,10,,,24,,,,,,,,,11,10,,,,,6,,3,6,,,3,,,,,5,,106,,,,9,,9,8,,,,,,,3,1,,,,,1,,,,,,2,,1,3,,,,,,,4,,,,,,,,,,,,,14,,,,,,,,26,,,,,,,,,,1,,,,23,2,,9,,,231,,,3,,2,,,,472,5,3,,,1,,,24,,,,,318,,,,,4,,,,,,,14,,1,,,,,,,,,,,,,67,,,,,,,,,2,2,,2,,2,1,7,16,,,,,,,,,
980,--/41654/--,--/41668/--,48441/46722/45170,1,,3,,,,,3,66,10,,,221,,,10,,8,,,2,,,1,,,,,,4,3,,,,,4,,1,1,,,2,,,,,6,,62,,,,4,,14,4,,,,,,,2,,,,,,3,,,,,,,,,2,,,,,,,1,1,,,,,2,,,,,,,22,,,,,,,2,6,,,,,,,,,,,,,,14,6,,5,,,35,,,1,,4,1,1,,158,8,4,,,,5,,44,,,,1,192,,,,,2,,,,,,,8,,,,,,,,,,,,,1,,6,,,,,,,,,5,,2,1,,,,7,8,,,,,,,,,
990,--/42098/--,--/42114/--,48956/47213/45636,11,,1,,,,,3,29,1,,,48,1,,9,,2,,,1,,,,,,,,,7,13,,,,1,3,,7,,,,,,,,1,9,,9,,,,8,,5,7,,,,,1,,4,,,,,1,3,,,,,,1,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,1,,4,,,288,,,,,,,2,,92,6,,,,,,,4,,,,2,399,,,,,,,1,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,9,2,,,,,,,,,
1000,--/42542/--,--/42559/--,49470/47704/46102,10,,1,,,,,3,21,1,,,52,,,4,,1,,,1,,,,,,,,1,,5,,,,,,,1,1,,,,,,,,5,,9,,,,2,,4,4,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,,142,,,,,1,,,,51,2,2,,,,,,1,,,,,218,,,,,,,,,,,,4,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,5,12,,,,,,,,,
1010,--/42985/--,--/43004/--,49986/48195/46569,3,,1,,,,,2,62,1,,,71,6,,8,,2,,,,,,,,,,,2,,3,,,,,2,,7,,,,,,,,,3,,43,1,,,,,1,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,6,9,1,2,,,138,,2,,,,,5,1,160,,4,,,4,,,15,,,,,243,,,,,,,1,,1,,,7,,,,,,,,,,,,,,,15,,,,,,,,,1,,,,,,,3,7,,,,,,,,,
1020,--/43429/--,--/43450/--,50502/48685/47037,2,,1,,,1,,9,60,6,,,173,2,,13,,3,,,1,,,,,,,,2,,6,,,,,4,,3,,,,,1,,,,4,,45,,,,5,,8,3,,,,,,2,,,,,,,3,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,11,,,,,,,,6,,,,,,,,,,,,,,4,1,,9,,,71,,,1,,,,,,160,1,5,,,6,,,7,,,,1,288,,,,,,3,,,,1,,14,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,1,3,6,21,,,,,,,,,
1030,--/43873/--,--/43895/--,51017/49176/47504,1,,,,,,,5,40,2,,,108,,,12,,4,,,4,,,,,,,,,1,5,,,,,4,,2,,,,,,,,,2,,33,,,,1,,14,10,,,,,1,1,,,,,,,3,,,,,,1,,,,,,,,,,12,,,,,,,,,,,,,6,,,,,,,,5,,,,,,,,,,,,,,3,,1,1,,,58,,,,,3,,,,85,,7,,,,,,5,,,,,217,,,,,,1,,,,,,4,,,,,,,,,,,,,,,13,,,,,,,,,1,,,,,,,2,10,,,1,,,,,,
1040,--/44317/--,--/44340/--,51531/49667/47970,2,,,,,1,,4,43,5,,,110,4,,23,,4,,,,,,,,1,,,,,7,,,,,3,,4,,,,,,,,,,,66,,,,1,,7,6,,,,,1,,,,,,,,5,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,11,,,,,,,,11,,,,,,,,,,1,,,,23,1,1,2,,,132,,,,,,,1,,175,3,2,,,1,,,37,,,,,210,,,,,1,2,,,,,1,11,,,,1,,,,,,,,,,,19,,,,,,,,,3,,,1,,,,2,4,,,,,,,,,
1050,--/44760/--,--/44786/--,52047/50158/48438,4,,,,,,,4,72,2,,,99,,,7,,2,,,1,,,,,,,,,,2,,,,,5,,6,2,,,,,,,,1,,24,,,,5,,4,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,45,,,2,,,,,,115,,3,,,1,,,4,,,,,252,,,,,,,,,,,,1,,,,,,,,,,,,,,,15,,,,,,,,,1,,1,,,,,1,45,,,,,,,,,
1060,--/45204/--,--/45231/--,52562/50649/48905,3,,,,,,,7,99,9,,,242,7,,35,,10,,,2,,1,,,,,,2,,6,,,,,14,,13,,,,,,,,2,4,,97,,,,3,,7,5,,,,,2,1,1,,,,,,12,,,,,,,,,,,,,,,,19,,,,,,1,,,,,,,3,,,,,,,,3,,,,,,,,,,,,,,13,3,,11,,,42,,,,,,,2,,320,5,12,,,6,2,,11,,,,,220,5,,,,,,,,,,1,16,,,,1,,,,,,,,,,,36,,,,,,,,,1,,,,,,1,3,28,,,,,,,,,
1070,--/45648/--,--/45676/--,53077/51140/49372,5,,,,,,,4,83,6,,,198,,,9,,4,1,,,,,,,,,,1,1,4,,,,,3,,6,1,,,,,,,,2,,144,,,,13,,6,2,1,,1,,,,,,,,,,6,,,,,,,,,2,,,,,,,8,,,,,,,,,,,,,19,,,,,,,,14,,,,,,,,,,,,,1,23,8,2,19,,,51,,,,,1,,,,210,,9,1,,,1,,24,3,,,3,198,4,,,,2,,,,,,,38,,,,1,,,,,,,,,,,117,,,,,,,,,1,,,1,,,10,3,11,,,,,,,,,
1080,--/46092/--,--/46122/--,53593/51631/49840,4,,2,,,3,,2,130,5,,,191,3,,35,,4,,,,,,,,,,,4,3,,,,,,4,,,,,,,,,,,1,,162,,,,8,,3,3,,,,,,,2,,,,,,7,,,,,,1,,,1,,,,,,,5,,,,,,,,,,,,,28,,,,,,,,24,,,,,,,,,,2,,,,31,,,3,,,38,,,,,,,,,146,5,10,1,,,,,105,,,,,85,4,,,2,,6,,,,,,3,,,,1,,,,,,,,,,,353,,,,,,,,,1,,,,,,,,17,,,,,2,,,,
1090,--/46536/--,--/46567/--,54108/52122/50307,12,,1,,,3,,4,183,5,,,312,2,,62,,8,,,,,,,,,,,33,8,5,,,,1,10,,1,,,,7,,,,,3,,353,,,,19,,6,3,1,,,,,,,,,,,,6,,,,,,1,,,4,,,,,,,14,,,,,,,,,,,,,46,1,,,,,,,37,,,,1,,,,,,,,,,89,1,,8,,,83,,,,,,,2,,151,8,11,,,,,,182,,1,,,175,3,,1,5,,1,1,,,,,7,,,,,,,,,,,,,,,316,,,,,,,,,1,,,,,,2,2,21,1,1,,,,,,,
1100,--/46979/--,--/47012/--,54624/52613/50774,5,,,,,,,2,64,5,,,194,1,,25,,5,,,,,,,,,,,,2,1,,,,,1,,1,,,,,,,,,4,,95,,,,18,,1,4,,2,,,,,,,,,,,3,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,9,,,,,,,2,17,,,,,,,,,,,,,2,31,2,1,,,,42,,,,,,,1,,83,2,5,,,,,,36,,,,,52,,,,5,,,1,,,,,4,,,,,,,,,,,,,,,396,,,,,,,,,3,,,1,,,1,,19,,,,,,,,,
1110,--/47423/--,--/47458/--,55138/53104/51240,10,,,,,2,,5,105,11,,,303,3,,35,,2,,,,,,,,,,,12,1,5,,1,,,12,,3,,,,,,,,,1,,216,,,,14,,2,5,,,,,2,2,1,,,,,,8,,,,,,,,,1,,,,,,,8,,,,,,1,,1,,,,,27,,,1,,,,,73,,,,,,,,,1,1,,,,39,3,2,5,,,42,,,1,,,,,,200,5,12,,,,,,113,,1,,,146,,,,5,,1,,,,,,6,,,,,,,,,,,,,,,792,,,,,,,,,3,,2,1,,,2,7,7,,,,,,,1,,
1116,--/47689/--,--/47725/--,55447/53399/51520,11,,,,,2,,1,99,8,,,226,1,,16,,9,,,1,,,,,1,,,6,6,4,,,,,10,,4,,,,1,,,,,4,,305,,,,8,,,1,,,,,,1,1,,,,,,6,,1,,,,,,,1,,,,,,,9,,,,,,,,,,,,,22,,,,,,,,36,,,,1,,,,,,3,,,,135,1,,4,,,70,,,,,,,1,,319,5,11,,,,,,293,,4,,3,107,,,,7,,4,1,,,,,10,1,,,1,,,,,,,,,,,661,,,,,,,,,1,,2,1,,,2,5,40,,,,,,,,,
1130,--/48311/--,--/48349/--,56168/54086/52174,6,,,,,1,,,138,10,,,296,,,22,,8,,,,,,,,,,,20,8,1,,,,,9,,3,6,,,,,,,,1,,318,,,,10,,4,3,,,1,,,1,4,8,,,,,12,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,54,,,,,,,1,12,,,,,,,,,,,,,,27,4,,4,,,67,,,1,,1,,,,328,1,16,,,,,,267,,1,,1,81,4,8,,2,,,,,,,,5,,,,,,,,,,,,,,,310,,,,,,,,,5,1,,1,,,1,1,27,,1,,,,,,,
1140,--/48755/--,--/48794/--,56684/54577/52641,1,,1,,,,,1,109,10,,,171,1,,51,,5,,,,,1,,,,,,4,3,1,,,,,12,,3,,,,1,,,,,1,,200,,,,12,,1,1,,,,,,,,,,,,,6,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,16,,,,,,,,8,,,,,,,,,,,,,,12,,,12,,,26,,,,,,,4,,249,6,8,,,,,,50,,2,,,71,,,,11,,4,,,,,,7,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,5,32,,,,,,,,,
1150,--/49198/--,--/49239/--,57198/55068/53106,3,,1,,,1,,2,69,10,,,212,,,46,,9,,,,,,,,,,,8,11,,,,,,7,,4,,,,6,,,,,1,,182,,,,17,,2,2,,,,,,,1,,,,,,4,,1,,,,,,,1,,,,,,,2,,,,,,,,,,,,,20,,,,,,,,3,,,,,,,,,,,,,,14,,,7,,,45,,,,,,,2,,168,6,3,,,,1,,76,,2,,,54,,1,,1,,3,,,,,,3,,,,1,,,,,,,,,,,86,,,,,,,,,2,,,1,,,2,3,36,,,,,,,,,
1165,--/49864/--,--/49907/--,57971/55804/53806,10,,,,,,,4,144,4,,,294,,,38,,13,,,2,,,,,,,,,4,1,,,,,10,,3,,,,,,,,,3,,395,,,,45,,3,,1,4,,,,,,,,,,,10,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,16,,,,,,,2,9,,,,,,,,,,1,,,,12,,8,9,,,162,,,3,,1,1,2,,239,1,2,,,,,,97,,,,,137,,,,,,,,,,,,5,,,,,,,,,,,,,,,122,,,,,,,,,1,,1,1,,,2,3,40,,,,,,,,,
