Depth,EPDRadiocarbon years BP,FossilvaRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Abutilon,Acer,Acorus calamus,Adonis,Alisma,Allium,Alnus,Amaranthaceae,Apiaceae,Aquilegia-type,Armeria/Limonium,Artemisia herba-alba-type,Artemisia vulgaris-type,Asphodelus albus-type,Asteroideae,Azollaspore,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus umbellatus,Buxus,Calligonum,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cyanus-type,Centaurea jacea-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea undiff.,Cichorioideae,Cirsium/Gundelia,Cistaceae,Cistus,Cladium mariscus,Clematis-type,Colchicum,Convolvulus,Cornus,Corylus,Crataegus-type,Cyperaceae,Delphinium-type,Dipsacoideae,Dipsacus-type,Dryopteris-typespore,Echinops,Ephedra distachya-type,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Erodium,Euphorbia,Fabaceae,Fagus,Fallopia convolvulus-type,Filipendula,Fraxinus,Fraxinus excelsior,Fraxinus ornus,Galium-type,Genista-type,Geraniaceae,Geranium,Geum-type,Hedera,Helianthemum,Helleborus,Herniaria-type,Hippophaë,Hippuris,Humulus/Cannabis,Hypericum perforatum-type,Ilex,Isoëtesspore,Juglans,Juniperus,Juniperus sabina,Knautia,Lamiaceae,Lemna,Leontice leontopetalum,Liliaceae,Linum,Lonicera,Lotus-type,Lysimachia,Lythrum,Malva,Matricaria-type,Matthiola,Menyanthes trifoliata,Mercurialis,Monactinus simplexcolony,Muscari,Myosotis,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nigella,Noaea-type,Nuphar,Nymphaea,Nymphoides,Olea,Oleaceae,Onobrychis-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Paliurus,Papaver,Pediastrum divergenscolony,Pediastrum duplexcolony,Pediastrum longicornecolony,Persicaria amphibia,Persicaria maculosa-type,Phillyrea angustifolia,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Pseudopediastrum boryanumcolony,Pseudopediastrum brevicornecolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex,Quercus robur-type,Ranunculaceae,Ranunculus,Ranunculus acris,Ranunculus circinatus,Ranunculus repens-type,Ranunculus sceleratus-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rhus,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Rumex patientia var. kurdicus,Sagittaria,Salix,Salviniaspore,Sambucus nigra-type,Saxifraga oppositifolia,Saxifraga rotundifolia,Scabiosa,Scilla-type,Scorzonera-type,Scrophularia/Verbascum,Senecio-type,Solanum dulcamara,Sparganium-type,Spergularia-type,Sphagnumspore,Stachys-type,Stratiotes,Succisa,Symphytum-type,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium pratense,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Utricularia,Valeriana,Viburnum-type,Vicia-type,Viscum,Vitis,Xanthium,cf. Lycopodiumspore
710,--/29672/--,--/29644/--,34517/33466/32529,13,,1,,,1,1,2,74,10,,,244,22,,11,,11,,,6,,,,,,,,5,22,6,,,,,8,,4,,,,,,,,,11,,42,,,,,,1,1,,,,,1,,2,,1,,,,14,,,,,,3,,,1,,,,,,,5,,,,,,1,,,,,,,8,,,,,,,,10,,,1,1,,,,,,5,,,,137,33,,5,,,80,,2,,,2,,1,,276,2,9,,,1,,,286,,154,,1,240,,,1,3,1,,,,1,,,9,,,,,12,,1,,,,,,,,26,,,,,,,,,3,,1,1,,1,,2,1,,,,,,,,,
720,--/30116/--,--/30089/--,35032/33957/32997,19,,2,,,1,,2,19,4,,,95,,,5,,4,,,,,,,,,,,1,35,6,,,,,3,,6,,,,,,,,,25,,8,,,,4,,,,,,,,,,8,,,,,1,1,1,,,,,2,,,,,,,,,,,,1,,,,,,,1,,,,5,,,,,,,1,4,,,,1,,,,,,1,,,,63,9,,4,,,96,,1,3,,2,,,,127,2,3,,,,,,64,,12,,2,155,,,,,1,,,,,,,3,,,,,,,,,,,,,1,,8,,,,,,,,,4,,,2,,,,1,2,,,,,,,,,
730,--/30560/--,--/30534/--,35548/34448/33466,33,,4,,,,,4,22,7,,,105,2,,3,,6,,,,,,,,,,,,81,7,,,,,6,,2,,,,,,,,,49,,15,,,,,,2,2,,,,,1,,27,,,,,,7,,,,,1,2,,,,,,,,,,2,,,,,,,,,,,,,5,,,,,,,,1,,,1,1,,,,,1,12,,,,36,4,,,,,92,,,,,,,6,,148,7,8,,,,,1,49,,,,3,291,,,,,4,,,,1,,1,10,,,,,,,,,,,,,,,3,,,,,,,,,5,,,2,,,,9,4,,,,,,,,,
742,--/31092/--,--/31069/--,36166/35037/34029,17,,9,,,1,,4,61,17,,,174,,,31,,13,,,49,,,,1,,,1,,37,24,,,,,6,,13,,,,8,,,1,,45,,154,,,,16,,4,5,,,,,,,19,4,,,1,1,11,,,,,,2,,,3,,,,,,,4,,,,,,1,,,,,1,,4,,,,,,,,14,,,,5,,,,1,,7,,,,13,1,2,3,,,102,,,3,,3,,2,,367,6,8,,,1,,,59,,6,2,,603,,,,,,2,,,,,1,7,,,,,,,,,,,,,,,49,2,,,,,,,,8,,,5,,,,11,32,,,,,,,,,
750,--/31447/--,--/31425/--,36580/35430/34405,4,,,,,2,,7,17,7,,1,111,,,18,,3,,1,26,,,1,,,,,,18,6,,,,,8,,2,,,,,,,,,9,,116,,,,18,,1,2,,,,,,,5,2,,,,1,7,,,,,,,,,3,,,1,,,,1,,,,,,1,,,,,,,6,,,,,,,,11,,,2,8,,,,,,3,,,,16,3,,,,,37,,1,2,,4,,,,221,2,3,,,1,1,,22,,5,,,139,,,,,2,,,1,,,1,1,,,,1,,,,,,,,,3,,46,,,,,,,,,8,1,,,,1,1,7,5,,,,,,,,,
765,--/32113/--,--/32093/--,37354/36166/35109,136,,,,,,,5,10,1,,,36,1,,2,,4,,,,,,,,,3,,2,120,,,,,,,,1,,,,,,,,,43,,17,,,,3,,1,1,1,,,,,,49,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,8,,,1,,,,,,,9,,,,13,5,,1,,1,203,,,1,,2,,,,106,3,,,,,,1,20,20,,1,1,255,,2,,,1,,,,,,1,,,,,,,,,,,,,,,,5,,,,,,,,,1,,,,,,,24,6,,,,,,,,,
775,--/32557/--,--/32538/--,37869/36657/35578,201,,2,,,,,2,4,1,,,20,,,,,2,,,,,,,,,,,,117,,,,,,,,1,,,,,,,,,33,,14,,,,5,,,3,,,,,,,35,,,,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,10,,,,40,6,,,,1,187,,,1,,,,,,28,1,,,,,,,22,,,,,185,,,,,,,,,,,5,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,16,2,,,,,,,,,
785,--/33000/--,--/32984/--,38385/37148/36046,14,,,,,1,,2,12,11,,,44,,,1,,3,,,21,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,163,,,,6,,2,1,,,,,1,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,4,,,,,,,,,,,10,1,,,,,,2,,,,20,1,,,,,60,,,,,,1,,,74,,,,,,5,,39,,4,,,42,,1,,,,,,,,,,1,,,,3,,,,,,,,,,,35,,,,1,,,,,1,,2,,,,17,3,4,,,,,,,,,
792,--/33311/--,--/33296/--,38746/37492/36374,5,,,,,,,,44,15,,,144,20,,5,,13,,,69,,,,,,,2,31,6,1,,,,,5,,,,,,,,,,,3,,658,,,,9,,1,,,,,,,,4,,2,,,,13,,,,,,1,,,,,,,,,,1,,,,,,,,,,,2,,5,,,,,,,,,,,11,,,,,,,,,,,9,,,,,,43,,,,,1,1,2,,177,2,1,,,2,237,,38,,1,,,107,1,,,,,1,,,,,1,3,,,1,136,,,,,,,,,,,120,,,,,,1,,,10,,5,,,,142,1,14,1,2,,,,,,,
805,--/33888/--,--/33874/--,39417/38130/36983,84,,,,,,,1,8,,,,20,,,1,,2,,,,,,,,,,,,24,,,,,,,,,1,,,,,,,,4,,38,,,,2,,,,,1,,,,,9,,,,,,1,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,1,,,,25,6,1,,,,350,,,,,1,,,,54,2,,,,1,,,60,53,31,,,46,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,,,,,,,,,,1,,,,1,,,,,,,,,,
