Depth,Giesecke et al. 2014 (MADCAP)Calendar years BP,EPD uncalibratedRadiocarbon years BP,EPD calibratedCalendar years BP,Eucalyptus spike,Eucalyptus suspensionquantity added,Eucalyptus suspensionconcentration,Abies,Acer,Allium-type,Alnus,Amaranthaceae,Anthemis-type,Apiaceae,Armeria maritima (type B),Artemisia,Asphodelus-type,Betula,Boraginaceae,Botrychiumspore,Brassicaceae,Bryophyta undiff.spore,Buxus,Campanulaceae,Cannabaceae,Carpinus betulus,Caryophyllaceae,Castanea,Centaurea cf. C. cyanus-type,Centaurea cf. C. nigra-type,Centaurea cf. C. scabiosa-type,Cichorioideae,Cirsium-type,Cladium mariscus,Cornaceae,Cornus,Corylus,Cyperaceae,Echium-type,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericales,Euonymus europaeus,Fabaceae,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Galium-type,Geranium,Hedera,Helianthemum-type,Hippophaë,Ilex,Indeterminable/spore,Juglans,Juniperus-type,Larix,Liliaceae-type,Malvaceae,Mentha-type,Menyanthes trifoliata,Myriophyllum alterniflorum,Myriophyllum spicatum,Myriophyllum verticillatum,Nuphar,Nymphaea,Ornithogalum-type,Ostrya-type,Oxyria-type,Papaveraceae,Phillyrea,Picea,Pinus,Pistacia,Plantago,Plantago coronopus-type,Plantago lanceolata-type,Plantago major/P. media,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonaceae,Polypodiumspore,Populus,Potamogeton,Potentilla,Poterium sanguisorba,Primulaceae,Pteridiumspore,Quercus ilex,Quercus undiff.,Ranunculus-type,Resedaceae,Rhamnaceae,Rosaceae,Rumex,Salix,Sambucus,Saxifragaceae,Scrophulariaceae,Serratula-type,Solidago-type,Taxus,Thalictrum,Tilia,Typha angustifolia-type,Typha latifolia,Ulmus,Unknown/spore,Unknown (monolete)spore,Unknown (trilete)spore,Urtica-type,Valerianoideae,Viburnum,Vicia-type,Vitis,cf. Acorus,cf. Alchemilla,cf. Armeria (type A),cf. Baldellia,cf. Cedrus,cf. Centaurium,cf. Daphne,cf. Epilobium,cf. Euphorbia,cf. Hypericum,cf. Lonicera,cf. Myrtus,cf. Olea,cf. Persicaria amphibia,cf. Polygonum,cf. Succisa,cf. Viscum
-20,8/-40/-89,--/-40/--,--/0/--,,,,3,3,,54,3,,3,,10,,4,,,1,,,,,4,1,11,,,,1,,,,,9,12,,,,,,,,17,,3,2,2,,,,,,2,3,3,,,,,,,1,,,,,23,,,4,,4,,10,,,,,56,,,,,2,,,,,,105,,,2,,4,3,,,,,1,,,,1,,3,3,6,2,,,,,1,,,,,,,,,1,,,,5,,,,
-16,20/-20/-61,--/101/--,--/67/--,,,,1,,,55,,,2,,6,,6,,,,,,,8,9,,8,,,,,,,,,15,6,,,,,2,,,29,,1,,,,2,,,,6,1,4,,,,,,,,,,,,12,,,5,,4,,3,,2,,,48,3,,,,6,1,,,1,,130,,,,1,4,8,,,1,,1,,,,,2,3,,4,,,,,,,,,,,2,,,,,,,,5,,,,
-13,30/-5/-39,--/126/--,--/103/--,,,,1,,,85,2,1,4,,2,2,3,,,2,,,,5,11,,5,,,,1,,,,,10,6,,,,,1,,2,16,,,,,,1,,,,2,3,,,,,,,3,3,,,3,1,15,,,3,,5,,4,,3,,,55,1,,,,,1,,,,,79,1,,,,1,5,,,1,,,,,1,1,,1,,5,1,,,,,3,,,,,,,,,1,,,,3,,,,
5,87/86/84,--/318/--,--/403/--,,,,,2,,74,2,,,,1,,,,,,,,,,12,,,,1,,,,,,,12,2,,,,,2,,,19,,,3,,,2,,,,,3,,,,,,,,1,,,,,20,,,,,3,2,,,6,,,38,2,,,,1,2,,,,5,148,,,,1,2,5,,,,,2,,,,2,,5,,,6,2,,,,1,,,,,,,,,,,,,1,,,,
25,409/402/395,--/847/--,--/735/--,125,,,,,,70,1,,3,,2,,,,,,,,,3,13,1,3,,,,,1,,,,6,1,,,,,1,,,30,,,3,,,4,,,,3,5,,,,,,,,2,,,3,,21,,,2,,,2,,,2,2,1,57,2,,,,,,1,,,3,67,,,,2,,4,,,,,1,,,,2,,,3,10,2,,,,,1,,,,,,,,,,,,,3,,,,
45,745/735/725,--/1027/--,--/941/--,142,,,,,,96,3,3,2,,4,,1,,,1,,,,5,13,1,4,,,,2,1,,,,6,4,,,,,,,2,24,,1,2,,,1,,,,1,1,,,,,,,,2,,,5,,29,,,,,,,,,1,,,54,10,,,,1,,1,,3,1,77,,,,1,,5,,,,,,,,,3,,1,3,11,,,,,,,,,,,,,,,,,,1,2,,,,
60,927/914/901,--/1207/--,--/1141/--,119,,,2,,,94,2,1,4,,4,,2,,,1,,,,5,15,,7,,,,1,1,,,,5,6,,,1,,2,,,34,,,,1,,1,,,,1,1,1,,,,,1,,,,,1,,17,,,1,,1,,3,,,,,48,3,,,,,,1,,,,81,,,,1,2,5,,1,4,,1,,,,2,,2,2,2,7,2,,,,3,,,,,,,,,1,,,,1,,,,
65,960/941/921,--/1283/--,--/1194/--,103,,,1,,,87,2,,,,1,,1,,,,,,,4,33,,,,,,,,,,,4,1,,,,,2,,2,47,,2,2,,,1,,,,1,1,1,,,,,,,2,,,2,,54,,,4,,,,,,1,2,,9,,,,1,1,1,,,8,3,165,,,,1,,4,,,,,,,,1,,,4,2,2,,,,,,1,,,,,,,,,,,,,3,,,,
90,1239/1222/1205,--/1551/--,--/1413/--,129,,,,,,69,1,,,,1,,4,,,3,,3,,1,14,2,8,,,,1,,,,,4,2,,,,,1,,,27,,4,,,,,,,,1,1,,,,,,,,,,,,,31,,,2,,,,4,,1,,,13,,,,,,,,,,,163,,,,1,1,5,4,1,,,,,1,,,,2,,1,,,,,,1,,,,,,,,,1,,,,,,,,
104,1334/1314/1293,--/1686/--,--/1586/--,,,,,1,,56,2,,,,,,2,,,,,,,2,16,,3,,1,,,,,,,11,,,,1,,4,,,77,1,,2,,,,,,,,1,1,,,,,,,,,,1,,46,,,1,,2,4,2,,2,,,34,4,,,,,,,,4,5,130,1,,,,2,2,,,,,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,1,,,,
