labID,C14 age,C14 error,depth, cal median BP,cal mean BP,cal min BP,cal max BP
UGAMS 44358,130,20,ASOM 18 WP144-4,106.1,128,11,150
UGAMS 37185,110,20,ASOM 18 WP 108-1b,107.4,126.8,27,142
UGAMS 37187,140,20,ASOM 18 WP 107-2b,112.4,133.2,57,119
UGAMS 44357,100,20,ASOM 18 WP142-B,113.6,128.4,32,140
UGAMS 32588,160,25,WP45-2,170.3,147.8,166,229
UGAMS 44360,340,20,ASOM 18 WP153-2,382.3,389.9,315,410
UGAMS 42501,510,20,ASOM 18 WP155-2B,528,528.8,512,544
UGAMS 29897,710,25,38-3a 4-6,663.3,654.1,648,681
UGAMS 42500,800,20,ASOM 18 WP146,704.8,705.2,680,730
UGAMS 29898,970,25,WP50-2 0.5-2,851.2,858.2,793,878
UGAMS 44353,1540,20,ASOM 18 WP155-2C,1401.3,1417.3,1356,1419
UGAMS 29900,1570,25,WP38-2 B,1459.8,1457.8,1390,1521
UGAMS 44355,1580,20,ASOM 18 WP147-1,1401.3,1417.3,1404,1521
UGAMS 29896,1640,25,WP50-3a 7-9,1520.2,1503,1469,1573
UGAMS 42505,1680,20,ASOM 18 WP138,1564.4,1576.3,1532,1604
UGAMS 42507,1690,20,WP151,1572.6,1585.8,1535,1610
UGAMS 42506,1740,20,ASOM 18 WP145-4,1627.8,1635.9,1569,1646
UGAMS 44361,1760,20,ASOM 18 WP111-2E,1649.2,1651.1,1600,1678
UGAMS 44359,2820,20,ASOM 18 WP155-D,2917.7,2918.5,2860,2965
UGAMS 37186,2940,20,ASOM 18 WP103-2c,3100.8,3096.9,3052,3166
UGAMS 42503,3030,20,ASOM 18 WP149-2,3230.9,3242.4,3166,3264
UGAMS 44362,3690,20,155-F,4035.1,4031.4,3972,4090
