,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]","preparedby [undefined]","dateprepared [undefined]","model [undefined]","notes [undefined]"
,12.0,1121.1,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,62.0,1961.1,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,85.0,2347.5,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,109.0,2943.339,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,159.0,4853.557,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,185.0,5846.87,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,209.0,6763.774,Lewden D.,2006-02-16,Linear Interpolation with calibrated age (Calib 5.0.1),Precision: 1 sigma
,235.0,0,,,,
,262.0,0,,,,
,284.0,0,,,,
,309.0,0,,,,
,360.0,0,,,,
,409.0,0,,,,
,435.0,0,,,,
,459.0,0,,,,
,484.0,0,,,,
,509.0,0,,,,
,567.0,0,,,,
,609.0,0,,,,
