,"method [undefined]","depthcm [cm]","thickness [cm]","materialdated [undefined]","agebp [years]","agesdup [years]","labnumber [undefined]","deltac13 [undefined]","notes [undefined]"
,Method,Depth (cm),thickness,material dated,14C age (yr BP),error,labnumber,deltac13,notes
,14C,215.0,30.0,Carbonate,6100.0,200.0,UQ 1141,,Normalized age : 6400
