,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,0.0,,1000.0,1100.0,900.0,other
,100.0,,2500.0,2600.0,2400.0,other
,215.0,,6100.0,6300.0,5900.0,uncorrected radiocarbon date
