sample_name,depth,age,thickness,method,materialdated,depthcm,deltac13,notes,agesdup,labnumber,agebp
,,,10,14C,nan,160,nan,nan,60,GIF 6613,600
,,,10,14C,nan,280,nan,nan,70,GIF 6614,720
